date_obj,Mysterious%20emblem price
2017-03-01,92679
2017-03-02,95088
2017-03-03,98904
2017-03-04,103256
2017-03-05,105107
2017-03-06,109501
2017-03-07,109181
2017-03-08,108271
2017-03-09,107374
2017-03-10,108722
2017-03-11,110261
2017-03-12,114219
2017-03-13,119483
2017-03-14,120215
2017-03-15,124438
2017-03-16,128089
2017-03-17,129500
2017-03-18,123025
2017-03-19,120759
2017-03-20,121041
2017-03-21,115939
2017-03-22,113908
2017-03-23,112793
2017-03-24,109717
2017-03-25,107559
2017-03-26,106658
2017-03-27,110893
2017-03-28,108033
2017-03-29,107270
2017-03-30,108364
2017-03-31,109534
2017-04-01,110707
2017-04-02,112782
2017-04-03,116277
2017-04-04,118146
2017-04-12,110356
2017-04-13,107314
2017-04-14,101948
2017-04-15,96850
2017-04-16,92010
2017-04-17,87409
2017-04-18,83038
2017-04-19,79320
2017-04-20,75359
2017-04-21,73116
2017-04-22,73697
2017-04-23,75839
2017-04-24,76939
2017-04-25,78901
2017-04-26,78299
2017-04-27,77514
2017-04-28,76959
2017-04-29,76438
2017-04-30,75405
2017-05-01,74644
2017-05-02,75331
2017-05-03,76395
2017-05-04,78003
2017-05-05,79403
2017-05-06,82524
2017-05-07,86322
2017-05-08,87662
2017-05-09,88792
2017-05-10,92253
2017-05-11,93712
2017-05-12,93855
2017-05-13,96723
2017-05-14,96366
2017-05-15,95728
2017-05-16,94351
2017-05-17,96379
2017-05-18,98429
2017-05-19,102330
2017-05-20,106442
2017-05-21,105771
2017-05-22,102683
2017-05-23,98249
2017-05-24,97571
2017-05-25,96022
2017-05-26,93756
2017-05-27,92511
2017-05-28,90936
2017-05-29,90936
2017-05-30,90936
2017-05-31,91284
2017-06-01,93335
2017-06-02,95508
2017-06-03,97389
2017-06-06,109668
2017-06-07,110938
2017-06-08,106970
2017-06-09,104753
2017-06-10,102114
2017-06-11,103180
2017-06-12,102674
2017-06-13,101798
2017-06-14,103347
2017-06-15,103624
2017-06-16,104529
2017-06-17,105104
2017-06-18,108463
2017-06-19,108558
2017-06-20,109568
2017-06-21,107128
2017-06-22,107832
2017-06-23,107553
2017-06-24,107201
2017-06-25,107787
2017-06-26,107542
2017-06-27,106945
2017-06-28,104986
2017-06-29,102462
2017-06-30,99065
2017-07-01,99791
2017-07-02,100387
2017-07-03,100021
2017-07-04,102058
2017-07-05,105115
2017-07-06,107559
2017-07-07,111403
2017-07-08,113599
2017-07-13,111095
2017-07-14,109251
2017-07-15,112002
2017-07-16,117338
2017-07-17,114670
2017-07-18,113654
2017-07-19,113232
2017-07-20,111768
2017-07-21,111304
2017-07-22,111396
2017-07-23,111673
2017-07-24,113924
2017-07-25,111341
2017-07-26,110406
2017-07-27,113487
2017-07-28,116061
2017-07-29,117589
2017-07-30,119944
2017-07-31,120409
2017-08-01,119080
2017-08-02,120348
2017-08-03,119792
2017-08-04,119100
2017-08-05,116855
2017-08-06,115311
2017-08-09,115935
2017-08-10,117390
2017-08-11,120242
2017-08-12,120108
2017-08-13,124359
2017-08-14,127579
2017-08-15,126897
2017-08-16,122598
2017-08-17,124169
2017-08-18,123982
2017-08-19,125192
2017-08-20,129057
2017-08-22,126066
2017-08-23,127939
2017-08-24,127387
2017-08-25,128045
2017-08-26,131543
2017-08-27,131236
2017-08-28,125196
2017-08-29,124533
2017-08-30,124152
2017-08-31,122846
2017-09-01,121405
2017-09-02,121112
