date_obj,Ring%20of%20wealth price
2015-03-26,19521
2015-03-27,19780
2015-03-28,20527
2015-03-29,20793
2015-03-30,20367
2015-03-31,19913
2015-04-01,20202
2015-04-02,20221
2015-04-03,19423
2015-04-04,18744
2015-04-05,18343
2015-04-06,18898
2015-04-07,19190
2015-04-08,18949
2015-04-09,18862
2015-04-10,18386
2015-04-11,17697
2015-04-12,17410
2015-04-13,17850
2015-04-14,18260
2015-04-15,17728
2015-04-16,17165
2015-04-17,16983
2015-04-18,17014
2015-04-19,17373
2015-04-20,16877
2015-04-21,16427
2015-04-22,15884
2015-04-23,15250
2015-04-24,15013
2015-04-25,15502
2015-04-26,16278
2015-04-27,17019
2015-04-28,17857
2015-04-29,18637
2015-04-30,19177
2015-05-01,20136
2015-05-02,21143
2015-05-03,22201
2015-05-04,23186
2015-05-05,23460
2015-05-06,23095
2015-05-07,22057
2015-05-08,21075
2015-05-09,20109
2015-05-10,19384
2015-05-11,19484
2015-05-12,19444
2015-05-13,19241
2015-05-14,19281
2015-05-15,19439
2015-05-16,19732
2015-05-17,20247
2015-05-18,20700
2015-05-19,21546
2015-05-20,21319
2015-05-21,21475
2015-05-22,21015
2015-05-23,20552
2015-05-24,19907
2015-05-25,20305
2015-05-26,20298
2015-05-27,20467
2015-05-28,20396
2015-05-29,20410
2015-05-30,21055
2015-05-31,21492
2015-06-01,21496
2015-06-02,21729
2015-06-03,22452
2015-06-04,22536
2015-06-05,22156
2015-06-06,21649
2015-06-07,20648
2015-06-08,20505
2015-06-09,21157
2015-06-10,21454
2015-06-11,20940
2015-06-12,20580
2015-06-13,20335
2015-06-14,20902
2015-06-15,21234
2015-06-16,21289
2015-06-17,21747
2015-06-18,20932
2015-06-19,21099
2015-06-20,20875
2015-06-21,19958
2015-06-22,18999
2015-06-23,18096
2015-06-24,18342
2015-06-25,18227
2015-06-26,18437
2015-06-27,18649
2015-06-28,18792
2015-06-29,18798
2015-06-30,18439
2015-07-01,18789
2015-07-02,18786
2015-07-03,19111
2015-07-04,18637
2015-07-05,18947
2015-07-06,19371
2015-07-07,20049
2015-07-08,20446
2015-07-09,21276
2015-07-10,22269
2015-07-11,22194
2015-07-12,23065
2015-07-13,23520
2015-07-14,22884
2015-07-15,22022
2015-07-16,22858
2015-07-17,23199
2015-07-18,23832
2015-07-19,23598
2015-07-20,23667
2015-07-21,23025
2015-07-22,22388
2015-07-23,21613
2015-07-24,22119
2015-07-25,22885
2015-07-26,22597
2015-07-27,23425
2015-07-28,24586
2015-07-29,25473
2015-07-30,26307
2015-07-31,25362
2015-08-01,25114
2015-08-02,24073
2015-08-03,23435
2015-08-04,23563
2015-08-05,23908
2015-08-06,23700
2015-08-07,24042
2015-08-08,24838
2015-08-09,26051
2015-08-10,26960
2015-08-11,27023
2015-08-12,25787
2015-08-13,25681
2015-08-14,26200
2015-08-15,25973
2015-08-16,24674
2015-08-17,24959
2015-08-18,25360
2015-08-19,25003
2015-08-20,25594
2015-08-21,26312
2015-08-22,26109
2015-08-23,25623
2015-08-24,26127
2015-08-25,25984
2015-08-26,27090
2015-08-27,27649
2015-08-28,27142
2015-08-29,26818
2015-08-30,26123
2015-08-31,25414
2015-09-01,26143
2015-09-02,25005
2015-09-03,24951
2015-09-04,25759
2015-09-05,25863
2015-09-06,26492
2015-09-07,27541
2015-09-08,27144
2015-09-09,27727
2015-09-10,27391
2015-09-11,28124
2015-09-12,27669
2015-09-13,28312
2015-09-14,29023
2015-09-15,28484
2015-09-16,28207
2015-09-17,28647
2015-09-18,28308
2015-09-19,27883
2015-09-20,27827
2015-09-21,28037
2015-09-22,26726
2015-09-23,25754
2015-09-24,25530
2015-09-25,26364
2015-09-27,27116
2015-09-28,26881
2015-09-29,26141
2015-09-30,25028
2015-10-05,26798
2015-10-06,26265
2015-10-07,25907
2015-10-08,25244
2015-10-09,24915
2015-10-10,26161
2015-10-11,25686
2015-10-12,25033
2015-10-13,25466
2015-10-14,25601
2015-10-15,25062
2015-10-16,24971
2015-10-17,25650
2015-10-18,26486
2015-10-19,26978
2015-10-20,27855
2015-10-22,26842
2015-10-23,27503
2015-10-24,28255
2015-10-25,27588
2015-10-26,27181
2015-10-27,28188
2015-10-29,27581
2015-10-30,27187
2015-10-31,27556
2015-11-01,28529
2015-11-02,29330
2015-11-03,29867
2015-11-04,28617
2015-11-05,27503
2015-11-06,26960
2015-11-07,26495
2015-11-08,27262
2015-11-09,27369
2015-11-10,27865
2015-11-11,27179
2015-11-12,27633
2015-11-13,28222
2015-11-14,27334
2015-11-15,27340
2015-11-16,28121
2015-11-17,28514
2015-11-18,27904
2015-11-19,27206
2015-11-20,27705
2015-11-21,28732
2015-11-22,27969
2015-11-23,28047
2015-11-24,27733
2015-11-25,27137
2015-11-26,27080
2015-11-27,26747
2015-11-28,26726
2015-11-29,27117
2015-11-30,27231
2015-12-01,27393
2015-12-02,27086
2015-12-03,27288
2015-12-04,28080
2015-12-05,28120
2015-12-06,27875
2015-12-07,28438
2015-12-08,28958
2015-12-09,29261
2015-12-10,29078
2015-12-11,29640
2015-12-12,29953
2015-12-13,29383
2015-12-14,28362
2015-12-15,28606
2015-12-16,29151
2015-12-17,28901
2015-12-18,28919
2015-12-19,28796
2015-12-20,28079
2015-12-21,27535
2015-12-22,27356
2015-12-23,27864
2015-12-24,28358
2015-12-25,28573
2015-12-26,28628
2015-12-27,28410
2015-12-28,27108
2015-12-29,26956
2015-12-30,27630
2015-12-31,27572
2016-01-01,27746
2016-01-02,28218
2016-01-03,28400
2016-01-04,28107
2016-01-05,27823
2016-01-06,28419
2016-01-07,28393
2016-01-08,28324
2016-01-09,28240
2016-01-10,28464
2016-01-11,29076
2016-01-12,29184
2016-01-13,28966
2016-01-14,28986
2016-01-15,28955
2016-01-16,29528
2016-01-17,30069
2016-01-18,29991
2016-01-19,29473
2016-01-20,29348
2016-01-21,29456
2016-01-22,29954
2016-01-23,30402
2016-01-24,30018
2016-01-25,29493
2016-01-26,29375
2016-01-27,30676
2016-01-28,31505
2016-01-29,31280
2016-01-30,30913
2016-01-31,30895
2016-02-01,30633
2016-02-02,29802
2016-02-03,29306
2016-02-04,29398
2016-02-05,29127
2016-02-06,29172
2016-02-07,28826
2016-02-08,28737
2016-02-09,28379
