date_obj,Chef's%20hat price
2015-03-26,1523
2015-03-27,1523
2015-03-28,1451
2015-03-29,1451
2015-03-30,1382
2015-03-31,1382
2015-04-01,1322
2015-04-02,1322
2015-04-03,1255
2015-04-04,1196
2015-04-05,1196
2015-04-06,1136
2015-04-07,1136
2015-04-08,1079
2015-04-09,1079
2015-04-10,1025
2015-04-11,1025
2015-04-12,973
2015-04-13,973
2015-04-14,924
2015-04-15,924
2015-04-16,877
2015-04-17,837
2015-04-18,801
2015-04-19,801
2015-04-20,760
2015-04-21,760
2015-04-22,727
2015-04-23,700
2015-04-24,700
2015-04-25,676
2015-04-26,676
2015-04-27,678
2015-04-28,648
2015-04-29,648
2015-04-30,615
2015-05-01,634
2015-05-02,658
2015-05-03,658
2015-05-04,676
2015-05-05,676
2015-05-06,672
2015-05-07,672
2015-05-08,650
2015-05-09,650
2015-05-10,622
2015-05-11,622
2015-05-12,602
2015-05-13,602
2015-05-14,586
2015-05-15,586
2015-05-16,586
2015-05-17,607
2015-05-18,607
2015-05-19,614
2015-05-20,614
2015-05-21,614
2015-05-22,586
2015-05-23,586
2015-05-24,587
2015-05-25,562
2015-05-26,562
2015-05-27,540
2015-05-28,537
2015-05-29,523
2015-05-30,515
2015-05-31,515
2015-06-01,513
2015-06-02,513
2015-06-03,502
2015-06-04,485
2015-06-05,480
2015-06-06,473
2015-06-07,461
2015-06-08,461
2015-06-09,458
2015-06-10,476
2015-06-11,476
2015-06-12,466
2015-06-13,475
2015-06-14,490
2015-06-15,490
2015-06-16,480
2015-06-17,480
2015-06-18,482
2015-06-19,482
2015-06-20,480
2015-06-21,480
2015-06-22,482
2015-06-23,482
2015-06-24,483
2015-06-25,483
2015-06-26,495
2015-06-27,495
2015-06-28,499
2015-06-29,499
2015-06-30,514
2015-07-01,530
2015-07-02,530
2015-07-03,557
2015-07-04,582
2015-07-05,608
2015-07-06,608
2015-07-07,619
2015-07-08,614
2015-07-09,614
2015-07-10,624
2015-07-11,624
