date_obj,Druid's%20robe price
2015-03-26,3950
2015-03-27,3950
2015-03-28,3942
2015-03-29,3942
2015-03-30,3942
2015-03-31,3942
2015-04-01,3942
2015-04-02,3942
2015-04-03,3942
2015-04-04,3942
2015-04-05,3942
2015-04-06,3942
2015-04-07,3942
2015-04-08,3942
2015-04-09,3942
2015-04-10,3942
2015-04-11,3942
2015-04-12,3942
2015-04-13,3942
2015-04-14,3942
2015-04-15,3942
2015-04-16,3942
2015-04-17,3942
2015-04-18,3942
2015-04-19,3942
2015-04-20,3942
2015-04-21,3942
2015-04-22,3942
2015-04-23,3942
2015-04-24,3757
2015-04-25,3757
2015-04-26,3757
2015-04-27,3757
2015-04-28,3757
2015-04-29,3757
2015-04-30,3757
2015-05-01,3757
2015-05-02,3757
2015-05-03,3757
2015-05-04,3757
2015-05-05,3757
2015-05-06,3757
2015-05-07,3757
2015-05-08,3757
2015-05-09,3757
2015-05-10,3757
2015-05-11,3757
2015-05-12,3757
2015-05-13,3757
2015-05-14,3757
2015-05-15,3757
2015-05-16,3757
2015-05-17,3757
2015-05-18,3757
2015-05-19,3757
2015-05-20,3757
2015-05-21,3757
2015-05-22,3757
2015-05-23,3636
2015-05-24,3636
2015-05-25,3636
2015-05-26,3636
2015-05-27,3636
2015-05-28,3636
2015-05-29,3636
2015-05-30,3636
2015-05-31,3636
2015-06-01,3636
2015-06-02,3636
2015-06-03,3636
2015-06-04,3636
2015-06-05,3636
2015-06-06,3636
2015-06-07,3636
2015-06-08,3636
2015-06-09,3636
2015-06-10,3636
2015-06-11,3636
2015-06-12,3636
2015-06-13,3492
2015-06-14,3492
2015-06-15,3492
2015-06-16,3492
2015-06-17,3492
2015-06-18,3492
2015-06-19,3492
2015-06-20,3492
2015-06-21,3492
2015-06-22,3492
2015-06-23,3492
2015-06-24,3492
2015-06-25,3492
2015-06-26,3492
2015-06-27,3492
2015-06-28,3492
2015-06-29,3492
2015-06-30,3492
2015-07-01,3492
2015-07-02,3492
2015-07-03,3492
2015-07-04,3492
2015-07-05,3492
2015-07-06,3492
2015-07-07,3492
2015-07-08,3492
2015-07-09,3492
2015-07-10,3379
2015-07-11,3379
2015-07-12,3379
2015-07-13,3379
2015-07-14,3379
2015-07-15,3379
2015-07-16,3379
2015-07-17,3379
2015-07-18,3379
2015-07-19,3379
2015-07-20,3379
2015-07-21,3379
2015-07-22,3379
2015-07-23,3379
2015-07-24,3379
2015-07-25,3379
2015-07-26,3379
2015-07-27,3379
2015-07-28,3379
2015-07-29,3379
2015-07-30,3379
2015-07-31,3379
2015-08-01,3379
2015-08-02,3379
2015-08-03,3379
2015-08-04,3379
2015-08-05,3379
2015-08-06,3379
2015-08-07,3379
2015-08-08,3379
2015-08-09,3379
2015-08-10,3307
2015-08-11,3307
2015-08-12,3307
2015-08-13,3307
2015-08-14,3307
2015-08-15,3307
2015-08-16,3307
2015-08-17,3307
2015-08-18,3307
2015-08-19,3307
2015-08-20,3307
2015-08-21,3307
2015-08-22,3307
2015-08-23,3307
2015-08-24,3307
2015-08-25,3307
2015-08-26,3307
2015-08-27,3307
2015-08-28,3307
2015-08-29,3307
2015-08-30,3307
2015-08-31,3307
