date_obj,Mithril%20full%20helm price
2015-03-26,2338
2015-03-27,2338
2015-03-28,2221
2015-03-29,2109
2015-03-30,2003
2015-03-31,1916
2015-04-01,1820
2015-04-02,1729
2015-04-03,1642
2015-04-04,1559
2015-04-05,1481
2015-04-06,1406
2015-04-07,1335
2015-04-08,1268
2015-04-09,1204
2015-04-10,1179
2015-04-11,1159
2015-04-12,1113
2015-04-13,1081
2015-04-14,1060
2015-04-15,1090
2015-04-16,1084
2015-04-17,1049
2015-04-18,1039
2015-04-19,1008
2015-04-20,1006
2015-04-21,1009
2015-04-22,1011
2015-04-23,1051
2015-04-24,1094
2015-04-25,1102
2015-04-26,1110
2015-04-27,1098
2015-04-28,1121
2015-04-29,1121
2015-04-30,1142
2015-05-01,1183
2015-05-02,1236
2015-05-03,1289
2015-05-04,1254
2015-05-05,1243
2015-05-06,1192
2015-05-07,1148
2015-05-08,1092
2015-05-09,1060
2015-05-10,1028
2015-05-11,1028
2015-05-12,986
2015-05-13,949
2015-05-14,931
2015-05-15,907
2015-05-16,893
2015-05-17,888
2015-05-18,859
2015-05-19,832
2015-05-20,832
2015-05-21,824
2015-05-22,811
2015-05-23,812
2015-05-24,808
2015-05-25,810
2015-05-26,843
2015-05-27,845
2015-05-28,861
2015-05-29,880
2015-05-30,866
2015-05-31,829
2015-06-01,815
2015-06-02,815
2015-06-03,814
2015-06-04,815
2015-06-05,814
2015-06-06,855
2015-06-07,898
2015-06-08,929
2015-06-09,933
2015-06-10,931
2015-06-11,906
2015-06-12,878
2015-06-13,853
2015-06-14,826
2015-06-15,819
2015-06-16,807
2015-06-17,793
2015-06-18,781
2015-06-19,780
2015-06-20,798
2015-06-21,821
2015-06-22,831
2015-06-23,831
2015-06-24,857
2015-06-25,850
2015-06-26,868
2015-06-27,876
2015-06-28,863
2015-06-29,824
2015-06-30,799
2015-07-01,796
2015-07-02,796
2015-07-03,793
2015-07-04,824
2015-07-05,842
2015-07-06,878
2015-07-07,913
2015-07-08,951
2015-07-09,991
2015-07-10,990
2015-07-11,980
2015-07-12,976
2015-07-13,970
2015-07-14,967
2015-07-15,925
2015-07-16,951
2015-07-17,987
2015-07-18,1028
2015-07-19,1063
2015-07-20,1078
2015-07-21,1067
2015-07-22,1067
2015-07-23,1067
2015-07-24,1077
2015-07-25,1089
2015-07-26,1072
2015-07-27,1082
2015-07-28,1088
2015-07-29,1069
2015-07-30,1096
2015-07-31,1121
2015-08-01,1157
2015-08-02,1100
2015-08-03,1045
2015-08-04,992
2015-08-05,948
2015-08-06,924
2015-08-07,920
2015-08-08,888
2015-08-09,882
2015-08-10,853
2015-08-11,854
2015-08-12,864
2015-08-13,891
2015-08-14,885
2015-08-15,912
2015-08-16,908
2015-08-17,914
2015-08-18,887
2015-08-19,878
2015-08-20,891
2015-08-21,912
2015-08-22,911
2015-08-23,906
2015-08-24,916
2015-08-25,916
2015-08-26,890
2015-08-27,874
2015-08-28,866
2015-08-29,872
2015-08-30,855
2015-08-31,812
2015-09-01,782
2015-09-02,751
2015-09-03,732
2015-09-04,702
2015-09-05,672
2015-09-06,698
2015-09-07,705
2015-09-08,722
2015-09-09,720
2015-09-10,712
2015-09-11,697
2015-09-12,708
2015-09-13,729
2015-09-14,749
2015-09-15,776
2015-09-16,812
2015-09-17,841
2015-09-18,864
2015-09-19,905
2015-09-20,929
2015-09-21,928
2015-09-22,908
2015-09-23,932
2015-09-24,932
2015-09-25,941
2015-09-27,929
2015-09-28,952
2015-09-29,917
2015-09-30,907
