date_obj,Toad%20crunchies price
2015-03-26,7786
2015-03-27,7786
2015-03-28,7396
2015-03-29,7026
2015-03-30,6892
2015-03-31,6549
2015-04-01,6549
2015-04-02,6754
2015-04-03,6681
2015-04-04,6346
2015-04-05,6346
2015-04-06,6028
2015-04-07,5726
2015-04-08,5726
2015-04-09,5439
2015-04-10,5167
2015-04-11,4908
2015-04-12,4781
2015-04-13,4781
2015-04-14,4954
2015-04-15,5058
2015-04-16,5058
2015-04-17,5171
2015-04-18,5312
2015-04-19,5312
2015-04-20,5256
2015-04-21,5312
2015-04-22,5312
2015-04-23,5153
2015-04-24,5153
2015-04-25,4895
2015-04-26,4895
2015-04-27,4697
2015-04-28,4465
2015-04-29,4465
2015-04-30,4241
2015-05-01,4227
2015-05-02,4354
2015-05-03,4354
2015-05-04,4401
2015-05-05,4224
2015-05-06,4166
2015-05-07,4077
2015-05-08,3895
2015-05-09,3931
2015-05-10,4072
2015-05-11,4072
2015-05-12,4226
2015-05-13,4112
2015-05-14,3907
2015-05-15,3711
2015-05-16,3711
2015-05-17,3525
2015-05-18,3348
2015-05-19,3181
2015-05-20,3181
2015-05-21,3021
2015-05-22,3031
2015-05-23,3182
2015-05-24,3342
2015-05-25,3510
2015-05-26,3686
2015-05-27,3870
2015-05-28,3915
2015-05-29,3720
2015-05-30,3862
2015-05-31,3862
2015-06-01,3918
2015-06-02,3918
2015-06-03,3722
2015-06-04,3722
2015-06-05,3535
2015-06-06,3358
2015-06-07,3358
2015-06-08,3270
2015-06-09,3270
2015-06-10,3106
2015-06-11,3106
2015-06-12,2994
2015-06-13,3065
2015-06-14,3065
2015-06-15,3009
2015-06-16,3009
2015-06-17,2983
2015-06-18,2963
2015-06-19,2963
2015-06-20,2963
2015-06-21,2963
2015-06-22,3029
2015-06-23,3029
2015-06-24,3046
2015-06-25,3046
2015-06-26,3129
2015-06-27,3129
2015-06-28,3250
2015-06-29,3250
2015-06-30,3304
2015-07-01,3412
2015-07-02,3412
2015-07-03,3548
2015-07-04,3548
2015-07-05,3685
2015-07-06,3685
2015-07-07,3816
2015-07-08,3816
2015-07-09,3953
2015-07-10,3953
2015-07-11,4045
2015-07-12,4045
2015-07-13,4156
2015-07-14,4325
2015-07-15,4325
2015-07-16,4444
2015-07-17,4282
2015-07-18,4282
2015-07-19,4260
2015-07-20,4260
2015-07-21,4224
2015-07-22,4052
2015-07-23,4052
2015-07-24,4002
2015-07-25,4002
2015-07-26,3946
2015-07-27,3946
2015-07-28,4032
2015-07-29,3912
2015-07-30,3912
2015-07-31,3981
2015-08-01,3981
2015-08-02,3960
2015-08-03,3960
2015-08-04,3980
