date_obj,Mystic%20hat%20(light) price
2015-03-04,13966
2015-03-05,13966
2015-03-06,13267
2015-03-07,12649
2015-03-08,12077
2015-03-09,12077
2015-03-10,11524
2015-03-11,11524
2015-03-12,10996
2015-03-13,10996
2015-03-14,10446
2015-03-15,10446
2015-03-16,9923
2015-03-17,9923
2015-03-18,9451
2015-03-19,9451
2015-03-20,9077
2015-03-21,9077
2015-03-22,8801
2015-03-23,8801
2015-03-24,8584
2015-03-25,8584
2015-03-26,8484
2015-03-27,8484
2015-03-28,8573
2015-03-29,8573
2015-03-30,8761
2015-03-31,8761
2015-04-01,8878
2015-04-02,8878
2015-04-03,8578
2015-04-04,8632
2015-04-05,8632
2015-04-06,8723
2015-04-07,8723
2015-04-08,8651
2015-04-09,8651
2015-04-10,8530
2015-04-11,8530
2015-04-12,8776
2015-04-13,8776
2015-04-14,8818
2015-04-15,8818
2015-04-16,8785
2015-04-17,8785
2015-04-18,8735
2015-04-19,8735
2015-04-20,8735
2015-04-21,8741
2015-04-22,8741
2015-04-23,8794
2015-04-24,8794
2015-04-25,8701
2015-04-26,8701
2015-04-27,8731
2015-04-28,8731
2015-04-29,8731
2015-04-30,8762
2015-05-01,8762
2015-05-02,8911
2015-05-03,8911
2015-05-04,8911
2015-05-05,8934
2015-05-06,8934
2015-05-07,8830
2015-05-08,8830
2015-05-09,8721
2015-05-10,8721
2015-05-11,8721
2015-05-12,8741
2015-05-13,8741
2015-05-14,8765
2015-05-15,8765
2015-05-16,8765
2015-05-17,8850
2015-05-18,8850
2015-05-19,8766
2015-05-20,8766
2015-05-21,8766
2015-05-22,8653
2015-05-23,8653
2015-05-24,8713
2015-05-25,8713
2015-05-26,8867
2015-05-27,8867
2015-05-28,8914
2015-05-29,8914
2015-05-30,8944
2015-05-31,8944
2015-06-01,8873
2015-06-02,8873
2015-06-03,8813
2015-06-04,8813
2015-06-05,8822
2015-06-06,8822
2015-06-07,9042
2015-06-08,9042
2015-06-09,8881
2015-06-10,8881
2015-06-11,8831
2015-06-12,8831
2015-06-13,8857
2015-06-14,8857
2015-06-15,8754
2015-06-16,8754
2015-06-17,8751
2015-06-18,8751
2015-06-19,8833
2015-06-20,8833
2015-06-21,8821
2015-06-22,8821
2015-06-23,8850
2015-06-24,8957
2015-06-25,8957
2015-06-26,8893
2015-06-27,8893
2015-06-28,8815
2015-06-29,8815
2015-06-30,8782
2015-07-01,8782
2015-07-02,8925
2015-07-03,9087
2015-07-04,9087
2015-07-05,8906
2015-07-06,8906
2015-07-07,8867
2015-07-08,8867
2015-07-09,8819
2015-07-10,8819
2015-07-11,8852
2015-07-12,8852
2015-07-13,8852
2015-07-14,8852
2015-07-15,8779
2015-07-16,8779
2015-07-17,8843
2015-07-18,8843
2015-07-19,8989
2015-07-20,8989
2015-07-21,8990
2015-07-22,8941
2015-07-23,8941
2015-07-24,8812
2015-07-25,8812
2015-07-26,8725
2015-07-27,8725
2015-07-28,8771
2015-07-29,8878
2015-07-30,8878
2015-07-31,8852
2015-08-01,8852
2015-08-02,9061
2015-08-03,9061
2015-08-04,9068
2015-08-05,8981
2015-08-06,8981
2015-08-07,8878
2015-08-08,8878
2015-08-09,8862
2015-08-10,8862
2015-08-11,8917
2015-08-12,8917
2015-08-13,8874
2015-08-14,8841
2015-08-15,8841
2015-08-16,8999
2015-08-17,8999
2015-08-18,8959
2015-08-19,8959
2015-08-20,8945
2015-08-21,8945
2015-08-22,8902
2015-08-23,8902
2015-08-24,8839
2015-08-25,8839
2015-08-26,8839
2015-08-27,8790
2015-08-28,8790
2015-08-29,8585
2015-08-30,8585
2015-08-31,8686
2015-09-02,8836
2015-09-07,8933
2015-09-08,8966
2015-09-10,8954
2015-09-14,8751
2015-09-16,8710
2015-09-22,8746
2015-09-23,8686
2015-09-24,8686
2015-09-25,8686
2015-09-27,8753
2015-09-28,8915
2015-09-29,8915
2015-09-30,8930
2015-10-05,9133
2015-10-06,9133
2015-10-07,9162
2015-10-08,9162
2015-10-09,9027
2015-10-10,9027
2015-10-11,8962
2015-10-12,8962
2015-10-13,8962
2015-10-14,9186
2015-10-15,9186
2015-10-16,9283
2015-10-17,9283
2015-10-18,9283
2015-10-19,9189
2015-10-20,9189
2015-10-22,8991
2015-10-23,8991
2015-10-24,9062
2015-10-25,9062
2015-10-26,9288
2015-10-27,9288
2015-10-29,9236
2015-10-30,9236
2015-10-31,9304
2015-11-01,9304
2015-11-02,9304
2015-11-03,9358
2015-11-04,9358
2015-11-05,9358
2015-11-06,9552
2015-11-07,9552
2015-11-08,9513
2015-11-09,9513
2015-11-10,9513
2015-11-11,9294
2015-11-12,9294
2015-11-13,9294
2015-11-14,8975
2015-11-15,8975
2015-11-16,9116
2015-11-17,9116
2015-11-18,9263
2015-11-19,9263
2015-11-20,9097
2015-11-21,9097
2015-11-22,8910
2015-11-23,8910
2015-11-24,8910
2015-11-25,8989
2015-11-26,8989
2015-11-27,9242
2015-11-28,9242
2015-11-29,9297
2015-11-30,9297
2015-12-01,9291
2015-12-02,9291
2015-12-03,9010
2015-12-04,9010
2015-12-05,9010
2015-12-06,8929
2015-12-07,8929
2015-12-08,8929
2015-12-09,8852
2015-12-10,8852
2015-12-11,8881
2015-12-12,8881
2015-12-13,8928
2015-12-14,8928
2015-12-15,9017
2015-12-16,9017
2015-12-17,9017
2015-12-18,8737
2015-12-19,8737
2015-12-20,8796
2015-12-21,8796
2015-12-22,8955
2015-12-23,8955
2015-12-24,9158
2015-12-25,9158
2015-12-26,9246
