date_obj,Mithril%20platelegs price
2015-03-26,1721
2015-03-27,1636
2015-03-28,1566
2015-03-29,1521
2015-03-30,1450
2015-03-31,1413
2015-04-01,1397
2015-04-02,1380
2015-04-03,1351
2015-04-04,1343
2015-04-05,1330
2015-04-06,1329
2015-04-07,1361
2015-04-08,1356
2015-04-09,1342
2015-04-10,1359
2015-04-11,1359
2015-04-12,1334
2015-04-13,1345
2015-04-14,1382
2015-04-15,1403
2015-04-16,1394
2015-04-17,1383
2015-04-18,1360
2015-04-19,1322
2015-04-20,1305
2015-04-21,1324
2015-04-22,1315
2015-04-23,1295
2015-04-24,1339
2015-04-25,1336
2015-04-26,1319
2015-04-27,1313
2015-04-28,1342
2015-04-29,1368
2015-04-30,1359
2015-05-01,1382
2015-05-02,1411
2015-05-03,1471
2015-05-04,1467
2015-05-05,1456
2015-05-06,1466
2015-05-07,1453
2015-05-08,1400
2015-05-09,1369
2015-05-10,1310
2015-05-11,1329
2015-05-12,1361
2015-05-13,1320
2015-05-14,1314
2015-05-15,1307
2015-05-16,1312
2015-05-17,1346
2015-05-18,1319
2015-05-19,1342
2015-05-20,1352
2015-05-21,1389
2015-05-22,1445
2015-05-23,1481
2015-05-24,1453
2015-05-25,1423
2015-05-26,1389
2015-05-27,1425
2015-05-28,1415
2015-05-29,1369
2015-05-30,1379
2015-05-31,1423
2015-06-01,1417
2015-06-02,1404
2015-06-03,1408
2015-06-04,1369
2015-06-05,1403
2015-06-06,1430
2015-06-07,1403
2015-06-08,1424
2015-06-09,1410
2015-06-10,1443
2015-06-11,1485
2015-06-12,1446
2015-06-13,1428
2015-06-14,1434
2015-06-15,1432
2015-06-16,1398
2015-06-17,1397
2015-06-18,1387
2015-06-19,1357
2015-06-20,1383
2015-06-21,1341
2015-06-22,1336
2015-06-23,1372
2015-06-24,1371
2015-06-25,1392
2015-06-26,1400
2015-06-27,1391
2015-06-28,1371
2015-06-29,1407
2015-06-30,1401
2015-07-01,1398
2015-07-02,1346
2015-07-03,1389
2015-07-04,1384
2015-07-05,1383
2015-07-06,1369
2015-07-07,1382
2015-07-08,1375
2015-07-09,1342
2015-07-10,1338
2015-07-11,1367
2015-07-12,1375
2015-07-13,1391
2015-07-14,1408
2015-07-15,1394
2015-07-16,1390
2015-07-17,1377
2015-07-18,1390
2015-07-19,1360
2015-07-20,1363
2015-07-21,1375
2015-07-22,1387
2015-07-23,1402
2015-07-24,1410
2015-07-25,1431
2015-07-26,1383
2015-07-27,1399
2015-07-28,1407
2015-07-29,1409
2015-07-30,1421
2015-07-31,1407
2015-08-01,1389
2015-08-02,1389
2015-08-03,1381
2015-08-04,1347
2015-08-05,1373
2015-08-06,1398
2015-08-07,1399
2015-08-08,1406
2015-08-09,1384
2015-08-10,1374
2015-08-11,1382
2015-08-12,1385
2015-08-13,1402
2015-08-14,1392
2015-08-15,1402
2015-08-16,1424
2015-08-17,1403
2015-08-18,1402
2015-08-19,1399
2015-08-20,1415
2015-08-21,1408
2015-08-22,1419
2015-08-23,1441
2015-08-24,1430
2015-08-25,1430
2015-08-26,1416
2015-08-27,1395
2015-08-28,1395
2015-08-29,1392
