date_obj,White%20platebody price
2015-03-26,94166
2015-03-27,94166
2015-03-28,94166
2015-03-29,94166
2015-03-30,89559
2015-03-31,89559
2015-04-01,89559
2015-04-02,89559
2015-04-03,89559
2015-04-04,89559
2015-04-05,89559
2015-04-06,89559
2015-04-07,89559
2015-04-08,89559
2015-04-09,89559
2015-04-10,89559
2015-04-11,85146
2015-04-12,85146
2015-04-13,85146
2015-04-14,85146
2015-04-15,85146
2015-04-16,85146
2015-04-17,85146
2015-04-18,85146
2015-04-19,85146
2015-04-20,85146
2015-04-21,85146
2015-04-22,85146
2015-04-23,80977
2015-04-24,80977
2015-04-25,80977
2015-04-26,80977
2015-04-27,80977
2015-04-28,80977
2015-04-29,80977
2015-04-30,80977
2015-05-01,80977
2015-05-02,80977
2015-05-03,80977
2015-05-04,80977
2015-05-05,80977
2015-05-06,80977
2015-05-07,76997
2015-05-08,76997
2015-05-09,76997
2015-05-10,76997
2015-05-11,76997
2015-05-12,76997
2015-05-13,76997
2015-05-14,76997
2015-05-15,76997
2015-05-16,76997
2015-05-17,76997
2015-05-18,76997
2015-05-19,76997
2015-05-20,76997
2015-05-21,76997
2015-05-22,73332
2015-05-23,73332
2015-05-24,73332
2015-05-25,73332
2015-05-26,73332
2015-05-27,73332
2015-05-28,73332
2015-05-29,73332
2015-05-30,69729
2015-05-31,69729
2015-06-01,69729
2015-06-02,69729
2015-06-03,69729
2015-06-04,69729
2015-06-05,69729
2015-06-06,69729
2015-06-07,69729
2015-06-08,69729
2015-06-09,66406
2015-06-10,66406
2015-06-11,66406
2015-06-12,66406
2015-06-13,66406
2015-06-14,66406
2015-06-15,66406
2015-06-16,66406
2015-06-17,66406
2015-06-18,66406
2015-06-19,63164
2015-06-20,63164
2015-06-21,63164
2015-06-22,63164
2015-06-23,63164
2015-06-24,63164
2015-06-25,63164
2015-06-26,63164
2015-06-27,63164
2015-06-28,63164
2015-06-29,63164
2015-06-30,60167
2015-07-01,60167
2015-07-02,60167
2015-07-03,60167
2015-07-04,60167
2015-07-05,60167
2015-07-06,60167
2015-07-07,60167
2015-07-08,60167
2015-07-09,57186
2015-07-10,57186
2015-07-11,57186
2015-07-12,57186
2015-07-13,57186
2015-07-14,57186
2015-07-15,57186
2015-07-16,57186
2015-07-17,54427
2015-07-18,54427
2015-07-19,54427
2015-07-20,54427
2015-07-21,54427
2015-07-22,54427
2015-07-23,54427
2015-07-24,54427
2015-07-25,51797
2015-07-26,51797
2015-07-27,51797
2015-07-28,51797
2015-07-29,51797
2015-07-30,51797
2015-07-31,51797
2015-08-01,51797
2015-08-02,49247
2015-08-03,49247
2015-08-04,49247
2015-08-05,49247
2015-08-06,49247
2015-08-07,49247
2015-08-08,49247
2015-08-09,46834
2015-08-10,46834
2015-08-11,46834
2015-08-12,46834
2015-08-13,46834
2015-08-14,46834
2015-08-15,46834
2015-08-16,46834
2015-08-17,44564
2015-08-18,44564
2015-08-19,44564
2015-08-20,44564
2015-08-21,44564
2015-08-22,44564
2015-08-23,44564
2015-08-24,42426
2015-08-25,42426
2015-08-26,42426
2015-08-27,42426
2015-08-28,42426
2015-08-29,42426
2015-08-30,42426
2015-08-31,42426
2015-09-01,42426
2015-09-02,40334
2015-09-03,40334
2015-09-04,40334
2015-09-05,40334
2015-09-06,40334
2015-09-07,40334
2015-09-08,40334
2015-09-09,38385
2015-09-10,38385
2015-09-11,38385
2015-09-12,38385
2015-09-13,38385
2015-09-14,38385
2015-09-15,38385
2015-09-16,38385
2015-09-17,36517
2015-09-18,36517
2015-09-19,36517
2015-09-20,36517
2015-09-21,36517
2015-09-22,36517
2015-09-23,36517
2015-09-24,36517
2015-09-25,36517
2015-09-27,34764
2015-09-28,34764
2015-09-29,34764
2015-09-30,34764
2015-10-05,34764
2015-10-06,33051
2015-10-07,33051
2015-10-08,33051
2015-10-09,33051
2015-10-10,33051
2015-10-11,33051
2015-10-12,33051
2015-10-13,33051
2015-10-14,33051
2015-10-15,31571
2015-10-16,31571
2015-10-17,31571
2015-10-18,31571
2015-10-19,31571
2015-10-20,31571
2015-10-22,31571
2015-10-23,30025
2015-10-24,30025
2015-10-25,30025
2015-10-26,30025
2015-10-27,30025
2015-10-29,30025
2015-10-30,30025
2015-10-31,28578
2015-11-01,28578
2015-11-02,28578
2015-11-03,28578
2015-11-04,28578
2015-11-05,28578
2015-11-06,28578
2015-11-07,28578
2015-11-08,28578
2015-11-09,28578
2015-11-10,28578
2015-11-11,27335
2015-11-12,27335
2015-11-13,27335
2015-11-14,27335
2015-11-15,27335
2015-11-16,27335
2015-11-17,27335
2015-11-18,27335
2015-11-19,27335
2015-11-20,27335
2015-11-21,26155
2015-11-22,26155
2015-11-23,26155
2015-11-24,26155
2015-11-25,26155
2015-11-26,26155
2015-11-27,26155
2015-11-28,26155
2015-11-29,26155
2015-11-30,24874
2015-12-01,24874
2015-12-02,24874
2015-12-03,24874
2015-12-04,24874
2015-12-05,24874
2015-12-06,24874
2015-12-07,24874
2015-12-08,23693
2015-12-09,23693
2015-12-10,23693
2015-12-11,23693
2015-12-13,23693
2015-12-14,23693
2015-12-15,22571
2015-12-16,22571
2015-12-17,22571
2015-12-18,22571
2015-12-19,22571
2015-12-20,22571
2015-12-21,22571
2015-12-22,22571
2015-12-23,21469
2015-12-24,21469
2015-12-25,21469
2015-12-26,21469
2015-12-27,21469
2015-12-28,21469
2015-12-29,21469
2015-12-30,21469
2015-12-31,20430
2016-01-01,20430
2016-01-02,20430
2016-01-03,20430
2016-01-04,20430
2016-01-05,20430
2016-01-06,20430
2016-01-07,19457
2016-01-08,19457
2016-01-09,19457
2016-01-10,19457
2016-01-11,19457
2016-01-12,19457
2016-01-13,19457
2016-01-14,19457
2016-01-15,18580
2016-01-16,18580
2016-01-17,18580
2016-01-18,18580
2016-01-19,18580
2016-01-20,18580
2016-01-21,18580
2016-01-22,17663
2016-01-23,17663
2016-01-24,17663
2016-01-25,17663
2016-01-26,17663
2016-01-27,17663
2016-01-28,17663
2016-01-29,16799
2016-01-30,16799
2016-01-31,16799
2016-02-01,16799
2016-02-02,16799
2016-02-03,16799
2016-02-04,16799
2016-02-05,16065
2016-02-06,16065
2016-02-07,16065
2016-02-08,16065
2016-02-09,16065
2016-02-10,16065
2016-02-11,16065
2016-02-12,16065
2016-02-13,15280
2016-02-14,15280
2016-02-15,15280
2016-02-16,15280
2016-02-17,15280
2016-02-18,15280
2016-02-19,15280
2016-02-20,15280
2016-02-21,14540
2016-02-22,14540
2016-02-23,14540
2016-02-24,14540
2016-02-25,14540
2016-02-26,14540
2016-02-27,14540
