date_obj,Steel%20plateskirt price
2015-03-26,8873
2015-03-27,8873
2015-03-28,8873
2015-03-29,8873
2015-03-30,8873
2015-03-31,8450
2015-04-01,8450
2015-04-02,8450
2015-04-03,8450
2015-04-04,8450
2015-04-05,8047
2015-04-06,8047
2015-04-07,8047
2015-04-08,8047
2015-04-09,8047
2015-04-10,7668
2015-04-11,7668
2015-04-12,7668
2015-04-13,7668
2015-04-14,7668
2015-04-15,7289
2015-04-16,7289
2015-04-17,7289
2015-04-18,7289
2015-04-19,7289
2015-04-20,6933
2015-04-21,6933
2015-04-22,6933
2015-04-23,6933
2015-04-24,6933
2015-04-25,6590
2015-04-26,6590
2015-04-27,6590
2015-04-28,6590
2015-04-29,6590
2015-04-30,6260
2015-05-01,6260
2015-05-02,6260
2015-05-03,5952
2015-05-04,5952
2015-05-05,5952
2015-05-06,5654
2015-05-07,5654
2015-05-08,5654
2015-05-09,5380
2015-05-10,5380
2015-05-11,5380
2015-05-12,5117
2015-05-13,5117
2015-05-14,5117
2015-05-15,5117
2015-05-16,4886
2015-05-17,4886
2015-05-18,4886
2015-05-19,4645
2015-05-20,4645
2015-05-21,4645
2015-05-22,4645
2015-05-23,4645
2015-05-24,4425
2015-05-25,4425
2015-05-26,4425
2015-05-27,4425
2015-05-28,4203
2015-05-29,4203
2015-05-30,3995
2015-05-31,3995
2015-06-01,3995
2015-06-02,3995
2015-06-03,3797
2015-06-04,3797
2015-06-05,3797
2015-06-06,3614
2015-06-07,3614
2015-06-08,3614
2015-06-09,3614
2015-06-10,3444
2015-06-11,3444
2015-06-12,3444
2015-06-13,3444
2015-06-14,3277
2015-06-15,3277
2015-06-16,3277
2015-06-17,3277
2015-06-18,3126
2015-06-19,3126
2015-06-20,3126
2015-06-21,3126
2015-06-22,2977
2015-06-23,2977
2015-06-24,2977
2015-06-25,2977
2015-06-26,2832
2015-06-27,2832
2015-06-28,2832
2015-06-29,2832
2015-06-30,2699
2015-07-01,2699
2015-07-02,2699
2015-07-03,2574
2015-07-04,2574
2015-07-05,2574
2015-07-06,2574
2015-07-07,2456
2015-07-08,2456
2015-07-09,2456
2015-07-10,2339
2015-07-11,2339
2015-07-12,2339
2015-07-13,2339
2015-07-14,2227
2015-07-15,2227
2015-07-16,2227
2015-07-17,2133
2015-07-18,2133
2015-07-19,2133
2015-07-20,2034
2015-07-21,2034
2015-07-22,1945
2015-07-23,1945
2015-07-24,1945
2015-07-25,1855
2015-07-26,1855
2015-07-27,1855
2015-07-28,1766
2015-07-29,1766
2015-07-30,1693
2015-07-31,1693
2015-08-01,1693
2015-08-02,1612
2015-08-03,1612
2015-08-04,1612
2015-08-05,1538
2015-08-06,1538
2015-08-07,1538
2015-08-08,1466
2015-08-09,1466
2015-08-10,1466
2015-08-11,1403
2015-08-12,1403
2015-08-13,1403
2015-08-14,1339
2015-08-15,1339
2015-08-16,1339
2015-08-17,1276
2015-08-18,1276
2015-08-19,1276
2015-08-20,1276
2015-08-21,1214
2015-08-22,1214
2015-08-23,1214
2015-08-24,1162
2015-08-25,1162
2015-08-26,1162
2015-08-27,1109
2015-08-28,1109
2015-08-29,1109
2015-08-30,1109
2015-08-31,1058
2015-09-01,1058
2015-09-02,1058
2015-09-03,1058
2015-09-04,1011
2015-09-05,1011
2015-09-06,1011
2015-09-07,1011
2015-09-08,966
2015-09-09,966
2015-09-10,966
2015-09-11,921
2015-09-12,921
2015-09-13,921
2015-09-14,921
2015-09-15,877
2015-09-16,877
2015-09-17,877
2015-09-18,877
2015-09-19,839
2015-09-20,839
2015-09-21,839
2015-09-22,839
2015-09-23,802
2015-09-24,802
2015-09-25,802
2015-09-27,802
2015-09-28,773
2015-09-29,773
2015-09-30,773
2015-10-05,739
2015-10-06,705
2015-10-07,705
2015-10-08,705
2015-10-09,705
2015-10-10,705
2015-10-11,669
2015-10-12,669
2015-10-13,669
2015-10-14,669
2015-10-15,638
