date_obj,Rune%20helm%20(h1) price
2015-03-26,55938
2015-03-27,55938
2015-03-28,55289
2015-03-29,54164
2015-03-30,52606
2015-03-31,50693
2015-04-01,48924
2015-04-02,47756
2015-04-03,47189
2015-04-04,46932
2015-04-05,47095
2015-04-06,47070
2015-04-07,46513
2015-04-08,46695
2015-04-09,46220
2015-04-10,45838
2015-04-11,45513
2015-04-12,45554
2015-04-13,45117
2015-04-14,45063
2015-04-15,44887
2015-04-16,44290
2015-04-17,43957
2015-04-18,43363
2015-04-19,43182
2015-04-20,42362
2015-04-21,42751
2015-04-22,42694
2015-04-23,42482
2015-04-24,42824
2015-04-25,42609
2015-04-26,42636
2015-04-27,42686
2015-04-28,42685
2015-04-29,42989
2015-04-30,41970
2015-05-01,42458
2015-05-02,44581
2015-05-03,46811
2015-05-04,49152
2015-05-05,51610
2015-05-06,50707
2015-05-07,51806
2015-05-08,54146
2015-05-09,56005
2015-05-10,57288
2015-05-11,57627
2015-05-12,57383
2015-05-13,55717
2015-05-14,55366
2015-05-15,54572
2015-05-16,54104
2015-05-17,53001
2015-05-18,52281
2015-05-19,51785
2015-05-20,51493
2015-05-21,51162
2015-05-22,50771
2015-05-23,50700
2015-05-24,50488
2015-05-25,49906
2015-05-26,51035
2015-05-27,52982
2015-05-28,54070
2015-05-29,55311
2015-05-30,56079
2015-05-31,55816
2015-06-01,55653
2015-06-02,55653
2015-06-03,54791
2015-06-04,53630
2015-06-05,52736
2015-06-06,51454
2015-06-07,50258
2015-06-08,48774
2015-06-09,46495
2015-06-10,44609
2015-06-11,43054
2015-06-12,42284
2015-06-13,41617
2015-06-14,40261
2015-06-15,38888
2015-06-16,38174
2015-06-17,37433
2015-06-18,36978
2015-06-19,36490
2015-06-20,35670
2015-06-21,35168
2015-06-22,34632
2015-06-23,34014
2015-06-24,33361
2015-06-25,33429
2015-06-26,33195
2015-06-27,32463
2015-06-28,31989
2015-06-29,31475
2015-06-30,31109
2015-07-01,30523
2015-07-02,30523
2015-07-03,30254
2015-07-04,30054
2015-07-05,30314
2015-07-06,30018
2015-07-07,29778
2015-07-08,29409
2015-07-09,29317
2015-07-10,28744
2015-07-11,28029
2015-07-12,27811
2015-07-13,27454
2015-07-14,26740
2015-07-15,26525
2015-07-16,26420
2015-07-17,26253
2015-07-18,26678
2015-07-19,26588
2015-07-20,26640
2015-07-21,26516
2015-07-22,26326
2015-07-23,26206
2015-07-24,25837
2015-07-25,25985
2015-07-26,25710
2015-07-27,25773
2015-07-28,25681
2015-07-29,25485
2015-07-30,25418
2015-07-31,24633
2015-08-01,24648
2015-08-02,24389
2015-08-03,24049
2015-08-04,24024
2015-08-05,23728
2015-08-06,23637
2015-08-07,23875
2015-08-08,23769
2015-08-09,24147
2015-08-10,24272
2015-08-11,25046
2015-08-12,24729
2015-08-13,24597
2015-08-14,25166
2015-08-15,25241
2015-08-16,25794
2015-08-17,25958
2015-08-18,25351
2015-08-19,24882
2015-08-20,24781
2015-08-21,24590
2015-08-22,24421
2015-08-23,24119
2015-08-24,23863
2015-08-25,23863
2015-08-26,23516
2015-08-27,23065
2015-08-28,22544
2015-08-29,22230
2015-08-30,22301
2015-08-31,21614
2015-09-01,21077
2015-09-02,21273
2015-09-03,21568
2015-09-04,21328
2015-09-05,21328
2015-09-06,21126
2015-09-07,20884
2015-09-08,20522
2015-09-09,20697
2015-09-10,21041
2015-09-11,21025
2015-09-12,21647
2015-09-13,21397
2015-09-14,21225
2015-09-15,21437
2015-09-16,21437
2015-09-17,21837
2015-09-18,21837
2015-09-19,22248
2015-09-20,22222
2015-09-21,21990
2015-09-22,22554
2015-09-23,23372
2015-09-24,24009
2015-09-25,25024
2015-09-27,26125
2015-09-28,25794
2015-09-29,24907
2015-09-30,24515
2015-10-05,22334
2015-10-06,21977
2015-10-07,21824
2015-10-08,22137
2015-10-09,22062
2015-10-10,22062
2015-10-11,21703
2015-10-12,21750
2015-10-13,21993
2015-10-14,22331
2015-10-15,22002
2015-10-16,21737
2015-10-17,22325
2015-10-18,21801
2015-10-19,21843
2015-10-20,21888
2015-10-22,22313
2015-10-23,22669
2015-10-24,23126
2015-10-25,23494
2015-10-26,24182
2015-10-27,25262
2015-10-29,25014
2015-10-30,24963
2015-10-31,24421
2015-11-01,24421
2015-11-02,24202
2015-11-03,24097
2015-11-04,24019
2015-11-05,23875
2015-11-06,24177
2015-11-07,23836
2015-11-08,23836
2015-11-09,23388
2015-11-10,22833
2015-11-11,22440
2015-11-12,21737
2015-11-13,21717
2015-11-14,21302
2015-11-15,21187
2015-11-16,20929
2015-11-17,20744
2015-11-18,20636
2015-11-19,20531
2015-11-20,21030
2015-11-21,21030
2015-11-22,21034
2015-11-23,21034
2015-11-24,21023
2015-11-25,21720
2015-11-26,21720
2015-11-27,22680
2015-11-28,22850
2015-11-29,22416
2015-11-30,22562
2015-12-01,23273
2015-12-02,23458
2015-12-03,24194
2015-12-04,24477
2015-12-05,24923
2015-12-06,25046
2015-12-07,24910
2015-12-08,24997
2015-12-09,24558
2015-12-10,24383
2015-12-11,24130
2015-12-12,23852
2015-12-13,23552
2015-12-14,23552
2015-12-15,23367
2015-12-16,22916
2015-12-17,22916
2015-12-18,22836
2015-12-19,22862
2015-12-20,22909
2015-12-21,22502
2015-12-22,22506
2015-12-23,22191
2015-12-24,22388
2015-12-25,22427
2015-12-26,22346
2015-12-27,22093
2015-12-28,21979
2015-12-29,21662
2015-12-30,21952
2015-12-31,22223
2016-01-01,23295
2016-01-02,23747
2016-01-03,23720
2016-01-04,23641
2016-01-05,23203
2016-01-06,23207
2016-01-07,23260
2016-01-08,23388
2016-01-09,23306
2016-01-10,23291
2016-01-11,23173
2016-01-12,22626
2016-01-13,22443
2016-01-14,22197
2016-01-15,22232
