date_obj,Guthix%20mjolnir price
2015-03-26,57250
2015-03-27,57250
2015-03-28,57250
2015-03-29,57250
2015-03-30,57250
2015-03-31,57250
2015-04-01,57250
2015-04-02,57250
2015-04-03,57250
2015-04-04,55046
2015-04-05,55046
2015-04-06,55046
2015-04-07,55046
2015-04-08,55046
2015-04-09,55046
2015-04-10,55046
2015-04-11,55046
2015-04-12,55046
2015-04-13,55046
2015-04-14,55046
2015-04-15,55046
2015-04-16,55046
2015-04-17,55046
2015-04-18,55046
2015-04-19,52312
2015-04-20,52312
2015-04-21,52312
2015-04-22,52312
2015-04-23,52312
2015-04-24,52312
2015-04-25,52312
2015-04-26,52312
2015-04-27,52312
2015-04-28,52312
2015-04-29,52312
2015-04-30,52312
2015-05-01,52312
2015-05-02,52312
2015-05-03,52312
2015-05-04,52312
2015-05-05,52312
2015-05-06,52312
2015-05-07,52312
2015-05-08,49705
2015-05-09,49705
2015-05-10,49705
2015-05-11,49705
2015-05-12,49705
2015-05-13,49705
2015-05-14,49705
2015-05-15,49705
2015-05-16,49705
2015-05-17,49705
2015-05-18,49705
2015-05-19,49705
2015-05-20,49705
2015-05-21,49705
2015-05-22,49705
2015-05-23,49705
2015-05-24,49705
2015-05-25,49705
2015-05-26,49705
2015-05-27,49705
2015-05-28,47219
2015-05-29,47219
2015-05-30,47219
2015-05-31,47219
2015-06-01,47219
2015-06-02,47219
2015-06-03,47219
2015-06-04,47219
2015-06-05,47219
2015-06-06,47219
2015-06-07,47219
2015-06-08,47219
2015-06-09,47219
2015-06-10,44885
2015-06-11,44885
2015-06-12,44885
2015-06-13,44885
2015-06-14,44885
2015-06-15,44885
2015-06-16,44885
2015-06-17,44885
2015-06-18,44885
2015-06-19,44885
2015-06-20,44885
2015-06-21,44885
2015-06-22,44885
2015-06-23,44885
2015-06-24,44885
2015-06-25,44885
2015-06-26,42654
2015-06-27,42654
2015-06-28,42654
2015-06-29,42654
2015-06-30,42654
2015-07-01,42654
2015-07-02,42654
2015-07-03,42654
2015-07-04,42654
2015-07-05,42654
2015-07-06,42654
2015-07-07,42654
2015-07-08,42654
2015-07-09,42654
2015-07-10,40521
2015-07-11,40521
2015-07-12,40521
2015-07-13,40521
2015-07-14,40521
2015-07-15,40521
2015-07-16,40521
2015-07-17,40521
2015-07-18,40521
2015-07-19,40521
2015-07-20,40521
2015-07-21,40521
2015-07-22,40521
2015-07-23,40521
2015-07-24,40521
2015-07-25,38506
2015-07-26,38506
2015-07-27,38506
2015-07-28,38506
2015-07-29,38506
2015-07-30,38506
2015-07-31,38506
2015-08-01,38506
2015-08-02,38506
2015-08-03,38506
2015-08-04,38506
2015-08-05,38506
2015-08-06,38506
2015-08-07,38506
2015-08-08,38506
2015-08-09,38506
2015-08-10,36639
2015-08-11,36639
2015-08-12,36639
2015-08-13,36639
2015-08-14,36639
2015-08-15,36639
2015-08-16,36639
2015-08-17,36639
2015-08-18,36639
2015-08-19,36639
2015-08-20,36639
2015-08-21,36639
2015-08-22,36639
2015-08-23,36639
2015-08-24,36639
2015-08-25,36639
2015-08-26,36639
2015-08-27,34829
2015-08-28,34829
2015-08-29,34829
2015-08-30,34829
2015-08-31,34829
2015-09-01,34829
2015-09-02,34829
2015-09-03,34829
2015-09-04,34829
2015-09-05,34829
2015-09-06,34829
2015-09-07,34829
2015-09-08,34829
2015-09-09,34829
2015-09-10,34829
2015-09-11,34829
2015-09-12,34829
2015-09-13,34829
2015-09-14,33123
2015-09-15,33123
2015-09-16,33123
2015-09-17,33123
2015-09-18,33123
2015-09-19,33123
2015-09-20,33123
2015-09-21,33123
2015-09-22,33123
2015-09-23,33123
2015-09-24,33123
2015-09-25,33123
2015-09-27,33123
2015-09-28,33123
2015-09-29,33123
2015-09-30,33123
2015-10-05,31486
2015-10-06,31486
2015-10-07,31486
2015-10-08,31486
2015-10-09,31486
2015-10-10,31486
2015-10-11,31486
2015-10-12,31486
2015-10-13,31486
2015-10-14,31486
2015-10-15,31486
2015-10-16,31486
2015-10-17,31486
2015-10-18,31486
2015-10-19,31486
2015-10-20,31486
2015-10-22,31486
2015-10-23,31486
2015-10-24,31486
2015-10-25,31486
2015-10-26,31486
2015-10-27,31486
2015-10-29,29950
2015-10-30,29950
2015-10-31,29950
2015-11-01,29950
2015-11-02,29950
2015-11-03,29950
2015-11-04,29950
2015-11-05,29950
2015-11-06,29950
2015-11-07,29950
2015-11-08,29950
2015-11-09,29950
2015-11-10,29950
2015-11-11,29950
2015-11-12,29950
2015-11-13,29950
2015-11-14,29950
2015-11-15,29950
2015-11-16,29950
2015-11-17,29950
2015-11-18,29950
2015-11-19,29950
2015-11-20,29950
2015-11-21,28471
2015-11-22,28471
2015-11-23,28471
2015-11-24,28471
2015-11-25,28471
2015-11-26,28471
2015-11-27,28471
2015-11-28,28471
2015-11-29,28471
2015-11-30,28471
2015-12-01,28471
2015-12-02,28471
2015-12-03,28471
2015-12-04,28471
2015-12-05,28471
2015-12-06,28471
2015-12-07,28471
2015-12-08,28471
2015-12-09,27073
2015-12-10,27073
