date_obj,Black%20halberd price
2015-03-26,35500
2015-03-27,35500
2015-03-28,35500
2015-03-29,35500
2015-03-30,35500
2015-03-31,35500
2015-04-01,35500
2015-04-02,35500
2015-04-03,35500
2015-04-04,35500
2015-04-05,35500
2015-04-06,35500
2015-04-07,35500
2015-04-08,35500
2015-04-09,35500
2015-04-10,35500
2015-04-11,35500
2015-04-12,35500
2015-04-13,35500
2015-04-14,35500
2015-04-15,35500
2015-04-16,35500
2015-04-17,35500
2015-04-18,35500
2015-04-19,35500
2015-04-20,35500
2015-04-21,35500
2015-04-22,35500
2015-04-23,35500
2015-04-24,35500
2015-04-25,35500
2015-04-26,35500
2015-04-27,35500
2015-04-28,35500
2015-04-29,35500
2015-04-30,35500
2015-05-01,35500
2015-05-02,35500
2015-05-03,35500
2015-05-04,35500
2015-05-05,35500
2015-05-06,35500
2015-05-07,35500
2015-05-08,35500
2015-05-09,35500
2015-05-10,35500
2015-05-11,35500
2015-05-12,35500
2015-05-13,35500
2015-05-14,35500
2015-05-15,35500
2015-05-16,35500
2015-05-17,35500
2015-05-18,35500
2015-05-19,35500
2015-05-20,35500
2015-05-21,35500
2015-05-22,35500
2015-05-23,35500
2015-05-24,35500
2015-05-25,35500
2015-05-26,35500
2015-05-27,35500
2015-05-28,33852
2015-05-29,33852
2015-05-30,33852
2015-05-31,33852
2015-06-01,33852
2015-06-02,33852
2015-06-03,33852
2015-06-04,33852
2015-06-05,33852
2015-06-06,33852
2015-06-07,33852
2015-06-08,33852
2015-06-09,33852
2015-06-10,33852
2015-06-11,33852
2015-06-12,33852
2015-06-13,33852
2015-06-14,33852
2015-06-15,33852
2015-06-16,33852
2015-06-17,33852
2015-06-18,33852
2015-06-19,33852
2015-06-20,33852
2015-06-21,33852
2015-06-22,33852
2015-06-23,33852
2015-06-24,33852
2015-06-25,33852
2015-06-26,33852
2015-06-27,33852
2015-06-28,33852
2015-06-29,33852
2015-06-30,33852
2015-07-01,33852
2015-07-02,33852
2015-07-03,33852
2015-07-04,33852
2015-07-05,33852
2015-07-06,33852
2015-07-07,33852
2015-07-08,33852
2015-07-09,33852
2015-07-10,33852
2015-07-11,33852
2015-07-12,33852
2015-07-13,33852
2015-07-14,33852
2015-07-15,33852
2015-07-16,33852
2015-07-17,33852
2015-07-18,33852
2015-07-19,33852
2015-07-20,33852
2015-07-21,33852
2015-07-22,33852
2015-07-23,33852
2015-07-24,33852
2015-07-25,33852
2015-07-26,33852
2015-07-27,33852
2015-07-28,33852
2015-07-29,33852
