date_obj,Dragon%20claws price
2017-01-04,41521111
2017-01-05,43093681
2017-01-06,44854911
2017-01-07,47097657
2017-01-08,49452540
2017-01-09,51925167
2017-01-10,54521426
2017-01-11,57247498
2017-01-12,60109873
2017-01-13,63115367
2017-01-14,66271136
2017-01-15,69584693
2017-01-16,73063928
2017-01-17,76717125
2017-01-18,80552982
2017-01-19,84580632
2017-01-20,88809664
2017-01-21,93250148
2017-01-22,97912656
2017-01-23,102808289
2017-01-27,124964120
2017-01-28,131212326
2017-01-29,137772943
2017-01-30,144661591
2017-01-31,151894671
2017-02-01,159489405
2017-02-02,167463876
2017-02-03,175837070
2017-02-04,184628924
2017-02-05,193852928
2017-02-06,201303142
2017-02-07,200925722
2017-02-08,207317462
2017-02-09,203665525
2017-02-10,194556852
2017-02-11,192720222
2017-02-12,190826750
2017-02-13,185512093
2017-02-14,176758843
2017-02-15,168104980
2017-02-16,170449072
2017-02-18,177848219
2017-02-19,173341506
2017-02-20,167514300
2017-02-21,165729581
2017-02-22,167614678
2017-02-23,165247676
2017-02-24,165392519
2017-02-25,167103574
2017-02-26,165882583
2017-02-27,163807773
2017-02-28,163922465
2017-03-01,163650614
2017-03-02,165328499
2017-03-03,166938410
2017-03-04,166804539
2017-03-05,167484431
2017-03-06,165102548
2017-03-07,161724988
2017-03-08,155946234
2017-03-09,148148922
2017-03-10,140741475
2017-03-11,133711600
2017-03-12,133271564
2017-03-13,127136326
2017-03-14,120779509
2017-03-15,114740533
2017-03-16,110551344
2017-03-17,109663233
2017-03-18,109153278
2017-03-19,110500094
2017-03-20,110898907
2017-03-21,115606819
2017-03-22,120866280
2017-03-23,125999465
2017-03-24,125149281
2017-03-25,119776491
2017-03-26,120640718
2017-03-27,120002178
2017-03-28,119821000
2017-03-29,120460535
2017-03-30,123167629
2017-03-31,123547022
2017-04-01,125283568
2017-04-02,126166135
2017-04-03,128134784
2017-04-04,127425846
2017-04-12,134599029
2017-04-13,138604365
2017-04-14,135684417
2017-04-15,133035182
2017-04-16,128724321
2017-04-17,129428865
2017-04-18,132295038
2017-04-19,134008350
2017-04-20,135790868
2017-04-21,137197644
2017-04-22,139063977
2017-04-23,138755154
2017-04-24,138232471
2017-04-25,136314375
2017-04-26,130538397
2017-04-27,125992620
2017-04-28,129702388
2017-04-29,130691245
2017-04-30,131852084
2017-05-01,131778636
2017-05-02,131921928
2017-05-03,132159595
2017-05-04,131890869
2017-05-05,131570861
2017-05-06,133091436
2017-05-07,132327547
2017-05-08,131709482
2017-05-09,128790323
2017-05-10,125280278
2017-05-11,124160347
2017-05-12,122854639
2017-05-13,122117102
2017-05-14,122143645
2017-05-15,124905038
2017-05-16,124281318
2017-05-17,123955246
2017-05-18,123175607
2017-05-19,122724387
2017-05-20,122193462
2017-05-21,121702664
2017-05-22,119131091
2017-05-23,115081421
2017-05-24,114702859
2017-05-25,109581008
2017-05-26,106736723
2017-05-27,111703233
2017-05-28,111326752
2017-05-29,109081720
2017-05-30,110083449
2017-05-31,109844590
2017-06-01,106595689
2017-06-02,104517088
2017-06-03,104296889
2017-06-04,105521507
2017-06-05,106701513
2017-06-06,104452390
2017-06-07,103726011
2017-06-08,103537099
2017-06-09,102374530
2017-06-10,97451889
2017-06-11,92579294
2017-06-12,88054931
2017-06-13,90846382
2017-06-14,92303982
2017-06-15,93465871
2017-06-16,94659996
2017-06-17,95215618
2017-06-18,94983624
2017-06-19,95376198
2017-06-20,94460265
2017-06-21,90795050
2017-06-22,89728248
2017-06-23,90393104
2017-06-24,91072224
2017-06-25,91529207
2017-06-26,91375590
2017-06-27,90414175
2017-06-28,89091214
2017-06-29,88794582
2017-06-30,89622730
2017-07-01,89068787
2017-07-02,89122924
2017-07-03,89342323
2017-07-04,90116398
2017-07-05,89677247
2017-07-06,89441270
2017-07-07,89668183
2017-07-08,90454612
2017-07-13,92674990
2017-07-14,92146852
2017-07-15,92610782
2017-07-16,92983896
2017-07-17,93010979
2017-07-18,92595479
2017-07-19,92225657
2017-07-20,91564828
2017-07-21,91189992
2017-07-22,91521645
2017-07-23,92243671
2017-07-24,92663951
2017-07-25,92645649
2017-07-26,92824952
2017-07-27,92276621
2017-07-28,92352246
2017-07-29,92547744
2017-07-30,92899102
2017-07-31,92845645
2017-08-01,92554864
2017-08-02,92149456
2017-08-03,91745346
2017-08-04,91528263
2017-08-05,91762033
2017-08-06,91665350
2017-08-09,89044661
2017-08-10,87118400
2017-08-11,86977442
2017-08-12,85941951
2017-08-13,83697388
2017-08-14,82218020
2017-08-15,79052089
2017-08-16,79249882
2017-08-17,76949350
2017-08-18,74502146
2017-08-19,72381069
2017-08-20,69925119
2017-08-21,67388561
2017-08-22,64866798
2017-08-23,63851865
2017-08-24,66961227
2017-08-25,69983676
2017-08-26,72660128
2017-08-27,72313103
2017-08-28,75273956
2017-08-29,77948890
2017-08-30,74857917
2017-08-31,72218783
2017-09-01,72032775
