date_obj,Warrior%20ring price
2015-03-26,329464
2015-03-27,325762
2015-03-28,319823
2015-03-29,310849
2015-03-30,305064
2015-03-31,295526
2015-04-01,287671
2015-04-02,293182
2015-04-03,303024
2015-04-04,316404
2015-04-05,323655
2015-04-06,326671
2015-04-07,333839
2015-04-08,348915
2015-04-09,360243
2015-04-10,371927
2015-04-11,386049
2015-04-12,398180
2015-04-13,413098
2015-04-14,426613
2015-04-15,426354
2015-04-16,441086
2015-04-17,460794
2015-04-18,473479
2015-04-19,485521
2015-04-20,495102
2015-04-21,507253
2015-04-22,510653
2015-04-23,515623
2015-04-24,529263
2015-04-25,532562
2015-04-26,524640
2015-04-27,511312
2015-04-28,489091
2015-04-29,475211
2015-04-30,459455
2015-05-01,446094
2015-05-02,434848
2015-05-03,427943
2015-05-04,418490
2015-05-05,413430
2015-05-06,414316
2015-05-07,414564
2015-05-08,414093
2015-05-09,412328
2015-05-10,407972
2015-05-11,400998
2015-05-12,393641
2015-05-13,388104
2015-05-14,376871
2015-05-15,376731
2015-05-16,378179
2015-05-17,387724
2015-05-18,391433
2015-05-19,397171
2015-05-20,407203
2015-05-21,418117
2015-05-22,421962
2015-05-23,424641
2015-05-24,415009
2015-05-25,400183
2015-05-26,388558
2015-05-27,390230
2015-05-28,400455
2015-05-29,409707
2015-05-30,408615
2015-05-31,400209
2015-06-01,395269
2015-06-02,390908
2015-06-03,389250
2015-06-04,385644
2015-06-05,389944
2015-06-06,405654
2015-06-07,418115
2015-06-08,435188
2015-06-09,450162
2015-06-10,460627
2015-06-11,448885
2015-06-12,433178
2015-06-13,412696
2015-06-14,393785
2015-06-15,380044
2015-06-16,372867
2015-06-17,365203
2015-06-18,357700
2015-06-19,348493
2015-06-20,339527
2015-06-21,334745
2015-06-22,325075
2015-06-23,320840
2015-06-24,314448
2015-06-25,312984
2015-06-26,317707
2015-06-27,323284
2015-06-28,332726
2015-06-29,345126
2015-06-30,353173
2015-07-01,363415
2015-07-02,364125
2015-07-03,347992
2015-07-04,330592
2015-07-05,314999
2015-07-06,307115
2015-07-07,307262
2015-07-08,309785
2015-07-09,317105
2015-07-10,322881
2015-07-11,324029
2015-07-12,319397
2015-07-13,312912
2015-07-14,310501
2015-07-15,308489
2015-07-16,308365
2015-07-17,310586
2015-07-18,318104
2015-07-19,320101
2015-07-20,316021
2015-07-21,316031
2015-07-22,311166
2015-07-23,306237
2015-07-24,310420
2015-07-25,319609
2015-07-26,326628
2015-07-27,322815
2015-07-28,313601
2015-07-29,309944
2015-07-30,301784
2015-07-31,298966
2015-08-01,299074
2015-08-02,304803
2015-08-03,303306
2015-08-04,299149
2015-08-05,292683
2015-08-06,283131
2015-08-07,280640
2015-08-08,283013
2015-08-09,285911
2015-08-10,280565
2015-08-11,281351
2015-08-12,273993
2015-08-13,267858
2015-08-14,262592
2015-08-15,265633
2015-08-16,268484
2015-08-17,263564
2015-08-18,262577
2015-08-19,267972
2015-08-20,274083
2015-08-21,274905
2015-08-22,271359
2015-08-23,269493
2015-08-24,260987
2015-08-25,257783
2015-08-26,254080
2015-08-27,249899
2015-08-28,249180
2015-08-29,257658
2015-08-30,262832
2015-08-31,266087
2015-09-01,273347
2015-09-02,271599
2015-09-03,273408
2015-09-04,277758
2015-09-05,272226
2015-09-06,266015
2015-09-07,265530
2015-09-08,265349
2015-09-09,259776
2015-09-10,252133
2015-09-11,246616
2015-09-12,239431
2015-09-13,230701
2015-09-14,228720
2015-09-15,226415
2015-09-16,223019
2015-09-17,216976
2015-09-18,213346
2015-09-19,209763
2015-09-20,207256
2015-09-21,206164
2015-09-22,207835
2015-09-23,206090
2015-09-24,212545
2015-09-25,215086
2015-09-27,235510
2015-09-28,237155
2015-09-29,247951
2015-09-30,257012
2015-10-05,296927
2015-10-06,291357
2015-10-07,277107
2015-10-08,265068
2015-10-09,256494
2015-10-10,243722
2015-10-11,232533
2015-10-12,225937
2015-10-13,221891
2015-10-14,216589
2015-10-15,211220
2015-10-16,213938
2015-10-17,220214
2015-10-18,219658
2015-10-19,219016
2015-10-20,221942
2015-10-22,223197
2015-10-23,227483
2015-10-24,232273
2015-10-25,231169
2015-10-26,226919
2015-10-27,230191
2015-10-29,233699
2015-10-30,233052
2015-10-31,230745
2015-11-01,228058
2015-11-02,224091
2015-11-03,219690
2015-11-04,216939
2015-11-05,217823
2015-11-06,219258
2015-11-07,219948
2015-11-08,220104
2015-11-09,216652
2015-11-10,212283
2015-11-11,207674
2015-11-12,205452
2015-11-13,208342
2015-11-14,211816
2015-11-15,211560
2015-11-16,209985
2015-11-17,210691
2015-11-18,211914
2015-11-19,215078
2015-11-20,218486
2015-11-21,218144
2015-11-22,222887
2015-11-23,226451
2015-11-24,229378
2015-11-25,235169
2015-11-26,238351
2015-11-27,242715
2015-11-28,249207
2015-11-29,255010
2015-11-30,263198
2015-12-01,273042
2015-12-02,281271
2015-12-03,283031
2015-12-04,273562
2015-12-05,263272
2015-12-06,250194
2015-12-07,239822
2015-12-08,231298
2015-12-09,231667
2015-12-10,229811
2015-12-11,234773
2015-12-13,239601
2015-12-14,237773
2015-12-15,237111
2015-12-16,239591
2015-12-17,241589
2015-12-18,244792
2015-12-19,242249
2015-12-20,242855
2015-12-21,241891
2015-12-22,241767
2015-12-23,244014
2015-12-24,244203
2015-12-25,253163
2015-12-26,260512
2015-12-27,252429
2015-12-28,245993
2015-12-29,243109
2015-12-30,241817
2015-12-31,239512
2016-01-01,238196
2016-01-02,238770
2016-01-03,240918
2016-01-04,241313
2016-01-05,242387
2016-01-06,241875
2016-01-07,242620
2016-01-08,243827
2016-01-09,246753
2016-01-10,246322
2016-01-11,247488
2016-01-12,257290
2016-01-13,256870
2016-01-14,262665
2016-01-15,264998
2016-01-16,277168
2016-01-17,287210
2016-01-18,286324
2016-01-19,286213
2016-01-20,281179
2016-01-21,281999
2016-01-22,289496
2016-01-23,282698
2016-01-24,277694
2016-01-25,270783
2016-01-26,266081
2016-01-27,260242
2016-01-28,253687
2016-01-29,244777
2016-01-30,241460
2016-01-31,237962
2016-02-01,241357
2016-02-02,247682
2016-02-03,246591
2016-02-04,248161
2016-02-05,247125
2016-02-06,251535
2016-02-07,253667
2016-02-08,254706
2016-02-09,252959
2016-02-10,251847
2016-02-11,251592
2016-02-12,253162
2016-02-13,253050
2016-02-14,253410
2016-02-15,252342
2016-02-16,254149
2016-02-17,262616
2016-02-18,267364
2016-02-19,272107
2016-02-20,275384
2016-02-21,273105
2016-02-22,269459
2016-02-23,265673
2016-02-24,265839
2016-02-25,264822
2016-02-26,263806
2016-02-27,268213
2016-02-28,256961
2016-02-29,250343
2016-03-01,250133
2016-03-02,250292
2016-03-03,252714
2016-03-04,255485
2016-03-05,262374
2016-03-06,273557
2016-03-07,286933
2016-03-08,289179
2016-03-09,291708
2016-03-10,292033
2016-03-11,292657
2016-03-12,288242
2016-03-13,284845
2016-03-14,281115
2016-03-15,277537
2016-03-16,270452
2016-03-17,270785
2016-03-18,265469
2016-03-19,263286
2016-03-20,258804
2016-03-21,255805
2016-03-22,253600
2016-03-23,256435
2016-03-24,262426
2016-03-25,273980
2016-03-26,279793
2016-03-27,279687
2016-03-28,282353
2016-03-29,281365
2016-03-30,277914
2016-03-31,272438
2016-04-01,265558
2016-04-02,262893
2016-04-03,261643
2016-04-04,265140
2016-04-05,270314
2016-04-06,276663
2016-04-07,277753
2016-04-08,275681
2016-04-09,272061
2016-04-10,269383
2016-04-11,267113
2016-04-12,266430
2016-04-13,264321
2016-04-14,256363
2016-04-15,251635
2016-04-16,251069
2016-04-17,249513
2016-04-18,247563
2016-04-19,247354
2016-04-20,248466
2016-04-21,252015
2016-04-22,256326
2016-04-23,262358
2016-04-24,266358
2016-04-25,266176
2016-04-26,267657
2016-04-27,266574
2016-04-28,264112
2016-04-29,261849
2016-04-30,262110
2016-05-01,262746
2016-05-02,266648
2016-05-03,278535
2016-05-04,285593
2016-05-05,289655
2016-05-06,297808
2016-05-07,295380
2016-05-08,297820
2016-05-09,305339
2016-05-10,305782
2016-05-11,306895
2016-05-12,303156
2016-05-13,299265
2016-05-14,300919
2016-05-15,310912
2016-05-16,317162
2016-05-17,309899
2016-05-18,309655
2016-05-19,308775
2016-05-22,334222
2016-05-23,343102
2016-05-24,360057
2016-05-25,369604
2016-05-26,379139
2016-05-27,392616
2016-05-28,390007
2016-05-29,388709
2016-05-30,386659
2016-05-31,386143
2016-06-01,386851
2016-06-02,384860
2016-06-03,379808
2016-06-04,375728
2016-06-05,389912
2016-06-06,384094
2016-06-07,378056
2016-06-08,377843
2016-06-09,378059
2016-06-10,370227
2016-06-11,359126
2016-06-12,345790
2016-06-13,330300
2016-06-14,324309
2016-06-15,308934
2016-06-16,295934
2016-06-17,288322
2016-06-18,285099
2016-06-19,284865
2016-06-20,283632
2016-06-21,294404
2016-06-22,304353
2016-06-23,310622
2016-06-24,308728
2016-06-25,309716
2016-06-26,309294
2016-06-27,312739
2016-06-28,310084
2016-06-29,307612
2016-06-30,318511
2016-07-01,317355
2016-07-02,312338
2016-07-03,308782
2016-07-04,305836
2016-07-05,300194
2016-07-06,288044
2016-07-07,281889
2016-07-08,286619
2016-07-09,285186
2016-07-10,282845
2016-07-11,283222
2016-07-12,284989
2016-07-13,289220
2016-07-14,290259
2016-07-15,298890
2016-07-16,300811
2016-07-17,307163
2016-07-18,298095
2016-07-24,302082
2016-07-25,291662
2016-07-26,277344
2016-07-27,265949
2016-07-28,258999
2016-07-29,247848
2016-07-30,247641
2016-07-31,253063
2016-08-01,259867
2016-08-02,264798
2016-08-03,272315
2016-08-04,276286
2016-08-05,283573
2016-08-06,276598
2016-08-07,263080
2016-08-08,253028
2016-08-09,249072
2016-08-10,249836
2016-08-11,243751
2016-08-12,233987
2016-08-13,225319
2016-08-14,214174
2016-08-15,203588
2016-08-16,196241
2016-08-17,193620
2016-08-18,193425
2016-08-19,190404
2016-08-20,184686
2016-08-21,177942
2016-08-22,183480
2016-08-23,188541
2016-08-24,186543
2016-08-25,184298
2016-08-26,180896
2016-08-28,176801
2016-08-31,172876
2016-09-01,174624
2016-09-02,168802
2016-09-03,161231
2016-09-04,166064
2016-09-05,170979
2016-09-06,173186
2016-09-07,180136
2016-09-08,183866
2016-09-09,183730
2016-09-10,182781
2016-09-11,173641
2016-09-12,165049
2016-09-13,156982
2016-09-14,149680
2016-09-15,148402
2016-09-16,145613
2016-09-17,146243
2016-09-18,151483
2016-09-19,154040
2016-09-20,159941
2016-09-21,158419
2016-09-22,153208
2016-09-23,147366
2016-09-24,148896
2016-09-25,145235
2016-09-26,139240
2016-09-27,138584
2016-09-28,136033
2016-09-29,133065
2016-09-30,127258
2016-10-01,128456
2016-10-02,127855
2016-10-03,126580
2016-10-04,124897
2016-10-05,122946
2016-10-06,124191
2016-10-07,129203
2016-10-08,132358
2016-10-09,131376
2016-10-10,131979
2016-10-11,130600
2016-10-12,128796
2016-10-13,130984
2016-10-14,133917
2016-10-15,138196
