date_obj,Black%20d'hide%20chaps price
2015-03-26,3680
2015-03-27,3753
2015-03-28,3817
2015-03-29,3869
2015-03-30,3820
2015-03-31,3774
2015-04-01,3816
2015-04-02,3864
2015-04-03,4000
2015-04-04,4005
2015-04-05,3935
2015-04-06,3921
2015-04-07,4023
2015-04-08,4006
2015-04-09,4059
2015-04-10,4042
2015-04-11,4141
2015-04-12,4259
2015-04-13,4228
2015-04-14,4195
2015-04-15,4231
2015-04-16,4223
2015-04-17,4247
2015-04-18,4283
2015-04-19,4202
2015-04-20,4198
2015-04-21,4279
2015-04-22,4235
2015-04-23,4164
2015-04-24,4076
2015-04-25,4040
2015-04-26,4034
2015-04-27,4066
2015-04-28,4066
2015-04-29,4056
2015-04-30,4020
2015-05-01,4005
2015-05-02,3940
2015-05-03,3888
2015-05-04,3799
2015-05-05,3696
2015-05-06,3603
2015-05-07,3621
2015-05-08,3578
2015-05-09,3542
2015-05-10,3489
2015-05-11,3520
2015-05-12,3614
2015-05-13,3743
2015-05-14,3814
2015-05-15,4001
2015-05-16,4173
2015-05-17,4367
2015-05-18,4567
2015-05-19,4425
2015-05-20,4396
2015-05-21,4405
2015-05-22,4431
2015-05-23,4494
2015-05-24,4598
2015-05-25,4733
2015-05-26,4747
2015-05-27,4684
2015-05-28,4548
2015-05-29,4368
2015-05-30,4343
2015-05-31,4295
2015-06-01,4357
2015-06-02,4287
2015-06-03,4361
2015-06-04,4470
2015-06-05,4461
2015-06-06,4434
2015-06-07,4368
2015-06-08,4390
2015-06-09,4393
2015-06-10,4404
2015-06-11,4460
2015-06-12,4503
2015-06-13,4539
2015-06-14,4560
2015-06-15,4512
2015-06-16,4491
2015-06-17,4479
2015-06-18,4445
2015-06-19,4439
2015-06-20,4425
2015-06-21,4408
2015-06-22,4464
2015-06-23,4339
2015-06-24,4320
2015-06-25,4335
2015-06-26,4378
2015-06-27,4292
2015-06-28,4258
2015-06-29,4074
2015-06-30,3989
2015-07-01,4020
2015-07-02,4046
2015-07-03,4093
2015-07-04,4142
2015-07-05,4315
2015-07-06,4352
2015-07-07,4311
2015-07-08,4406
2015-07-09,4517
2015-07-10,4726
2015-07-11,4955
2015-07-12,5176
2015-07-13,5106
2015-07-14,5100
2015-07-15,4924
2015-07-16,4852
2015-07-17,4764
2015-07-18,4695
2015-07-19,4635
2015-07-20,4633
2015-07-21,4643
2015-07-22,4794
2015-07-23,5034
2015-07-24,5256
2015-07-25,5497
2015-07-26,5611
2015-07-27,5610
2015-07-28,5678
2015-07-29,5460
2015-07-30,5323
2015-07-31,5318
