date_obj,Steel%20plateskirt%20(t) price
2017-05-22,11749
2017-05-23,11749
2017-05-24,11248
2017-05-25,11248
2017-05-26,11248
2017-05-27,11248
2017-05-28,11248
2017-05-29,11248
2017-05-30,11248
2017-05-31,11248
2017-06-01,11248
2017-06-02,11248
2017-06-03,11248
2017-06-06,11248
2017-06-07,10788
2017-06-08,10788
2017-06-09,10788
2017-06-10,10788
2017-06-11,10788
2017-06-12,10788
2017-06-13,10788
2017-06-14,10788
2017-06-15,10788
2017-06-16,10788
2017-06-17,10788
2017-06-18,10788
2017-06-19,10788
2017-06-20,10788
2017-06-21,10788
2017-06-22,10295
2017-06-23,10295
2017-06-24,10295
2017-06-25,10295
2017-06-26,10295
2017-06-27,10295
2017-06-28,10295
2017-06-29,10295
2017-06-30,10295
2017-07-01,10295
2017-07-02,10295
2017-07-03,10295
2017-07-04,10295
2017-07-05,10295
2017-07-06,10295
2017-07-07,10295
2017-07-08,9853
2017-07-13,9853
2017-07-14,9853
2017-07-15,9853
2017-07-16,9853
2017-07-17,9853
2017-07-18,9853
2017-07-19,9393
2017-07-20,9393
2017-07-21,9393
2017-07-22,9393
2017-07-23,9393
2017-07-24,9393
2017-07-25,9393
2017-07-26,9393
2017-07-27,9393
2017-07-28,9393
2017-07-29,9393
2017-07-30,9393
2017-07-31,9393
2017-08-01,8965
2017-08-02,8965
2017-08-03,8965
2017-08-04,8965
2017-08-05,8965
2017-08-06,8965
2017-08-09,8965
2017-08-10,8965
2017-08-11,8965
2017-08-12,8965
2017-08-13,8582
2017-08-14,8582
2017-08-15,8582
2017-08-17,8582
2017-08-18,8582
2017-08-19,8582
2017-08-20,8582
2017-08-21,8582
2017-08-22,8582
2017-08-23,8582
2017-08-24,8582
2017-08-25,8582
2017-08-26,8204
2017-08-27,8204
2017-08-28,8204
2017-08-29,8204
2017-08-30,8204
2017-08-31,8204
2017-09-01,8204
2017-09-02,8204
2017-09-03,8204
2017-09-04,8204
2017-09-05,8204
2017-09-06,8204
2017-09-07,8204
2017-09-08,8204
2017-09-09,8204
2017-09-10,7822
2017-09-11,7822
2017-09-12,7822
2017-09-13,7822
2017-09-14,7822
2017-09-15,7822
2017-09-16,7822
2017-09-17,7822
2017-09-19,7822
2017-09-20,7822
2017-09-21,7822
2017-09-22,7822
2017-09-23,7462
2017-09-24,7462
2017-09-25,7462
2017-09-26,7462
2017-09-27,7462
2017-09-28,7462
2017-09-29,7462
2017-09-30,7462
2017-10-01,7462
2017-10-02,7462
2017-10-03,7462
2017-10-04,7462
2017-10-05,7462
2017-10-06,7462
2017-10-07,7462
2017-10-08,7116
2017-10-09,7116
2017-10-10,7116
2017-10-11,7116
2017-10-12,7116
2017-10-13,7116
2017-10-14,7116
2017-10-15,7116
2017-10-16,7116
2017-10-17,7116
2017-10-18,7116
2017-10-19,7116
2017-10-20,7116
2017-10-21,7116
2017-10-22,7116
2017-10-23,7116
2017-10-24,7116
2017-10-25,7116
2017-10-26,7116
2017-10-27,6796
2017-10-28,6796
2017-10-29,6796
2017-10-30,6796
2017-10-31,6796
2017-11-01,6796
2017-11-02,6796
2017-11-03,6796
2017-11-04,6796
2017-11-05,6796
2017-11-06,6796
2017-11-07,6796
2017-11-08,6796
2017-11-09,6796
2017-11-10,6796
2017-11-11,6796
2017-11-12,6796
2017-11-13,6467
2017-11-14,6467
2017-11-15,6467
2017-11-16,6467
2017-11-17,6467
2017-11-18,6467
2017-11-19,6467
2017-11-20,6467
2017-11-21,6467
2017-11-22,6467
2017-11-23,6467
2017-11-24,6467
2017-11-25,6467
2017-11-26,6467
2017-11-27,6467
2017-11-28,6169
2017-11-29,6169
2017-11-30,6169
2017-12-01,6169
2017-12-02,6169
2017-12-03,6169
2017-12-04,6169
2017-12-05,6169
2017-12-06,6169
2017-12-07,6169
2017-12-08,6169
2017-12-09,6169
2017-12-10,6169
2017-12-11,6169
2017-12-12,6169
2017-12-13,6169
2017-12-14,6169
2017-12-15,5884
2017-12-16,5884
2017-12-17,5884
2017-12-18,5884
2017-12-19,5884
2017-12-20,5884
2017-12-21,5884
2017-12-22,5884
2017-12-23,5884
2017-12-24,5884
2017-12-25,5884
2017-12-26,5884
2017-12-27,5884
2017-12-28,5884
2017-12-29,5884
2017-12-30,5601
2017-12-31,5601
2018-01-01,5601
2018-01-02,5601
2018-01-03,5601
2018-01-04,5601
2018-01-05,5601
2018-01-06,5601
2018-01-07,5601
2018-01-08,5601
2018-01-09,5601
2018-01-10,5601
2018-01-11,5601
2018-01-12,5601
2018-01-13,5601
2018-01-14,5336
2018-01-15,5336
2018-01-16,5336
2018-01-17,5336
2018-01-18,5336
2018-01-19,5336
2018-01-20,5336
2018-01-21,5336
2018-01-22,5336
2018-01-23,5336
2018-01-24,5069
2018-01-25,5069
2018-01-26,5069
2018-01-27,5069
2018-01-28,4842
2018-01-29,4842
2018-01-30,4842
2018-02-01,4842
2018-02-02,4630
2018-02-03,4630
2018-02-04,4630
2018-02-05,4630
2018-02-06,4630
2018-02-07,4505
2018-02-08,4505
2018-02-09,4505
2018-02-10,4505
2018-02-11,4505
2018-02-12,4505
2018-02-13,4505
2018-02-14,4505
2018-02-15,4505
2018-02-16,4295
2018-02-17,4295
2018-02-18,4295
2018-02-19,4295
2018-02-20,4295
2018-02-21,4295
2018-02-22,4295
2018-02-23,4109
2018-02-24,4109
2018-02-25,4109
2018-02-26,4109
2018-02-27,4109
2018-02-28,4109
2018-03-01,4109
2018-03-02,3912
2018-03-03,3912
2018-03-04,3912
2018-03-05,3912
2018-03-06,3912
2018-03-07,3912
2018-03-08,3912
2018-03-09,3739
2018-03-10,3739
2018-03-11,3739
2018-03-12,3739
2018-03-13,3739
2018-03-14,3739
2018-03-15,3577
2018-03-16,3577
2018-03-17,3577
2018-03-18,3577
2018-03-19,3577
2018-03-20,3577
2018-03-21,3406
2018-03-23,3406
2018-03-24,3406
2018-03-26,3258
2018-03-27,3258
2018-03-28,3258
2018-03-29,3258
2018-03-30,3258
2018-03-31,3258
2018-04-01,3258
2018-04-02,3258
