date_obj,Twisted%20boots%20(t1) price
2020-01-13,10000
2020-01-14,10000
2020-01-15,10498
2020-01-16,11023
2020-01-17,11023
2020-01-18,11565
2020-01-19,11565
2020-01-20,12127
2020-01-21,12127
2020-01-22,12127
2020-01-23,12127
2020-01-24,12711
2020-01-25,12711
2020-01-26,12711
2020-01-27,12711
2020-01-28,12711
2020-01-29,12711
2020-01-30,13320
2020-01-31,13320
2020-02-01,13320
2020-02-02,13320
2020-02-03,13320
2020-02-04,13320
2020-02-05,13320
2020-02-06,13320
2020-02-07,13320
2020-02-08,13959
2020-02-09,13959
2020-02-10,13959
2020-02-11,13959
2020-02-12,13959
2020-02-13,13959
2020-02-14,13959
2020-02-15,13959
2020-02-16,13959
2020-02-17,13959
2020-02-18,14619
2020-02-19,14619
2020-02-20,14619
2020-02-21,14619
2020-02-22,14619
2020-02-23,14619
2020-02-24,14619
2020-02-25,14619
2020-02-26,14619
2020-02-27,14619
2020-02-28,15313
2020-02-29,15313
2020-03-01,15313
2020-03-02,15313
2020-03-03,15313
2020-03-04,15313
2020-03-05,15313
2020-03-06,15313
2020-03-07,15313
2020-03-08,15313
2020-03-09,15313
2020-03-10,16042
2020-03-11,16042
2020-03-12,16042
2020-03-13,16042
2020-03-14,16042
2020-03-15,16042
2020-03-16,16042
2020-03-17,16042
2020-03-18,16042
2020-03-19,16042
2020-03-20,16042
2020-03-21,16042
2020-03-22,16042
2020-03-23,16802
2020-03-24,16802
2020-03-25,16802
2020-03-26,16802
2020-03-27,16802
2020-03-28,16802
2020-03-29,16802
2020-03-30,16802
2020-03-31,16802
2020-04-01,16802
2020-04-02,16802
2020-04-03,16802
2020-04-04,17593
2020-04-05,17593
2020-04-06,17593
2020-04-07,17593
2020-04-08,17593
2020-04-09,17593
2020-04-10,17593
2020-04-11,17593
2020-04-12,17593
2020-04-13,17593
2020-04-14,17593
2020-04-15,18416
2020-04-16,18416
2020-04-17,18416
2020-04-18,18416
2020-04-19,18416
2020-04-20,18416
2020-04-21,18416
2020-04-22,18416
2020-04-23,18416
2020-04-24,18416
2020-04-25,19217
2020-04-26,19217
2020-04-27,19217
2020-04-28,19217
2020-04-29,19217
2020-04-30,19217
2020-05-01,19217
2020-05-02,19217
2020-05-03,19217
2020-05-04,19217
2020-05-05,20075
2020-05-06,20075
2020-05-07,20075
2020-05-08,20075
2020-05-09,20075
2020-05-10,20075
2020-05-11,20075
2020-05-12,20075
2020-05-13,20075
