date_obj,Rune%20dragon%20mask price
2019-04-11,200000
2019-04-11,200000
2019-04-12,198675
2019-04-13,198675
2019-04-14,189386
2019-04-15,110000
2019-04-16,110000
2019-04-17,110000
2019-04-18,106951
2019-04-19,106951
2019-04-20,102202
2019-04-21,102202
2019-04-22,102202
2019-04-23,97205
2019-04-24,97205
2019-04-25,97183
2019-04-26,97183
2019-04-27,97183
2019-04-28,94836
2019-04-29,94836
2019-04-30,94836
2019-05-01,96911
2019-05-02,96911
2019-05-03,96911
2019-05-04,92608
2019-05-05,92608
2019-05-06,92608
2019-05-07,89765
2019-05-08,89765
2019-05-09,89765
2019-05-10,85828
2019-05-11,85828
2019-05-12,82055
2019-05-13,82055
2019-05-14,78844
2019-05-15,78844
2019-05-16,78844
2019-05-17,75137
2019-05-18,75137
2019-05-19,71748
2019-05-20,71748
2019-05-21,68672
2019-05-22,68672
2019-05-23,65598
2019-05-24,65598
2019-05-25,63019
2019-05-26,63019
2019-05-27,60202
2019-05-28,60202
2019-05-29,58025
2019-05-30,58025
2019-05-31,58025
2019-06-01,55998
2019-06-02,55998
2019-06-03,55998
2019-06-04,54817
2019-06-05,54817
2019-06-06,54817
2019-06-07,53221
2019-06-08,53221
2019-06-09,51614
2019-06-10,51614
2019-06-11,51614
2019-06-12,49472
2019-06-13,49472
2019-06-14,49472
2019-06-15,47904
2019-06-16,47904
2019-06-17,46454
2019-06-18,46454
2019-06-19,46454
2019-06-20,44987
2019-06-21,44987
2019-06-22,44987
2019-06-23,46357
2019-06-24,46357
2019-06-25,46357
2019-06-26,45406
2019-06-27,45406
2019-06-28,45406
2019-06-29,44015
2019-06-30,44015
2019-07-01,44015
2019-07-02,43492
2019-07-03,43492
2019-07-04,43492
2019-07-05,41894
2019-07-06,41894
2019-07-07,40882
2019-07-08,40882
2019-07-09,40882
2019-07-10,40370
2019-07-11,40370
2019-07-12,40370
2019-07-13,40370
2019-07-14,41731
2019-07-15,41731
2019-07-16,41731
2019-07-17,43143
2019-07-18,43143
2019-07-19,43143
2019-07-20,43870
2019-07-21,43870
2019-07-22,43870
2019-07-23,44350
2019-07-24,44350
2019-07-25,44350
2019-07-26,44350
2019-07-27,45862
2019-07-28,45862
2019-07-29,45862
2019-07-30,46005
2019-07-31,46005
2019-08-01,46005
2019-08-02,44806
2019-08-03,44806
2019-08-04,42604
2019-08-05,42604
2019-08-06,40695
2019-08-07,38876
2019-08-08,38876
2019-08-09,37098
2019-08-10,35406
2019-08-11,35406
2019-08-12,33661
2019-08-13,33661
2019-08-14,33661
2019-08-15,32168
2019-08-16,32168
2019-08-17,31214
2019-08-18,31214
2019-08-19,30230
2019-08-20,30230
2019-08-21,30230
2019-08-22,29212
2019-08-23,29212
2019-08-24,29072
2019-08-24,29072
2019-08-25,29072
2019-08-25,29072
2019-08-26,29072
2019-08-26,29072
2019-08-27,29072
2019-08-27,29072
2019-08-28,28044
2019-08-29,28044
2019-08-30,28044
2019-08-31,27444
2019-09-01,27444
2019-09-02,27444
2019-09-03,26640
2019-09-04,26640
2019-09-05,26640
2019-09-06,25547
2019-09-07,25547
2019-09-08,24849
2019-09-09,24849
2019-09-10,24849
2019-09-11,24361
2019-09-12,24361
2019-09-13,24361
2019-09-14,23494
2019-09-15,23494
2019-09-16,23619
2019-09-17,23619
2019-09-18,23619
2019-09-19,23087
2019-09-20,23087
2019-09-21,23087
2019-09-22,22115
2019-09-23,22115
2019-09-24,22115
2019-09-25,22115
2019-09-26,21382
2019-09-27,21382
2019-09-28,21382
2019-09-29,21382
2019-09-30,20979
2019-10-01,20979
2019-10-02,20979
2019-10-03,20672
2019-10-04,20672
2019-10-05,20672
2019-10-06,20182
2019-10-07,20182
2019-10-08,20182
2019-10-09,19777
2019-10-10,19777
2019-10-11,19777
2019-10-12,19161
2019-10-13,19161
2019-10-14,19161
2019-10-15,18643
2019-10-16,18643
2019-10-17,18643
2019-10-18,18087
2019-10-19,18087
2019-10-20,18087
2019-10-21,17660
2019-10-22,17660
2019-10-23,17660
2019-10-24,17744
2019-10-25,17744
2019-10-26,17744
2019-10-27,18569
2019-10-28,18569
2019-10-29,18569
2019-10-30,18569
2019-10-31,19230
2019-11-01,19230
2019-11-02,19230
2019-11-03,19829
2019-11-04,19829
2019-11-05,19829
2019-11-06,19829
2019-11-07,19829
2019-11-08,19086
2019-11-09,19086
2019-11-10,18699
2019-11-11,18699
2019-11-12,18699
2019-11-13,18699
2019-11-14,18575
2019-11-15,18575
2019-11-16,18575
2019-11-17,18575
2019-11-18,18734
2019-11-19,18734
2019-11-20,18734
2019-11-21,18734
2019-11-22,18431
2019-11-23,18431
2019-11-24,18431
2019-11-25,18102
2019-11-26,18102
2019-11-27,18102
2019-11-28,18773
2019-11-29,18773
2019-11-30,18773
2019-12-01,18773
2019-12-02,19222
2019-12-03,19222
2019-12-04,19222
2019-12-05,19222
2019-12-06,19861
2019-12-07,19861
2019-12-08,19861
2019-12-09,19861
2019-12-10,19517
2019-12-11,19517
2019-12-12,19517
2019-12-13,19517
2019-12-14,18671
2019-12-15,18671
2019-12-16,18671
2019-12-17,17764
2019-12-18,17764
2019-12-19,17764
2019-12-20,17764
2019-12-21,17312
2019-12-22,17312
2019-12-23,17312
2019-12-24,16510
2019-12-25,16510
2019-12-26,16510
2019-12-27,16141
2019-12-28,16141
2019-12-29,16141
2019-12-30,15607
2019-12-31,15607
2020-01-01,15607
2020-01-02,15404
2020-01-03,15404
2020-01-04,15404
2020-01-05,15579
2020-01-06,15579
2020-01-07,15579
2020-01-08,15610
2020-01-09,15610
2020-01-10,15610
2020-01-11,15792
2020-01-12,15792
2020-01-13,15792
2020-01-14,16494
2020-01-15,16494
2020-01-16,16896
2020-01-17,16896
2020-01-18,16896
2020-01-19,17075
2020-01-20,17075
2020-01-21,17075
2020-01-22,17075
2020-01-23,16678
2020-01-24,16678
2020-01-25,16678
2020-01-26,16455
2020-01-27,16455
2020-01-28,15968
2020-01-29,15968
2020-01-30,15968
2020-01-31,15637
2020-02-01,15637
2020-02-02,15637
2020-02-03,15578
2020-02-04,15578
2020-02-05,15578
2020-02-06,14880
2020-02-07,14880
2020-02-08,14880
2020-02-09,14225
2020-02-10,14225
2020-02-11,14225
2020-02-12,13770
2020-02-13,13770
2020-02-14,13770
2020-02-15,13290
2020-02-16,13290
2020-02-17,13290
2020-02-18,12727
2020-02-19,12727
2020-02-20,12727
2020-02-21,12483
2020-02-22,12483
2020-02-23,12483
2020-02-24,12160
2020-02-25,12160
2020-02-26,12160
2020-02-27,11916
2020-02-28,11916
2020-02-29,11916
2020-03-01,12107
2020-03-02,12107
2020-03-03,12107
2020-03-04,12162
2020-03-05,12162
2020-03-06,12162
2020-03-07,11577
2020-03-08,11577
2020-03-09,11128
2020-03-10,11128
2020-03-11,11128
2020-03-12,10575
2020-03-13,10575
2020-03-14,10239
2020-03-15,10239
2020-03-16,10239
2020-03-17,10002
2020-03-18,10002
2020-03-19,9777
2020-03-20,9777
2020-03-21,9547
2020-03-22,9547
2020-03-23,9566
2020-03-24,9566
2020-03-25,9233
2020-03-26,9233
2020-03-27,9134
2020-03-28,9134
2020-03-29,9025
2020-03-30,9025
2020-03-31,8721
2020-04-01,8721
2020-04-02,9053
2020-04-03,9053
2020-04-04,9031
2020-04-05,9031
2020-04-06,9267
2020-04-07,9267
2020-04-08,9473
2020-04-09,9473
2020-04-10,9700
2020-04-11,10013
2020-04-12,10013
2020-04-13,9980
2020-04-14,9980
2020-04-15,10062
2020-04-16,10062
2020-04-17,10062
2020-04-18,10248
2020-04-19,10248
2020-04-20,10584
2020-04-21,10584
2020-04-22,10895
2020-04-23,10895
2020-04-24,11280
2020-04-25,11280
2020-04-26,11452
2020-04-27,11452
2020-04-28,11990
2020-04-29,11990
2020-04-30,12534
2020-05-01,12534
2020-05-02,12534
2020-05-03,12621
2020-05-04,12621
2020-05-05,12433
2020-05-06,12433
2020-05-07,12765
2020-05-08,12765
2020-05-09,12206
2020-05-10,12206
2020-05-11,12426
2020-05-12,12426
2020-05-13,12968
