date_obj,Shaman%20mask price
2017-12-07,600000
2017-12-08,600000
2017-12-09,600000
2017-12-10,600000
2017-12-11,597358
2017-12-12,597358
2017-12-13,597358
2017-12-14,597358
2017-12-15,597358
2017-12-16,568642
2017-12-17,568642
2017-12-18,568642
2017-12-19,568642
2017-12-20,568642
2017-12-21,541684
2017-12-22,541684
2017-12-23,541684
2017-12-24,541684
2017-12-25,516162
2017-12-26,516162
2017-12-27,516162
2017-12-28,516162
2017-12-29,491729
2017-12-30,491729
2017-12-31,491729
2018-01-01,469068
2018-01-02,469068
2018-01-04,469068
2018-01-05,446677
2018-01-06,446677
2018-01-07,446677
2018-01-08,425536
2018-01-09,425536
2018-01-10,425536
2018-01-11,405851
2018-01-12,405851
2018-01-13,405851
2018-01-14,387308
2018-01-15,387308
2018-01-16,369190
2018-01-17,369190
2018-01-18,351626
2018-01-19,351626
2018-01-20,335143
2018-01-21,335143
2018-01-22,168243
2018-01-23,168243
2018-01-24,159830
2018-01-25,152021
2018-01-26,144969
2018-01-27,138182
2018-01-28,131272
2018-01-29,124894
2018-01-30,118956
2018-02-01,108818
2018-02-02,103650
2018-02-03,98467
2018-02-04,93875
2018-02-05,89720
2018-02-06,85234
2018-02-07,80972
2018-02-08,80972
2018-02-09,76923
2018-02-10,76923
2018-02-11,73076
2018-02-12,69433
2018-02-13,69433
2018-02-14,67610
2018-02-15,64622
2018-02-16,64622
2018-02-17,61744
2018-02-18,58923
2018-02-19,56063
2018-02-20,53715
2018-02-21,51029
2018-02-22,49115
2018-02-23,46659
2018-02-24,46659
2018-02-25,44326
2018-02-26,42212
2018-02-27,40101
2018-02-28,38605
2018-03-01,39857
2018-03-02,38421
2018-03-03,37722
2018-03-04,37722
2018-03-05,37212
2018-03-06,37212
2018-03-07,35558
2018-03-08,35558
2018-03-09,35039
2018-03-10,35039
2018-03-11,36098
2018-03-12,37358
2018-03-13,37358
2018-03-14,37210
2018-03-15,37210
2018-03-16,36435
2018-03-17,36818
2018-03-18,36818
2018-03-19,35514
2018-03-20,34664
2018-03-21,34664
2018-03-23,34401
2018-03-24,35821
2018-03-26,35805
2018-03-27,36657
2018-03-28,36657
2018-03-29,37693
2018-03-30,37693
2018-03-31,36314
2018-04-01,36314
2018-04-02,35416
2018-04-03,35593
2018-04-04,35593
2018-04-05,34484
2018-04-06,34123
2018-04-08,33947
2018-04-09,33380
2018-04-10,33380
2018-04-11,33534
2018-04-12,33534
2018-04-13,33487
2018-04-14,33487
2018-04-15,34563
2018-04-16,34563
2018-04-17,35826
2018-04-18,35826
2018-04-19,34846
2018-04-20,34846
2018-04-21,34965
2018-04-22,34965
2018-04-23,34680
2018-04-24,34680
2018-04-25,34867
2018-04-26,34867
2018-04-27,35513
2018-04-28,36066
2018-04-29,35432
2018-04-30,35432
2018-05-01,35370
