date_obj,Dragon%20limbs price
2018-01-03,325000
2018-01-04,339065
2018-01-05,355275
2018-01-06,371466
2018-01-07,388916
2018-01-08,405706
2018-01-09,424617
2018-01-10,424617
2018-01-11,444385
2018-01-12,462362
2018-01-13,482669
2018-01-14,505164
2018-01-15,528696
2018-01-16,528696
2018-01-17,553702
2018-01-18,579440
2018-01-19,579440
2018-01-20,606711
2018-01-21,606711
2018-01-22,635472
2018-01-23,635472
2018-01-25,697990
2018-01-26,728109
2018-01-27,762917
2018-01-28,797843
2018-01-29,834351
2018-01-30,873696
2018-01-31,915972
2018-02-01,915972
2018-02-02,957866
2018-02-03,1002676
2018-02-04,1048737
2018-02-05,1048737
2018-02-06,1097945
2018-02-07,1148207
2018-02-08,1148207
2018-02-09,1201723
2018-02-10,1201723
2018-02-11,1256859
2018-02-12,1256859
2018-02-13,1315108
2018-02-14,1315108
2018-02-15,1367118
2018-02-16,1367118
2018-02-17,1428050
2018-02-18,1428050
2018-02-19,1496255
2018-02-20,1496255
2018-02-21,1550815
2018-02-22,1550815
2018-02-23,1627515
2018-02-24,1627515
2018-02-25,1707221
2018-02-26,1707221
2018-02-27,1788408
2018-02-28,1788408
2018-03-01,1868152
2018-03-02,1959696
2018-03-03,2035059
2018-03-04,2035059
2018-03-05,2129379
2018-03-06,2229989
2018-03-07,2336394
2018-03-08,2336394
2018-03-09,2446526
2018-03-10,2446526
2018-03-11,2564922
2018-03-12,2690172
2018-03-13,2690172
2018-03-14,2810128
2018-03-15,2810128
2018-03-16,2944699
2018-03-17,2944699
2018-03-18,3068950
2018-03-20,3212811
2018-03-21,3212811
2018-03-23,3362482
2018-03-24,3520536
2018-03-25,3520536
2018-03-26,3687391
2018-03-27,3855497
2018-03-28,3855497
2018-03-29,4036940
2018-03-30,4036940
2018-03-31,4036940
2018-04-01,4216734
2018-04-02,4216734
2018-04-03,4417218
2018-04-04,4417218
2018-04-05,4417218
2018-04-06,4627563
2018-04-07,4627563
2018-04-08,4627563
2018-04-09,4840896
2018-04-10,4840896
2018-04-11,4840896
2018-04-12,5063885
2018-04-13,5063885
2018-04-14,5063885
2018-04-15,5300131
2018-04-16,5300131
2018-04-17,5300131
2018-04-18,5548373
2018-04-19,5548373
2018-04-20,5548373
2018-04-21,5812814
2018-04-22,5812814
2018-04-23,6080915
2018-04-24,6080915
2018-04-25,6080915
2018-04-26,6366348
2018-04-27,6366348
2018-04-28,6366348
2018-04-29,6646939
2018-04-30,6646939
2018-05-01,6646939
2018-05-03,6961089
2018-05-04,6961089
2018-05-05,7266730
2018-05-07,7266730
2018-05-08,7266730
2018-05-09,7607423
2018-05-10,7607423
2018-05-11,7607423
2018-05-12,7961202
2018-05-13,7961202
2018-05-14,7961202
2018-05-15,7961202
2018-05-16,8340783
2018-05-17,8340783
2018-05-18,8340783
2018-05-19,8708038
2018-05-20,8708038
2018-05-21,8708038
2018-05-22,8708038
2018-05-23,9115317
2018-05-24,9115317
2018-05-25,9115317
2018-05-26,9561689
2018-05-27,9561689
2018-05-28,9561689
2018-05-29,9561689
2018-05-30,9998785
2018-05-31,9998785
2018-06-01,9998785
2018-06-02,9998785
2018-06-03,10285084
2018-06-04,10285084
2018-06-05,10285084
2018-06-06,10686894
2018-06-07,10686894
2018-06-08,10686894
2018-06-09,10686894
2018-06-10,10686894
2018-06-11,10686894
2018-06-12,10188847
2018-06-13,10188847
2018-06-14,10188847
2018-06-15,10188847
2018-06-16,9716941
2018-06-17,9716941
2018-06-18,9716941
2018-06-19,9716941
2018-06-20,9716941
2018-06-21,9244210
2018-06-22,9244210
2018-06-23,9244210
2018-06-24,9244210
2018-06-25,9244210
2018-06-26,8838080
2018-06-27,8838080
2018-06-28,8838080
2018-06-29,8838080
2018-06-30,8838080
2018-07-01,8464078
2018-07-02,8464078
2018-07-03,8464078
2018-07-04,8464078
2018-07-05,8464078
2018-07-06,8464078
2018-07-07,8349279
2018-07-08,8349279
2018-07-09,8349279
2018-07-10,8605728
2018-07-11,8605728
2018-07-12,8605728
2018-07-13,8605728
2018-07-14,8783412
2018-07-15,8783412
2018-07-16,8783412
2018-07-17,8783412
2018-07-18,8822547
2018-07-19,8822547
2018-07-20,8822547
2018-07-21,8822547
2018-07-22,8822547
2018-07-23,8866972
2018-07-24,8866972
2018-07-25,8866972
2018-07-26,8866972
2018-07-27,8705934
2018-07-28,8705934
2018-07-29,8705934
2018-07-30,8705934
2018-07-31,8705934
2018-08-01,8705934
2018-08-02,8327143
2018-08-03,8327143
2018-08-04,8327143
2018-08-05,8327143
2018-08-06,7938723
2018-08-07,7938723
2018-08-08,7938723
2018-08-09,7938723
2018-08-10,7888216
2018-08-11,7888216
2018-08-12,8053876
2018-08-14,8053876
2018-08-16,8304753
2018-08-17,8304753
2018-08-18,8304753
2018-08-19,8245311
2018-08-20,8245311
2018-08-21,8245311
2018-08-22,8088316
2018-08-23,8088316
2018-08-24,8088316
2018-08-25,8372533
2018-08-26,8372533
2018-08-27,8372533
2018-08-28,8372533
2018-08-29,8467907
2018-08-30,8467907
2018-08-31,8467907
2018-09-01,8443791
2018-09-02,8443791
2018-09-03,8443791
2018-09-04,8443791
2018-09-05,8701071
2018-09-06,8701071
2018-09-07,8701071
2018-09-08,8701071
2018-09-09,8701071
2018-09-10,8592543
2018-09-11,8592543
2018-09-12,8592543
2018-09-13,8592543
2018-09-14,8592543
2018-09-15,8319487
2018-09-16,8319487
2018-09-17,8319487
2018-09-18,8319487
2018-09-19,8319487
2018-09-20,8116920
2018-09-21,8116920
2018-09-22,8116920
2018-09-23,8017300
2018-09-24,8017300
2018-09-25,8017300
2018-09-26,8017300
2018-09-27,8160845
2018-09-28,8160845
2018-09-29,8160845
