date_obj,Raw%20manta%20ray price
2015-03-26,10253
2015-03-27,10253
2015-03-28,10253
2015-03-29,10253
2015-03-30,10253
2015-03-31,10253
2015-04-01,10253
2015-04-02,10253
2015-04-03,10253
2015-04-04,10253
2015-04-05,10253
2015-04-06,10253
2015-04-07,10253
2015-04-08,10253
2015-04-09,10253
2015-04-10,10253
2015-04-11,9752
2015-04-12,9752
2015-04-13,9752
2015-04-14,9752
2015-04-15,9752
2015-04-16,9752
2015-04-17,9752
2015-04-18,9752
2015-04-19,9752
2015-04-20,9752
2015-04-21,9752
2015-04-22,9752
2015-04-23,9752
2015-04-24,9752
2015-04-25,9752
2015-04-26,9752
2015-04-27,9752
2015-04-28,9752
2015-04-29,9752
2015-04-30,9752
2015-05-01,9752
2015-05-02,9752
2015-05-03,9752
2015-05-04,9274
2015-05-05,9274
2015-05-06,9274
2015-05-07,9274
2015-05-08,9274
2015-05-09,9274
2015-05-10,9274
2015-05-11,9274
2015-05-12,9274
2015-05-13,9274
2015-05-14,9274
2015-05-15,9274
2015-05-16,9274
2015-05-17,9274
2015-05-18,9274
2015-05-19,9274
2015-05-20,9274
2015-05-21,9274
2015-05-22,9274
2015-05-23,9274
2015-05-24,9274
2015-05-25,9274
2015-05-26,9274
2015-05-27,9274
2015-05-28,8847
2015-05-29,8847
2015-05-30,8847
2015-05-31,8847
2015-06-01,8847
2015-06-02,8847
2015-06-03,8847
2015-06-04,8847
2015-06-05,8847
2015-06-06,8847
2015-06-07,8847
2015-06-08,8847
2015-06-09,8847
2015-06-10,8847
2015-06-11,8847
2015-06-12,8847
2015-06-13,8847
2015-06-14,8847
2015-06-15,8847
2015-06-16,8847
2015-06-17,8414
2015-06-18,8414
2015-06-19,8414
2015-06-20,8414
2015-06-21,8414
2015-06-22,8414
2015-06-23,8414
2015-06-24,8414
2015-06-25,8414
2015-06-26,8414
2015-06-27,8414
2015-06-28,8414
2015-06-29,8414
2015-06-30,8414
2015-07-01,8414
2015-07-02,8414
2015-07-03,8414
2015-07-04,8414
2015-07-05,7998
2015-07-06,7998
2015-07-07,7998
2015-07-08,7998
2015-07-09,7998
2015-07-10,7998
2015-07-11,7998
2015-07-12,7998
2015-07-13,7998
2015-07-14,7998
2015-07-15,7998
2015-07-16,7998
2015-07-17,7998
2015-07-18,7998
2015-07-19,7998
2015-07-20,7998
2015-07-21,7998
2015-07-22,7998
2015-07-23,7662
2015-07-24,7662
2015-07-25,7662
2015-07-26,7662
2015-07-27,7662
2015-07-28,7662
2015-07-29,7662
2015-07-30,7662
2015-07-31,7662
2015-08-01,7662
2015-08-02,7662
2015-08-03,7662
2015-08-04,7662
2015-08-05,7662
2015-08-06,7662
2015-08-07,7662
2015-08-08,7392
2015-08-09,7392
2015-08-10,7392
2015-08-11,7392
2015-08-12,7392
2015-08-13,7392
2015-08-14,7392
2015-08-15,7392
2015-08-16,7392
2015-08-17,7392
2015-08-18,7392
2015-08-19,7392
2015-08-20,7392
2015-08-21,7392
2015-08-22,7392
2015-08-23,7392
2015-08-24,7074
2015-08-25,7074
2015-08-26,7074
2015-08-27,7074
2015-08-28,7074
2015-08-29,7074
2015-08-30,7074
2015-08-31,7074
2015-09-01,7074
2015-09-02,7074
2015-09-03,7074
2015-09-04,7074
2015-09-05,7074
2015-09-06,7074
2015-09-07,7074
2015-09-08,7074
2015-09-09,7074
2015-09-10,7074
2015-09-11,6740
2015-09-12,6740
2015-09-13,6740
2015-09-14,6740
2015-09-15,6740
2015-09-16,6740
2015-09-17,6403
2015-09-18,6403
2015-09-19,6082
2015-09-20,6082
2015-09-21,5783
2015-09-22,5783
2015-09-23,5506
2015-09-24,5506
2015-09-25,5506
2015-09-27,5239
2015-09-28,5239
2015-09-29,5239
2015-09-30,4981
2015-10-05,4740
2015-10-06,4740
2015-10-07,4740
2015-10-08,4740
2015-10-09,4513
2015-10-10,4513
2015-10-11,4513
2015-10-12,4513
2015-10-13,4513
2015-10-14,4513
2015-10-15,4513
2015-10-16,4290
2015-10-17,4290
2015-10-18,4290
2015-10-19,4290
2015-10-20,4290
2015-10-22,4290
2015-10-23,4081
2015-10-24,4081
2015-10-25,4081
2015-10-26,4081
2015-10-27,4081
2015-10-29,3880
