date_obj,Archer%20helm price
2015-03-26,58964
2015-03-27,58964
2015-03-28,57161
2015-03-29,54496
2015-03-30,51771
2015-03-31,51626
2015-04-01,53987
2015-04-02,55679
2015-04-03,55219
2015-04-04,54981
2015-04-05,53631
2015-04-06,53708
2015-04-07,54418
2015-04-08,57026
2015-04-09,59825
2015-04-10,62745
2015-04-11,64251
2015-04-12,61094
2015-04-13,58039
2015-04-14,55137
2015-04-15,53409
2015-04-16,52914
2015-04-17,53522
2015-04-18,53232
2015-04-19,52379
2015-04-20,51516
2015-04-21,50479
2015-04-22,50603
2015-04-23,51335
2015-04-24,52058
2015-04-25,52356
2015-04-26,51912
2015-04-27,52275
2015-04-28,52726
2015-04-29,52726
2015-04-30,52807
2015-05-01,54302
2015-05-02,55981
2015-05-03,55981
2015-05-04,57993
2015-05-05,58022
2015-05-06,57550
2015-05-07,57023
2015-05-08,57403
2015-05-09,56557
2015-05-10,55221
2015-05-11,55221
2015-05-12,55401
2015-05-13,55029
2015-05-14,55829
2015-05-15,54211
2015-05-16,55041
2015-05-17,54567
2015-05-18,54918
2015-05-19,55393
2015-05-20,55393
2015-05-21,54788
2015-05-22,53984
2015-05-23,54961
2015-05-24,57255
2015-05-25,58540
2015-05-26,57041
2015-05-27,55471
2015-05-28,54397
2015-05-29,54293
2015-05-30,53523
2015-05-31,53566
2015-06-01,53786
2015-06-02,53637
2015-06-03,53843
2015-06-04,52736
2015-06-05,51662
2015-06-06,53147
2015-06-07,55217
2015-06-08,53074
2015-06-09,51695
2015-06-10,50996
2015-06-11,50086
2015-06-12,50236
2015-06-13,50719
2015-06-14,49873
2015-06-15,49937
2015-06-16,49600
2015-06-17,50526
2015-06-18,51460
2015-06-19,51373
2015-06-20,51158
2015-06-21,50243
2015-06-22,48884
2015-06-23,47823
2015-06-24,46798
2015-06-25,45274
2015-06-26,45079
2015-06-27,43854
2015-06-28,42546
2015-06-29,43539
2015-06-30,43328
2015-07-01,43389
2015-07-02,43389
2015-07-03,44669
2015-07-04,46057
2015-07-05,47282
2015-07-06,48289
2015-07-07,50443
2015-07-08,51951
2015-07-09,51919
2015-07-10,51173
2015-07-11,50886
2015-07-12,48402
2015-07-13,46906
2015-07-14,45839
2015-07-15,45570
2015-07-16,47139
2015-07-17,47216
2015-07-18,46865
2015-07-19,46588
2015-07-20,45461
2015-07-21,44969
2015-07-22,43349
2015-07-23,43349
2015-07-24,43939
2015-07-25,43887
2015-07-26,45369
2015-07-27,46060
2015-07-28,46086
2015-07-29,46847
2015-07-30,47470
2015-07-31,48894
2015-08-01,50194
2015-08-02,50485
2015-08-03,50010
2015-08-04,48751
2015-08-05,47974
2015-08-06,49619
2015-08-07,49897
2015-08-08,49116
2015-08-09,50220
2015-08-10,51125
2015-08-11,49928
2015-08-12,50330
2015-08-13,52085
2015-08-14,54608
2015-08-15,54263
2015-08-16,56291
2015-08-17,56110
2015-08-18,53666
2015-08-19,55722
2015-08-20,56126
2015-08-21,55803
2015-08-22,53336
2015-08-23,51067
2015-08-24,49379
2015-08-25,49379
2015-08-26,47370
2015-08-27,45573
2015-08-28,45298
2015-08-29,46485
2015-08-30,46082
2015-08-31,44921
2015-09-01,43658
2015-09-02,43431
2015-09-03,41917
2015-09-04,39912
2015-09-05,39102
2015-09-06,38090
2015-09-07,37427
2015-09-08,37725
2015-09-09,39242
2015-09-10,38501
2015-09-11,37889
2015-09-12,38460
2015-09-13,39290
2015-09-14,38481
2015-09-15,38842
2015-09-16,36984
2015-09-17,36901
2015-09-18,38737
2015-09-19,40661
2015-09-20,42144
2015-09-21,42911
2015-09-22,44249
2015-09-23,45302
2015-09-24,43065
2015-09-25,42875
2015-09-27,45837
2015-09-28,47506
2015-09-29,49322
2015-09-30,48974
2015-10-05,44123
2015-10-06,45252
2015-10-07,46467
2015-10-08,46901
2015-10-09,47210
2015-10-10,47210
2015-10-11,47294
2015-10-12,48040
2015-10-13,48275
2015-10-14,49167
2015-10-15,47979
2015-10-16,45580
2015-10-17,45580
2015-10-18,43414
2015-10-19,43701
2015-10-20,45831
2015-10-22,48975
2015-10-23,48490
2015-10-24,48888
2015-10-25,49086
2015-10-26,48026
2015-10-27,48384
2015-10-28,48832
2015-10-29,49772
2015-10-30,50532
2015-10-31,48580
2015-11-01,48580
2015-11-02,49513
2015-11-03,50966
2015-11-04,52818
2015-11-05,54820
2015-11-06,55837
2015-11-07,57555
2015-11-08,55846
2015-11-09,55766
2015-11-10,56974
2015-11-11,58589
2015-11-12,61363
2015-11-13,63169
2015-11-14,62522
2015-11-15,60044
2015-11-16,60339
2015-11-17,58969
2015-11-18,57546
2015-11-19,58119
2015-11-20,59729
2015-11-21,59729
2015-11-22,61366
2015-11-23,61366
2015-11-24,62239
2015-11-25,63228
2015-11-26,63228
2015-11-27,63807
2015-11-28,64244
2015-11-29,63550
2015-11-30,62158
2015-12-01,61551
