date_obj,Yellow%20bead price
2015-03-26,4169
2015-03-27,4169
2015-03-28,3960
2015-03-29,3762
2015-03-30,3573
2015-03-31,3394
2015-04-01,3394
2015-04-02,3224
2015-04-03,3062
2015-04-04,2908
2015-04-05,2772
2015-04-06,2633
2015-04-07,2501
2015-04-08,2501
2015-04-09,2375
2015-04-10,2256
2015-04-11,2143
2015-04-12,2045
2015-04-13,1950
2015-04-14,1950
2015-04-15,1852
2015-04-16,1767
2015-04-17,1713
2015-04-18,1648
2015-04-19,1650
2015-04-20,1650
2015-04-21,1694
2015-04-22,1694
2015-04-23,1720
2015-04-24,1720
2015-04-25,1716
2015-04-26,1655
2015-04-27,1606
2015-04-28,1527
2015-04-29,1527
2015-04-30,1478
2015-05-01,1438
2015-05-02,1391
2015-05-03,1391
2015-05-04,1352
2015-05-05,1288
2015-05-06,1239
2015-05-07,1204
2015-05-08,1162
2015-05-09,1128
2015-05-10,1105
2015-05-11,1105
2015-05-12,1086
2015-05-13,1086
2015-05-14,1060
2015-05-15,1060
2015-05-16,1056
2015-05-17,1039
2015-05-18,1012
2015-05-19,1012
2015-05-20,989
2015-05-21,989
2015-05-22,993
2015-05-23,993
2015-05-24,1030
2015-05-25,1082
2015-05-26,1135
2015-05-27,1135
2015-05-28,1192
2015-05-29,1252
2015-05-30,1304
2015-05-31,1304
2015-06-01,1310
2015-06-02,1310
2015-06-03,1271
2015-06-04,1243
2015-06-05,1299
2015-06-06,1337
2015-06-07,1320
2015-06-08,1320
2015-06-09,1306
2015-06-10,1269
2015-06-11,1269
2015-06-12,1227
2015-06-13,1200
2015-06-14,1218
2015-06-15,1218
2015-06-16,1245
2015-06-17,1306
2015-06-18,1372
2015-06-19,1431
2015-06-20,1500
2015-06-21,1500
2015-06-22,1571
2015-06-23,1649
2015-06-24,1709
2015-06-25,1709
2015-06-26,1698
2015-06-27,1698
2015-06-28,1689
2015-06-29,1689
2015-06-30,1687
2015-07-01,1688
2015-07-02,1688
2015-07-03,1663
2015-07-04,1660
2015-07-05,1660
2015-07-06,1645
2015-07-07,1562
2015-07-08,1543
2015-07-09,1543
2015-07-10,1508
2015-07-11,1508
2015-07-12,1452
2015-07-13,1388
2015-07-14,1330
2015-07-15,1283
2015-07-16,1283
2015-07-17,1229
2015-07-18,1229
2015-07-19,1215
2015-07-20,1198
2015-07-21,1198
2015-07-22,1198
2015-07-23,1198
2015-07-24,1174
2015-07-25,1174
2015-07-26,1144
2015-07-27,1103
2015-07-28,1057
2015-07-29,1048
2015-07-30,1048
2015-07-31,1099
2015-08-01,1131
2015-08-02,1101
2015-08-03,1118
2015-08-04,1118
2015-08-05,1128
2015-08-06,1127
2015-08-07,1127
2015-08-08,1117
2015-08-09,1173
2015-08-10,1179
2015-08-11,1174
2015-08-12,1174
2015-08-13,1174
2015-08-14,1173
2015-08-15,1173
2015-08-16,1154
2015-08-17,1154
2015-08-18,1184
2015-08-19,1184
2015-08-20,1219
2015-08-21,1219
2015-08-22,1259
2015-08-23,1259
2015-08-24,1290
2015-08-25,1290
2015-08-26,1290
2015-08-27,1332
2015-08-28,1332
2015-08-29,1373
2015-08-30,1373
2015-08-31,1329
2015-09-01,1329
2015-09-02,1271
2015-09-03,1271
