date_obj,Mithril%20nails price
2015-03-26,80
2015-03-27,80
2015-03-28,80
2015-03-29,80
2015-03-30,80
2015-03-31,80
2015-04-01,80
2015-04-02,80
2015-04-03,77
2015-04-04,77
2015-04-05,77
2015-04-06,77
2015-04-07,77
2015-04-08,77
2015-04-09,77
2015-04-10,77
2015-04-11,73
2015-04-12,73
2015-04-13,73
2015-04-14,73
2015-04-15,73
2015-04-16,73
2015-04-17,73
2015-04-18,71
2015-04-19,71
2015-04-20,71
2015-04-21,71
2015-04-22,71
2015-04-23,71
2015-04-24,71
2015-04-25,71
2015-04-26,71
2015-04-27,68
2015-04-28,68
2015-04-29,68
2015-04-30,68
2015-05-01,68
2015-05-02,68
2015-05-03,68
2015-05-04,68
2015-05-05,67
2015-05-06,67
2015-05-07,67
2015-05-08,67
2015-05-09,67
2015-05-10,67
2015-05-11,67
2015-05-12,67
2015-05-13,67
2015-05-14,67
2015-05-15,67
2015-05-16,67
2015-05-17,67
2015-05-18,67
2015-05-19,67
2015-05-20,65
2015-05-21,65
2015-05-22,65
2015-05-23,65
2015-05-24,65
2015-05-25,65
2015-05-26,65
2015-05-27,65
2015-05-28,64
2015-05-29,64
2015-05-30,64
2015-05-31,64
2015-06-01,64
2015-06-02,64
2015-06-03,64
2015-06-04,64
2015-06-05,64
2015-06-06,64
2015-06-07,64
2015-06-08,64
2015-06-09,62
2015-06-10,62
2015-06-11,62
2015-06-12,62
2015-06-13,62
2015-06-14,62
2015-06-15,64
2015-06-16,64
2015-06-17,64
2015-06-18,64
2015-06-19,64
2015-06-20,64
2015-06-21,65
2015-06-22,65
2015-06-23,65
2015-06-24,65
2015-06-25,65
2015-06-26,65
2015-06-27,64
2015-06-28,64
2015-06-29,64
2015-06-30,64
2015-07-01,64
2015-07-02,64
2015-07-03,63
2015-07-04,63
2015-07-05,63
2015-07-06,63
2015-07-07,63
2015-07-08,63
2015-07-09,63
2015-07-10,63
2015-07-11,63
2015-07-12,63
2015-07-13,63
2015-07-14,63
2015-07-15,63
2015-07-16,64
2015-07-17,64
2015-07-18,64
2015-07-19,64
2015-07-20,64
2015-07-21,64
2015-07-22,64
2015-07-23,64
2015-07-24,64
2015-07-25,64
2015-07-26,64
2015-07-27,63
2015-07-28,63
2015-07-29,63
2015-07-30,63
2015-07-31,63
2015-08-01,63
2015-08-02,63
2015-08-03,63
2015-08-04,63
2015-08-05,63
2015-08-06,63
2015-08-07,63
2015-08-08,61
2015-08-09,61
2015-08-10,61
2015-08-11,61
2015-08-12,61
2015-08-13,62
2015-08-14,62
2015-08-15,62
2015-08-16,62
2015-08-17,62
2015-08-18,62
2015-08-19,62
2015-08-20,62
2015-08-21,62
2015-08-22,60
2015-08-23,60
2015-08-24,60
2015-08-25,60
2015-08-26,60
2015-08-27,60
2015-08-28,60
2015-08-29,60
2015-08-30,60
2015-08-31,60
2015-09-01,60
2015-09-02,60
2015-09-03,61
2015-09-04,61
2015-09-05,61
2015-09-06,61
2015-09-07,61
2015-09-08,60
2015-09-09,60
2015-09-10,60
2015-09-11,60
2015-09-12,60
2015-09-13,60
2015-09-14,59
2015-09-15,59
2015-09-16,59
2015-09-17,59
2015-09-18,59
