date_obj,Ancestral%20robe%20top price
2017-01-04,25000000
2017-01-05,25790000
2017-01-06,26872392
2017-01-07,27989981
2017-01-08,29216651
2017-01-09,30606796
2017-01-10,32045893
2017-01-11,33613101
2017-01-12,35293757
2017-01-13,36968410
2017-01-14,38802276
2017-01-15,40742390
2017-01-16,42779510
2017-01-17,44918486
2017-01-18,47164411
2017-01-19,49463773
2017-01-20,51808438
2017-01-21,54398860
2017-01-22,57055054
2017-01-23,59907807
2017-01-27,72467662
2017-01-28,76091046
2017-01-29,79895599
2017-01-30,83712480
2017-01-31,87898104
2017-02-01,92293010
2017-02-02,96766396
2017-02-03,101440388
2017-02-04,106512408
2017-02-05,111578243
2017-02-06,117093759
2017-02-07,122780768
2017-02-08,128919807
2017-02-09,128919807
2017-02-10,135365798
2017-02-11,142134088
2017-02-12,142134088
2017-02-13,149240793
2017-02-14,156554378
2017-02-15,164229333
2017-02-16,172440800
2017-02-17,172440800
2017-02-18,181062840
2017-02-19,190115982
2017-02-20,199157742
2017-02-21,209115630
2017-02-22,218751674
2017-02-23,224690340
2017-02-24,224690340
2017-02-25,227912777
2017-02-26,229141509
2017-02-27,230276709
2017-02-28,231868174
2017-03-01,231868174
2017-03-02,229868421
2017-03-03,229868421
2017-03-04,229985336
2017-03-05,229985336
2017-03-06,228787339
2017-03-07,217653822
2017-03-08,206771130
2017-03-09,196432573
2017-03-10,186672072
2017-03-11,178935390
2017-03-12,170625386
2017-03-13,162094116
2017-03-14,153989410
2017-03-15,146603933
2017-03-16,153035830
2017-03-17,153055199
2017-03-18,147671898
2017-03-19,140288303
2017-03-20,134447443
2017-03-21,139534048
2017-03-22,139543317
2017-03-23,144236227
2017-03-24,148175020
2017-03-25,148175020
2017-03-26,146158481
2017-03-27,149045006
2017-03-28,151463803
2017-03-29,156304083
2017-03-30,162807389
2017-03-31,163830358
2017-04-01,155638840
2017-04-02,155927263
2017-04-03,157924074
2017-04-04,159334389
2017-04-05,161856089
2017-04-12,169434175
2017-04-13,166337170
2017-04-14,166650624
2017-04-15,170300239
2017-04-16,170287713
2017-04-17,171169876
2017-04-18,171553779
2017-04-19,172055593
2017-04-20,172033034
2017-04-21,173015251
2017-04-22,174251060
2017-04-23,173177540
2017-04-24,172820243
2017-04-25,173040784
2017-04-26,173040784
2017-04-27,173239285
2017-04-28,165531752
2017-04-29,168141359
2017-04-30,169420626
2017-05-01,170308214
2017-05-02,171381927
2017-05-03,172190456
2017-05-04,174604766
2017-05-05,174016988
2017-05-06,176171546
2017-05-07,175449257
2017-05-08,171055799
2017-05-09,167560371
2017-05-10,164513853
2017-05-11,162618510
2017-05-12,163289372
2017-05-13,167780074
2017-05-14,170103757
2017-05-15,169677837
2017-05-16,167074529
2017-05-17,166944965
2017-05-18,167258378
2017-05-19,168689587
2017-05-20,169731639
2017-05-21,169607571
2017-05-22,170545840
2017-05-23,171889112
2017-05-24,170815079
2017-05-25,162366143
2017-05-26,154881496
2017-05-27,148164192
2017-05-28,149284565
2017-05-29,151865658
2017-05-30,152257471
2017-05-31,153652899
2017-06-01,156034578
2017-06-02,154858566
2017-06-03,155144474
2017-06-04,154471229
2017-06-05,154399779
2017-06-06,153712886
2017-06-07,148929138
2017-06-08,145503461
2017-06-09,138900027
2017-06-10,132163057
2017-06-11,125827694
2017-06-12,120363546
2017-06-13,122033020
2017-06-14,122911786
2017-06-15,128898533
2017-06-16,135312607
2017-06-17,134838363
2017-06-18,129271556
2017-06-19,129271556
2017-06-20,125017691
2017-06-21,122789263
2017-06-22,123724305
2017-06-23,124424163
2017-06-24,123629088
2017-06-25,120575862
2017-06-26,116173525
2017-06-27,113601497
2017-06-28,113274799
2017-06-29,110274924
2017-06-30,107168716
2017-07-01,105367743
2017-07-02,105351271
2017-07-03,106388897
2017-07-04,108121695
2017-07-05,107888249
2017-07-06,106684003
2017-07-07,108654527
2017-07-08,109676424
2017-07-09,108386597
2017-07-13,95681377
2017-07-14,94660347
2017-07-15,97170372
2017-07-16,101142991
2017-07-17,100133147
2017-07-18,97515649
2017-07-19,99439011
2017-07-20,98721827
2017-07-21,99409004
2017-07-22,98476421
2017-07-23,98008335
2017-07-24,97603402
2017-07-25,98085175
2017-07-26,98087227
2017-07-27,97931974
2017-07-28,97749876
2017-07-29,97329487
2017-07-30,93203794
2017-07-31,88887521
2017-08-01,90687800
2017-08-02,89769979
2017-08-03,90099927
2017-08-04,89771262
2017-08-05,90403729
2017-08-06,91282912
2017-08-07,91246458
2017-08-08,91700684
2017-08-09,91328015
2017-08-10,91882242
2017-08-11,94396327
2017-08-12,96772192
2017-08-13,96532619
2017-08-14,96492316
2017-08-15,95457770
2017-08-16,95133345
2017-08-17,94826268
2017-08-18,94426680
2017-08-19,94383815
2017-08-20,94624859
2017-08-21,94386613
2017-08-22,93014230
2017-08-23,91880720
2017-08-24,91467769
2017-08-25,91290155
2017-08-26,92222976
2017-08-27,92499057
2017-08-28,93856223
2017-08-29,93340709
2017-08-30,93276921
2017-08-31,93510124
2017-09-01,93847152
2017-09-02,96890939
2017-09-03,96819537
2017-09-04,96671416
2017-09-05,96286827
2017-09-06,96913990
2017-09-07,98557653
2017-09-08,99231547
2017-09-09,101409301
2017-09-10,100154408
2017-09-11,96228345
2017-09-12,94747238
2017-09-13,94000997
2017-09-14,96681569
2017-09-15,97951255
2017-09-16,98663721
2017-09-17,98257565
2017-09-18,97744311
2017-09-19,97661398
2017-09-20,97517930
2017-09-22,97871615
2017-09-23,97780477
2017-09-24,97834725
2017-09-25,97579164
2017-09-26,97230315
2017-09-27,96802752
2017-09-28,96662881
2017-09-29,96459384
2017-09-30,96348914
2017-10-01,96573932
2017-10-02,96345605
2017-10-03,96054960
2017-10-04,95739893
2017-10-05,95681398
2017-10-06,95867908
2017-10-07,96130946
2017-10-08,96057521
2017-10-09,96412768
2017-10-10,96716842
2017-10-11,96612897
2017-10-12,96206227
2017-10-13,96420905
2017-10-14,96785369
2017-10-15,97015860
2017-10-16,96991262
2017-10-17,96680552
2017-10-18,96707123
2017-10-19,97176945
2017-10-20,96681296
2017-10-21,96704745
2017-10-22,97492731
2017-10-23,97910414
2017-10-24,97984209
2017-10-25,97830801
2017-10-26,97619876
2017-10-27,97508721
2017-10-28,97103906
2017-10-29,97408890
2017-10-30,98167129
2017-10-31,100028225
2017-11-01,99269991
2017-11-02,98997929
2017-11-03,99281865
2017-11-04,98720211
2017-11-05,99715603
2017-11-06,99614922
2017-11-07,99159313
2017-11-08,99252570
2017-11-09,98580082
2017-11-10,98072107
2017-11-11,97945175
2017-11-12,97893946
2017-11-13,97921950
