date_obj,Guthix%20mitre price
2015-03-26,138020
2015-03-27,136477
2015-03-28,135731
2015-03-29,134619
2015-03-30,133623
2015-03-31,134156
2015-04-01,134156
2015-04-02,134280
2015-04-03,132630
2015-04-04,133436
2015-04-05,134937
2015-04-06,132798
2015-04-07,130891
2015-04-08,127851
2015-04-09,126307
2015-04-10,125320
2015-04-11,123018
2015-04-12,119658
2015-04-13,114571
2015-04-14,109241
2015-04-15,103778
2015-04-16,99764
2015-04-17,96735
2015-04-18,93675
2015-04-19,91329
2015-04-20,91329
2015-04-21,88380
2015-04-22,88363
2015-04-23,88097
2015-04-24,89141
2015-04-25,87824
2015-04-26,85240
2015-04-27,83694
2015-04-28,83728
2015-04-29,85520
2015-04-30,85456
2015-05-01,83770
2015-05-02,82918
2015-05-03,82279
2015-05-04,83604
2015-05-05,85533
2015-05-06,87752
2015-05-07,91758
2015-05-08,96057
2015-05-09,99862
2015-05-10,104438
2015-05-11,108379
2015-05-12,113646
2015-05-13,119260
2015-05-14,125112
2015-05-15,129015
2015-05-16,129875
2015-05-17,130714
2015-05-18,131280
2015-05-19,131903
2015-05-20,131412
2015-05-21,132314
2015-05-22,131946
2015-05-23,131858
2015-05-24,130915
2015-05-25,128390
2015-05-26,124494
2015-05-27,121336
2015-05-28,115783
2015-05-29,109993
2015-05-30,105246
2015-05-31,101819
2015-06-01,98388
2015-06-02,98388
2015-06-03,95322
2015-06-04,93142
2015-06-05,90870
2015-06-06,88651
2015-06-07,87937
2015-06-08,87999
2015-06-09,85954
2015-06-10,85420
2015-06-11,86295
2015-06-12,86974
2015-06-13,86924
2015-06-14,85801
2015-06-15,85639
2015-06-16,82041
2015-06-17,79579
2015-06-18,76846
2015-06-19,73268
2015-06-20,69604
2015-06-21,67254
2015-06-22,65064
2015-06-23,62191
2015-06-24,61660
2015-06-25,62434
2015-06-26,64244
2015-06-27,66323
2015-06-28,69407
2015-06-29,72183
2015-06-30,73762
2015-07-01,73874
2015-07-02,73874
2015-07-03,72838
2015-07-04,72543
2015-07-05,71083
2015-07-06,71209
2015-07-07,70583
2015-07-08,69635
2015-07-09,69635
2015-07-10,68846
2015-07-11,70850
2015-07-12,73246
2015-07-13,75479
2015-07-14,76805
2015-07-15,78452
2015-07-16,80190
2015-07-17,81874
2015-07-18,82418
2015-07-19,78652
2015-07-20,76286
2015-07-21,75330
2015-07-22,73907
2015-07-23,73907
2015-07-24,71853
2015-07-25,70910
2015-07-26,70132
2015-07-27,70098
2015-07-28,69962
2015-07-29,70628
2015-07-30,72769
2015-07-31,76183
2015-08-01,77565
2015-08-02,76543
2015-08-03,73168
2015-08-04,69716
2015-08-05,68089
2015-08-06,67334
2015-08-07,66743
2015-08-08,64239
2015-08-09,62448
2015-08-10,61118
2015-08-11,59298
2015-08-12,58788
2015-08-13,58761
2015-08-14,59670
2015-08-15,61332
2015-08-16,63259
2015-08-17,66126
2015-08-18,69433
2015-08-19,72634
2015-08-20,74841
2015-08-21,76005
2015-08-22,77039
2015-08-23,77878
2015-08-24,77540
2015-08-25,77540
2015-08-26,78040
2015-08-27,79131
2015-08-28,77683
2015-08-29,76612
2015-08-30,75930
2015-08-31,75560
2015-09-01,73801
2015-09-02,73801
2015-09-03,70110
2015-09-04,68094
2015-09-05,66635
2015-09-06,64602
2015-09-07,64833
2015-09-08,64745
2015-09-09,64101
2015-09-10,63579
2015-09-11,63290
2015-09-12,62871
2015-09-13,61865
2015-09-14,61139
2015-09-15,61219
2015-09-16,61219
2015-09-17,61756
2015-09-18,61603
2015-09-19,60647
2015-09-20,60775
2015-09-21,60531
2015-09-22,59534
2015-09-23,60423
2015-09-24,62248
2015-09-25,63730
2015-09-27,66152
2015-09-28,66913
2015-09-29,68121
2015-09-30,65428
2015-10-05,65579
2015-10-06,63309
2015-10-07,63098
2015-10-08,62880
2015-10-09,62321
2015-10-10,62321
2015-10-11,61812
2015-10-12,61578
2015-10-13,61578
2015-10-14,61014
2015-10-15,59709
2015-10-16,59599
2015-10-17,59599
2015-10-18,59628
2015-10-19,58868
2015-10-20,58276
2015-10-22,57369
2015-10-23,56198
2015-10-24,55428
2015-10-25,55186
2015-10-26,55801
2015-10-27,58220
2015-10-29,60250
2015-10-30,62475
2015-10-31,61623
2015-11-01,61623
2015-11-02,61542
2015-11-03,59783
2015-11-04,59783
2015-11-05,58845
2015-11-06,58845
2015-11-07,55953
2015-11-08,55953
2015-11-09,53300
2015-11-10,50861
2015-11-11,48475
2015-11-12,47435
2015-11-13,45176
2015-11-14,44620
2015-11-15,42546
2015-11-16,41102
2015-11-17,40911
2015-11-18,41761
2015-11-19,42675
2015-11-20,44188
2015-11-21,44188
2015-11-22,45260
2015-11-23,45260
2015-11-24,46267
2015-11-25,45784
2015-11-26,45784
2015-11-27,47332
2015-11-28,49613
2015-11-29,51917
2015-11-30,53612
2015-12-01,53372
2015-12-02,52751
2015-12-03,53732
2015-12-04,53732
2015-12-05,53361
2015-12-06,53438
2015-12-07,53634
2015-12-08,51268
2015-12-09,50567
2015-12-10,50046
2015-12-11,49802
2015-12-12,50735
2015-12-13,52257
2015-12-14,54012
2015-12-15,54676
2015-12-16,56171
2015-12-17,58187
2015-12-18,59011
2015-12-19,59068
2015-12-20,59318
2015-12-21,60886
2015-12-22,62283
2015-12-23,64174
2015-12-24,65342
