date_obj,Obsidian%20platelegs price
2017-06-01,236250
2017-06-02,248063
2017-06-03,260467
2017-06-06,301525
2017-06-07,316602
2017-06-08,332103
2017-06-09,348709
2017-06-10,366145
2017-06-11,384453
2017-06-12,403676
2017-06-13,423860
2017-06-14,445053
2017-06-15,467306
2017-06-16,490672
2017-06-17,515206
2017-06-18,540967
2017-06-19,540967
2017-06-20,568016
2017-06-21,596417
2017-06-22,624622
2017-06-23,654891
2017-06-24,687636
2017-06-25,722018
2017-06-26,757645
2017-06-27,795528
2017-06-28,833673
2017-06-29,875357
2017-06-30,919125
2017-07-01,919125
2017-07-02,965082
2017-07-03,1013337
2017-07-04,1054436
2017-07-05,1054436
2017-07-06,1100902
2017-07-07,1100902
2017-07-08,1084556
2017-07-13,931161
2017-07-14,913047
2017-07-15,913047
2017-07-16,951891
2017-07-17,946635
2017-07-18,986199
2017-07-19,1035509
2017-07-20,1087141
2017-07-21,1119040
2017-07-22,1073258
2017-07-23,1030267
2017-07-24,1030267
2017-07-25,1066068
2017-07-26,1067950
2017-07-27,1050515
2017-07-28,1046974
2017-07-29,1046974
2017-07-30,1036437
2017-07-31,1036437
2017-08-01,1026480
2017-08-02,1023337
2017-08-03,1023337
2017-08-04,1032932
2017-08-05,1044099
2017-08-06,1044099
2017-08-09,1035910
2017-08-10,1010824
2017-08-11,1010824
2017-08-12,1008674
2017-08-13,1008533
2017-08-14,1008533
2017-08-15,1005099
2017-08-17,1012260
2017-08-18,1012260
2017-08-19,1050920
2017-08-20,1051227
2017-08-22,1032219
2017-08-23,1032219
2017-08-24,1048487
2017-08-25,1048487
2017-08-26,1084071
2017-08-27,1101930
2017-08-28,1053472
2017-08-29,1053472
2017-08-30,1032157
2017-08-31,1032157
2017-09-01,1018357
2017-09-02,1010356
2017-09-03,1010356
2017-09-04,1041839
2017-09-05,1091503
2017-09-06,1076275
2017-09-07,1056193
2017-09-08,1056193
2017-09-09,1043622
2017-09-10,1043240
2017-09-11,1025036
2017-09-12,1025036
2017-09-13,990583
2017-09-14,956711
2017-09-15,956711
2017-09-16,936322
2017-09-17,920807
2017-09-19,885953
2017-09-20,885491
2017-09-21,885491
2017-09-22,915076
2017-09-23,915076
2017-09-24,922587
2017-09-25,911275
2017-09-26,894709
2017-09-27,894709
2017-09-28,885697
2017-09-29,892899
2017-09-30,892899
2017-10-01,851972
2017-10-02,823818
2017-10-03,823818
2017-10-04,811100
2017-10-05,836601
2017-10-06,808677
2017-10-07,821646
2017-10-08,840486
2017-10-09,857955
2017-10-10,852969
2017-10-11,852969
2017-10-12,889826
2017-10-13,933424
2017-10-14,979002
2017-10-15,979002
2017-10-16,1006221
2017-10-17,1006221
2017-10-18,1011761
2017-10-19,1011761
2017-10-20,994218
2017-10-21,994218
2017-10-22,1024273
2017-10-23,1027137
2017-10-24,1027137
2017-10-25,1008616
2017-10-26,1012542
2017-10-27,997033
2017-10-28,997033
2017-10-29,1011163
2017-10-30,1061147
2017-10-31,1094539
2017-11-01,1094539
2017-11-02,1052218
2017-11-03,1032268
2017-11-04,1020900
2017-11-05,1033394
2017-11-06,1025099
2017-11-07,1025099
2017-11-08,1041569
2017-11-09,1015543
2017-11-10,986462
2017-11-11,966888
2017-11-12,977583
2017-11-13,1023220
2017-11-14,1023220
2017-11-15,1060057
2017-11-16,1038936
2017-11-17,1015915
2017-11-18,1015915
2017-11-19,1006330
2017-11-20,1014343
2017-11-21,1000651
2017-11-22,1025272
2017-11-23,1022519
2017-11-24,1022519
2017-11-25,1056312
2017-11-26,1004140
2017-11-27,1004140
2017-11-28,960108
2017-11-29,957618
2017-11-30,952710
2017-12-01,937437
2017-12-02,937437
2017-12-03,945339
2017-12-04,988745
2017-12-05,994142
2017-12-06,1003680
2017-12-07,961300
2017-12-08,961300
2017-12-09,919449
2017-12-10,899869
2017-12-11,868462
2017-12-12,842042
2017-12-14,862913
2017-12-15,893563
2017-12-16,895099
2017-12-17,905111
2017-12-18,913046
2017-12-19,913046
2017-12-20,908600
2017-12-21,902076
2017-12-22,900681
2017-12-23,910693
2017-12-24,898535
2017-12-25,909957
2017-12-26,907720
2017-12-27,934946
2017-12-28,981644
2017-12-29,1015895
2017-12-30,1055867
2017-12-31,1055867
2018-01-01,1013143
2018-01-02,985248
2018-01-03,998559
2018-01-04,964951
2018-01-05,946205
2018-01-06,955131
2018-01-07,988800
2018-01-08,1017403
2018-01-09,997480
2018-01-10,987648
2018-01-11,957701
2018-01-12,930491
2018-01-13,906025
2018-01-14,907751
2018-01-15,927049
2018-01-16,956966
2018-01-17,942662
2018-01-18,979959
2018-01-19,979959
2018-01-20,948048
2018-01-21,936640
2018-01-22,939747
2018-01-23,925950
2018-01-24,929598
2018-01-25,913700
2018-01-26,928120
2018-01-27,923126
2018-01-28,909447
2018-01-29,925812
2018-01-31,928154
2018-02-01,930776
2018-02-02,922839
2018-02-03,911898
2018-02-04,902782
2018-02-05,915523
2018-02-06,904130
2018-02-07,914091
2018-02-08,918247
2018-02-09,917936
2018-02-10,933475
2018-02-11,930179
2018-02-12,926648
2018-02-13,931831
2018-02-14,923230
2018-02-15,913797
2018-02-16,911301
2018-02-17,903118
2018-02-18,913095
2018-02-19,943951
2018-02-20,962374
2018-02-21,1006969
2018-02-22,1034935
2018-02-23,1028859
2018-02-24,1079155
2018-02-25,1043283
2018-02-26,1002224
2018-02-27,983372
2018-03-01,973775
2018-03-02,987043
2018-03-03,996785
2018-03-04,1031334
2018-03-05,1019404
2018-03-06,1017305
2018-03-07,998970
2018-03-08,984857
2018-03-09,976924
2018-03-10,983260
2018-03-11,984109
2018-03-12,968491
2018-03-13,954577
2018-03-14,959616
2018-03-15,957367
2018-03-16,940207
2018-03-17,918378
2018-03-18,902414
2018-03-19,917886
2018-03-20,923023
2018-03-21,946767
2018-03-23,915360
2018-03-24,938490
2018-03-26,973026
2018-03-27,983059
2018-03-28,976393
2018-03-29,965034
2018-03-30,963037
2018-03-31,981272
2018-04-01,968231
2018-04-02,972424
2018-04-03,964177
2018-04-04,950648
2018-04-05,966683
2018-04-06,971993
2018-04-08,990933
2018-04-09,983611
2018-04-10,965422
2018-04-11,968877
2018-04-12,969417
2018-04-13,978493
2018-04-14,984514
2018-04-15,1003194
2018-04-16,988381
2018-04-17,967355
2018-04-18,975092
2018-04-19,973354
2018-04-20,968136
2018-04-21,983062
