date_obj,Black%20chinchompa price
2015-03-26,1924
2015-03-27,1831
2015-03-28,1831
2015-03-29,1745
2015-03-30,1745
2015-03-31,1675
2015-04-01,1675
2015-04-02,1736
2015-04-03,1736
2015-04-04,1783
2015-04-05,1783
2015-04-06,1848
2015-04-07,1848
2015-04-08,1836
2015-04-09,1836
2015-04-10,1827
2015-04-11,1827
2015-04-12,1852
2015-04-13,1852
2015-04-14,1921
2015-04-15,1921
2015-04-16,1968
2015-04-17,1968
2015-04-18,1981
2015-04-19,1981
2015-04-20,1911
2015-04-21,1911
2015-04-22,1819
2015-04-23,1819
2015-04-24,1781
2015-04-25,1781
2015-04-26,1795
2015-04-27,1795
2015-04-28,1798
2015-04-29,1798
2015-04-30,1851
2015-05-01,1851
2015-05-02,1910
2015-05-03,1910
2015-05-04,1883
2015-05-05,1883
2015-05-06,1894
2015-05-07,1894
2015-05-08,1943
2015-05-09,1943
2015-05-10,1927
2015-05-11,1927
2015-05-12,1920
2015-05-13,1920
2015-05-14,1940
2015-05-15,1940
2015-05-16,1940
2015-05-17,1917
2015-05-18,1917
2015-05-19,1920
2015-05-20,1920
2015-05-21,1920
2015-05-22,1909
2015-05-23,1909
2015-05-24,1930
2015-05-25,1930
2015-05-26,1934
2015-05-27,1934
2015-05-28,1940
2015-05-29,1940
2015-05-30,1954
2015-05-31,1954
2015-06-01,2034
2015-06-02,2034
2015-06-03,2103
2015-06-04,2103
2015-06-05,2169
2015-06-06,2243
2015-06-07,2243
2015-06-08,2237
2015-06-09,2248
2015-06-10,2241
2015-06-11,2241
2015-06-12,2229
2015-06-13,2164
2015-06-14,2164
2015-06-15,2070
2015-06-16,1976
2015-06-17,1976
2015-06-18,1965
2015-06-19,1965
2015-06-20,2004
2015-06-21,2004
2015-06-22,1954
2015-06-23,1954
2015-06-24,1944
2015-06-25,1944
2015-06-26,1981
2015-06-27,1981
2015-06-28,1999
2015-06-29,1999
2015-06-30,1963
2015-07-01,1985
2015-07-02,1985
2015-07-03,2004
2015-07-04,2004
2015-07-05,1961
2015-07-06,1961
2015-07-07,1932
2015-07-08,1858
2015-07-09,1858
2015-07-10,1799
2015-07-11,1799
2015-07-12,1743
2015-07-13,1679
2015-07-14,1698
2015-07-15,1762
2015-07-16,1762
2015-07-17,1779
2015-07-18,1779
2015-07-19,1758
2015-07-20,1758
2015-07-21,1758
2015-07-22,1711
2015-07-23,1711
2015-07-24,1731
2015-07-25,1731
2015-07-26,1777
2015-07-27,1747
2015-07-28,1747
2015-07-29,1736
2015-07-30,1736
2015-07-31,1723
2015-08-01,1723
2015-08-02,1726
2015-08-03,1726
2015-08-04,1774
2015-08-05,1832
2015-08-06,1832
2015-08-07,1834
2015-08-08,1817
2015-08-09,1788
2015-08-10,1804
2015-08-11,1819
2015-08-12,1819
2015-08-13,1819
