date_obj,Black%20wizard%20robe%20(t) price
2015-03-26,313085
2015-03-27,313085
2015-03-28,310664
2015-03-29,307848
2015-03-30,306031
2015-03-31,303891
2015-04-01,303891
2015-04-02,299564
2015-04-03,291358
2015-04-04,285276
2015-04-05,276427
2015-04-06,266821
2015-04-07,258190
2015-04-08,258190
2015-04-09,248138
2015-04-10,244057
2015-04-11,240335
2015-04-12,237447
2015-04-13,241316
2015-04-14,245791
2015-04-15,252934
2015-04-16,256054
2015-04-17,260124
2015-04-18,261639
2015-04-19,263452
2015-04-20,263452
2015-04-21,262244
2015-04-22,264905
2015-04-23,265367
2015-04-24,266905
2015-04-25,265408
2015-04-26,259165
2015-04-27,250805
2015-04-28,243773
2015-04-29,243773
2015-04-30,239967
2015-05-01,236748
2015-05-02,228636
2015-05-03,228636
2015-05-04,217476
2015-05-05,206602
2015-05-06,196271
2015-05-07,187328
2015-05-08,179699
2015-05-09,172251
2015-05-10,164045
2015-05-11,158091
2015-05-12,151903
2015-05-13,149993
2015-05-14,146799
2015-05-15,143648
2015-05-16,145774
2015-05-17,146881
2015-05-18,146607
2015-05-19,146464
2015-05-20,149798
2015-05-21,152537
2015-05-22,153750
2015-05-23,153531
2015-05-24,152314
2015-05-25,150784
2015-05-26,149580
2015-05-27,151696
2015-05-28,152478
2015-05-29,154563
2015-05-30,153711
2015-05-31,154690
2015-06-01,154845
2015-06-02,154845
2015-06-03,155685
2015-06-04,155484
2015-06-05,154836
2015-06-06,155882
2015-06-07,160621
2015-06-08,160621
2015-06-09,160608
2015-06-10,161449
2015-06-11,160925
2015-06-12,163053
2015-06-13,167048
2015-06-14,171343
2015-06-15,171343
2015-06-16,177219
2015-06-17,183351
2015-06-18,188662
2015-06-19,191519
2015-06-20,193486
2015-06-21,198718
2015-06-22,201977
2015-06-23,205901
2015-06-24,210083
2015-06-25,210083
2015-06-26,215576
2015-06-27,215576
2015-06-28,217927
2015-06-29,217927
2015-06-30,220596
2015-07-01,221289
2015-07-02,221289
2015-07-03,225195
2015-07-04,227712
2015-07-05,226649
2015-07-06,226649
2015-07-07,223006
2015-07-08,228838
2015-07-09,228838
2015-07-10,229809
2015-07-11,231466
2015-07-12,231466
2015-07-13,230307
2015-07-14,230842
2015-07-15,233404
2015-07-16,233720
2015-07-17,233669
2015-07-18,233669
2015-07-19,234965
2015-07-20,235767
2015-07-21,236884
2015-07-22,239047
2015-07-23,239047
2015-07-24,246730
2015-07-25,254852
2015-07-26,260668
2015-07-27,267806
2015-07-28,271950
2015-07-29,272947
2015-07-30,263263
2015-07-31,259420
2015-08-01,258262
2015-08-02,259175
2015-08-03,261993
2015-08-04,265659
2015-08-05,267895
2015-08-06,271434
2015-08-07,272285
2015-08-08,272503
2015-08-09,275000
2015-08-10,276883
2015-08-11,280758
2015-08-12,280758
2015-08-13,284977
2015-08-14,292242
2015-08-15,292242
2015-08-16,302288
2015-08-17,308344
2015-08-18,309573
2015-08-19,317617
2015-08-20,317617
2015-08-21,323937
2015-08-22,331104
2015-08-23,331104
2015-08-24,337401
2015-08-25,337401
2015-08-26,325391
2015-08-27,323609
2015-08-28,330230
2015-08-29,334417
2015-08-30,334417
2015-08-31,339664
2015-09-01,341319
2015-09-02,341319
2015-09-03,346540
2015-09-04,346819
2015-09-05,346819
2015-09-06,352054
2015-09-07,349693
2015-09-08,346129
2015-09-09,341742
2015-09-10,338089
2015-09-11,332227
2015-09-12,332227
2015-09-13,321190
2015-09-14,315205
2015-09-15,307100
2015-09-16,307100
2015-09-17,298626
2015-09-18,295008
2015-09-19,290444
2015-09-20,289180
2015-09-21,292127
2015-09-22,296669
2015-09-23,297829
2015-09-24,297829
2015-09-25,298593
2015-09-27,303291
2015-09-28,306633
2015-09-29,306633
2015-09-30,311028
2015-10-05,313580
2015-10-06,312665
2015-10-07,315883
2015-10-08,322201
2015-10-09,325102
2015-10-10,325102
2015-10-11,325832
2015-10-12,322398
2015-10-13,322398
2015-10-14,317887
2015-10-15,312286
2015-10-16,313519
2015-10-17,313519
2015-10-18,312931
2015-10-19,308589
2015-10-20,302196
2015-10-22,296903
2015-10-23,295942
2015-10-24,297128
2015-10-25,292283
2015-10-26,289106
2015-10-27,289106
2015-10-29,295644
2015-10-30,295670
2015-10-31,294080
2015-11-01,294080
2015-11-02,292592
2015-11-03,304404
2015-11-04,304404
2015-11-05,318144
2015-11-06,331063
2015-11-07,345171
2015-11-08,345171
2015-11-09,357326
2015-11-10,357326
