date_obj,Casket price
2015-03-26,13319
2015-03-27,13319
2015-03-28,12678
2015-03-29,12678
2015-03-30,12077
2015-03-31,12077
2015-04-01,11508
2015-04-02,11508
2015-04-03,10950
2015-04-04,10950
2015-04-05,10421
2015-04-06,10421
2015-04-07,9924
2015-04-08,9924
2015-04-09,9468
2015-04-10,9468
2015-04-11,9013
2015-04-12,9013
2015-04-13,8589
2015-04-14,8589
2015-04-15,8182
2015-04-16,8182
2015-04-17,7790
2015-04-18,7790
2015-04-19,7414
2015-04-20,7414
2015-04-21,7414
2015-04-22,7064
2015-04-23,7064
2015-04-24,6738
2015-04-25,6738
2015-04-26,6738
2015-04-27,6421
2015-04-28,6421
2015-04-29,6421
2015-04-30,6120
2015-05-01,6120
2015-05-02,5839
2015-05-03,5839
2015-05-04,5839
2015-05-05,5572
2015-05-06,5572
2015-05-07,5309
2015-05-08,5309
2015-05-09,5061
2015-05-10,5061
2015-05-11,5061
2015-05-12,4837
2015-05-13,4837
2015-05-14,4837
2015-05-15,4611
2015-05-16,4611
2015-05-17,4611
2015-05-18,4391
2015-05-19,4391
2015-05-20,4391
2015-05-21,4391
2015-05-22,4189
2015-05-23,4189
2015-05-24,4189
2015-05-25,3995
2015-05-26,3995
2015-05-27,3995
2015-05-28,3810
2015-05-29,3810
2015-05-30,3637
2015-05-31,3637
2015-06-01,3479
2015-06-02,3479
2015-06-03,3479
2015-06-04,3320
2015-06-05,3167
2015-06-06,3167
2015-06-07,3019
2015-06-08,3019
2015-06-09,2906
2015-06-10,2906
2015-06-11,2770
2015-06-12,2770
2015-06-13,2642
2015-06-14,2642
2015-06-15,2522
2015-06-16,2522
2015-06-17,2416
2015-06-18,2416
2015-06-19,2303
2015-06-20,2303
2015-06-21,2197
2015-06-22,2197
2015-06-23,2096
2015-06-24,2096
2015-06-25,2001
2015-06-26,2001
2015-06-27,1916
2015-06-28,1916
2015-06-29,1829
2015-06-30,1829
2015-07-01,1829
2015-07-02,1765
