date_obj,Raw%20admiral%20pie price
2015-03-26,6217
2015-03-27,6217
2015-03-28,6217
2015-03-29,6217
2015-03-30,6217
2015-03-31,6217
2015-04-01,6217
2015-04-02,6217
2015-04-03,6217
2015-04-04,6217
2015-04-05,6217
2015-04-06,6217
2015-04-07,6217
2015-04-08,6217
2015-04-09,6217
2015-04-10,6217
2015-04-11,6217
2015-04-12,6217
2015-04-13,6217
2015-04-14,6217
2015-04-15,6217
2015-04-16,6217
2015-04-17,6217
2015-04-18,6217
2015-04-19,6217
2015-04-20,6217
2015-04-21,6217
2015-04-22,6217
2015-04-23,6217
2015-04-24,6217
2015-04-25,6217
2015-04-26,6217
2015-04-27,6217
2015-04-28,6217
2015-04-29,6217
2015-04-30,6217
2015-05-01,6217
2015-05-02,6217
2015-05-03,6217
2015-05-04,6217
2015-05-05,6217
2015-05-06,6217
2015-05-07,6217
2015-05-08,6217
2015-05-09,6217
2015-05-10,6217
2015-05-11,6217
2015-05-12,6217
2015-05-13,6217
2015-05-14,6217
2015-05-15,6217
2015-05-16,6217
2015-05-17,6217
2015-05-18,6217
2015-05-19,6217
2015-05-20,6217
2015-05-21,6217
2015-05-22,6217
2015-05-23,6217
2015-05-24,6217
2015-05-25,6217
2015-05-26,6217
2015-05-27,6217
2015-05-28,5914
2015-05-29,5914
2015-05-30,5914
2015-05-31,5914
2015-06-01,5914
2015-06-02,5914
2015-06-03,5914
2015-06-04,5914
2015-06-05,5914
2015-06-06,5914
2015-06-07,5914
2015-06-08,5914
2015-06-09,5914
2015-06-10,5914
2015-06-11,5914
2015-06-12,5914
2015-06-13,5914
2015-06-14,5914
2015-06-15,5914
2015-06-16,5914
2015-06-17,5914
2015-06-18,5914
2015-06-19,5914
2015-06-20,5914
2015-06-21,5914
2015-06-22,5914
2015-06-23,5914
2015-06-24,5914
2015-06-25,5914
2015-06-26,5914
2015-06-27,5914
2015-06-28,5914
2015-06-29,5914
2015-06-30,5914
2015-07-01,5914
2015-07-02,5914
2015-07-03,5914
2015-07-04,5914
2015-07-05,5914
2015-07-06,5914
2015-07-07,5914
2015-07-08,5914
2015-07-09,5914
2015-07-10,5914
2015-07-11,5914
2015-07-12,5914
2015-07-13,5914
2015-07-14,5914
2015-07-15,5914
2015-07-16,5914
2015-07-17,5914
2015-07-18,5914
2015-07-19,5914
2015-07-20,5914
2015-07-21,5914
2015-07-22,5914
2015-07-23,5914
2015-07-24,5914
2015-07-25,5914
2015-07-26,5914
2015-07-27,5914
2015-07-28,5914
2015-07-29,5914
2015-07-30,5914
2015-07-31,5914
2015-08-01,5914
2015-08-02,5914
2015-08-03,5914
2015-08-04,5914
2015-08-05,5914
2015-08-06,5914
2015-08-07,5914
2015-08-08,5914
2015-08-09,5914
2015-08-10,5914
2015-08-11,5914
2015-08-12,5914
2015-08-13,5914
2015-08-14,5914
2015-08-15,5914
2015-08-16,5914
2015-08-17,5914
2015-08-18,5914
2015-08-19,5914
2015-08-20,5914
2015-08-21,5623
2015-08-22,5623
2015-08-23,5623
2015-08-24,5623
2015-08-25,5623
2015-08-26,5623
2015-08-27,5623
2015-08-28,5623
2015-08-29,5623
2015-08-30,5623
2015-08-31,5623
2015-09-01,5623
2015-09-02,5623
2015-09-03,5623
2015-09-04,5623
2015-09-05,5623
2015-09-06,5623
2015-09-07,5623
2015-09-08,5623
2015-09-09,5623
2015-09-10,5623
2015-09-11,5623
2015-09-12,5623
2015-09-13,5623
2015-09-14,5623
2015-09-15,5623
2015-09-16,5623
2015-09-17,5623
2015-09-18,5623
2015-09-19,5623
2015-09-20,5623
2015-09-21,5623
2015-09-22,5623
2015-09-23,5623
2015-09-24,5623
2015-09-25,5623
2015-09-27,5623
2015-09-28,5623
2015-09-29,5623
2015-09-30,5623
2015-10-05,5623
