date_obj,Ring%20of%20recoil price
2015-03-26,985
2015-03-27,1030
2015-03-28,1064
2015-03-29,1041
2015-03-30,1002
2015-03-31,1007
2015-04-01,989
2015-04-02,1008
2015-04-03,993
2015-04-04,1008
2015-04-05,997
2015-04-06,996
2015-04-07,997
2015-04-08,1006
2015-04-09,1022
2015-04-10,1060
2015-04-11,1068
2015-04-12,1084
2015-04-13,1049
2015-04-14,1014
2015-04-15,991
2015-04-16,987
2015-04-17,969
2015-04-18,989
2015-04-19,1007
2015-04-20,1012
2015-04-21,985
2015-04-22,980
2015-04-23,969
2015-04-24,983
2015-04-25,984
2015-04-26,974
2015-04-27,954
2015-04-28,941
2015-04-29,926
2015-04-30,937
2015-05-01,948
2015-05-02,961
2015-05-03,992
2015-05-04,980
2015-05-05,932
2015-05-06,910
2015-05-07,930
2015-05-08,970
2015-05-09,1016
2015-05-10,976
2015-05-11,945
2015-05-12,950
2015-05-13,981
2015-05-14,1023
2015-05-15,1032
2015-05-16,1047
2015-05-17,1027
2015-05-18,1030
2015-05-19,1050
2015-05-20,1043
2015-05-21,1080
2015-05-22,1115
2015-05-23,1148
2015-05-24,1114
2015-05-25,1077
2015-05-26,1095
2015-05-27,1120
2015-05-28,1176
2015-05-29,1234
2015-05-30,1293
2015-05-31,1302
2015-06-01,1295
2015-06-02,1309
2015-06-03,1338
2015-06-04,1331
2015-06-05,1341
2015-06-06,1391
2015-06-07,1438
2015-06-08,1430
2015-06-09,1411
2015-06-10,1433
2015-06-11,1451
2015-06-12,1467
2015-06-13,1533
2015-06-14,1610
2015-06-15,1691
2015-06-16,1776
2015-06-17,1842
2015-06-18,1934
2015-06-19,1979
2015-06-20,1982
2015-06-21,1958
2015-06-22,1883
2015-06-23,1796
2015-06-24,1749
2015-06-25,1776
2015-06-26,1698
2015-06-27,1665
2015-06-28,1670
2015-06-29,1743
2015-06-30,1735
2015-07-01,1720
2015-07-02,1793
2015-07-03,1845
2015-07-04,1834
2015-07-05,1793
2015-07-06,1741
2015-07-07,1740
2015-07-08,1708
2015-07-09,1693
