date_obj,Watson%20teleport price
2019-04-11,5500
2019-04-11,5225
2019-04-12,4963
2019-04-13,4714
2019-04-14,4478
2019-04-15,2500
2019-04-16,2500
2019-04-17,2463
2019-04-18,2339
2019-04-19,2339
2019-04-20,2242
2019-04-21,2242
2019-04-22,2129
2019-04-23,2129
2019-04-24,2022
2019-04-25,2022
2019-04-26,1920
2019-04-27,1920
2019-04-28,1920
2019-04-29,1845
2019-04-30,1845
2019-05-01,1756
2019-05-02,1756
2019-05-03,1668
2019-05-04,1668
2019-05-05,1584
2019-05-06,1584
2019-05-07,1504
2019-05-08,1504
2019-05-09,1504
2019-05-10,1428
2019-05-11,1428
2019-05-12,1356
2019-05-13,1356
2019-05-14,1293
2019-05-15,1293
2019-05-16,1293
2019-05-17,1239
2019-05-18,1239
2019-05-19,1256
2019-05-20,1256
2019-05-21,1256
2019-05-22,1195
2019-05-23,1195
2019-05-24,1182
2019-05-25,1182
2019-05-26,1232
2019-05-27,1232
2019-05-28,1170
2019-05-29,1170
2019-05-30,1111
2019-05-31,1111
2019-06-01,1111
2019-06-02,1086
2019-06-03,1086
2019-06-04,1034
2019-06-05,1034
2019-06-06,1063
2019-06-07,1063
2019-06-08,1107
2019-06-09,1107
2019-06-10,1107
2019-06-11,1163
2019-06-12,1163
2019-06-13,1221
2019-06-14,1221
2019-06-15,1221
2019-06-16,1283
2019-06-17,1283
2019-06-18,1283
2019-06-19,1348
2019-06-20,1348
2019-06-21,1415
2019-06-22,1415
2019-06-23,1475
2019-06-24,1475
2019-06-25,1475
2019-06-26,1436
2019-06-27,1436
2019-06-28,1436
2019-06-29,1435
2019-06-30,1435
2019-07-01,1435
2019-07-02,1438
2019-07-03,1438
2019-07-04,1509
2019-07-05,1509
2019-07-06,1499
2019-07-07,1499
2019-07-08,1574
2019-07-09,1574
2019-07-10,1637
2019-07-11,1637
2019-07-12,1652
2019-07-13,1652
2019-07-14,1722
2019-07-15,1722
2019-07-16,1722
2019-07-17,1721
2019-07-18,1721
2019-07-19,1678
2019-07-20,1678
2019-07-21,1617
2019-07-22,1617
2019-07-23,1541
2019-07-24,1541
2019-07-25,1541
2019-07-26,1482
2019-07-27,1482
2019-07-28,1459
2019-07-29,1459
2019-07-30,1455
2019-07-31,1455
2019-08-01,1449
2019-08-02,1449
2019-08-03,1515
2019-08-04,1515
2019-08-05,1587
