date_obj,Zamorak%20page%203 price
2015-03-26,831727
2015-03-27,831727
2015-03-28,818976
2015-03-29,818976
2015-03-30,828243
2015-03-31,828243
2015-04-01,853629
2015-04-02,853629
2015-04-03,860312
2015-04-04,860312
2015-04-05,844245
2015-04-06,844245
2015-04-07,824390
2015-04-08,824390
2015-04-09,831108
2015-04-10,831108
2015-04-11,844370
2015-04-12,844370
2015-04-13,823187
2015-04-14,823187
2015-04-15,794099
2015-04-16,794099
2015-04-17,781380
2015-04-18,781380
2015-04-19,764644
2015-04-20,764644
2015-04-21,766680
2015-04-22,766680
2015-04-23,777171
2015-04-24,777171
2015-04-25,804957
2015-04-26,804957
2015-04-27,838078
2015-04-28,838078
2015-04-29,864114
2015-04-30,864114
2015-05-01,866952
2015-05-02,866952
2015-05-03,834394
2015-05-04,799620
2015-05-05,799620
2015-05-06,770842
2015-05-07,770842
2015-05-08,733021
2015-05-09,733021
2015-05-10,698314
2015-05-11,698314
2015-05-12,679245
2015-05-13,679245
2015-05-14,682848
2015-05-15,682848
2015-05-16,705129
2015-05-17,739257
2015-05-18,739257
2015-05-19,775827
2015-05-20,775827
2015-05-21,775827
2015-05-22,793668
2015-05-23,793668
2015-05-24,793846
2015-05-25,786399
2015-05-26,786399
2015-05-27,783437
2015-05-28,775161
2015-05-29,772612
2015-05-30,769334
2015-05-31,769334
2015-06-01,773594
2015-06-02,773594
2015-06-03,786331
2015-06-04,786331
2015-06-05,805092
2015-06-06,836259
2015-06-07,849795
2015-06-08,849795
2015-06-09,878384
2015-06-10,904366
2015-06-11,904366
2015-06-12,937612
2015-06-13,956610
2015-06-14,956610
2015-06-15,949040
2015-06-16,947431
2015-06-17,947431
2015-06-18,970210
2015-06-19,970210
2015-06-20,1018721
2015-06-21,1018721
2015-06-22,1067254
2015-06-23,1067254
2015-06-24,1096177
2015-06-25,1096177
2015-06-26,1095119
2015-06-27,1095119
2015-06-28,1105579
2015-06-29,1105579
2015-06-30,1134300
2015-07-01,1163384
2015-07-02,1163384
2015-07-03,1174692
2015-07-04,1174692
2015-07-05,1150709
2015-07-06,1150709
2015-07-07,1126861
2015-07-08,1098898
2015-07-09,1098898
2015-07-10,1063627
2015-07-11,1063627
2015-07-12,1030368
2015-07-13,1030279
2015-07-14,1030279
2015-07-15,1045358
2015-07-16,1045358
2015-07-17,1051444
