date_obj,Onyx%20bolts price
2015-03-26,8683
2015-03-27,8683
2015-03-28,8683
2015-03-29,8683
2015-03-30,8730
2015-03-31,8730
2015-04-01,8730
2015-04-02,8730
2015-04-03,8730
2015-04-04,8707
2015-04-05,8707
2015-04-06,8707
2015-04-07,8707
2015-04-08,8707
2015-04-09,8707
2015-04-10,8772
2015-04-11,8772
2015-04-12,8772
2015-04-13,8772
2015-04-14,8772
2015-04-15,8727
2015-04-16,8727
2015-04-17,8727
2015-04-18,8727
2015-04-19,8727
2015-04-20,8727
2015-04-21,8727
2015-04-22,8727
2015-04-23,8727
2015-04-24,8727
2015-04-25,8727
2015-04-26,8727
2015-04-27,8764
2015-04-28,8764
2015-04-29,8764
2015-04-30,8764
2015-05-01,8764
2015-05-02,8764
2015-05-03,8712
2015-05-04,8712
2015-05-05,8712
2015-05-06,8712
2015-05-07,8712
2015-05-08,8712
2015-05-09,8710
2015-05-10,8710
2015-05-11,8710
2015-05-12,8710
2015-05-13,8710
2015-05-14,8710
2015-05-15,8766
2015-05-16,8766
2015-05-17,8766
2015-05-18,8766
2015-05-19,8766
2015-05-20,8766
2015-05-21,8766
2015-05-22,8648
2015-05-23,8648
2015-05-24,8648
2015-05-25,8648
2015-05-26,8648
2015-05-27,8648
2015-05-28,8568
2015-05-29,8568
2015-05-30,8568
2015-05-31,8568
2015-06-01,8712
2015-06-02,8712
2015-06-03,8712
2015-06-04,8712
2015-06-05,8712
2015-06-06,8690
2015-06-07,8690
2015-06-08,8690
2015-06-09,8690
2015-06-10,8745
2015-06-11,8745
2015-06-12,8745
2015-06-13,8745
2015-06-14,8726
2015-06-15,8726
2015-06-16,8726
2015-06-17,8726
2015-06-18,8773
2015-06-19,8773
2015-06-20,8773
2015-06-21,8773
2015-06-22,8788
2015-06-23,8788
2015-06-24,8788
2015-06-25,8788
2015-06-26,8788
2015-06-27,8750
2015-06-28,8750
2015-06-29,8750
2015-06-30,8750
2015-07-01,8750
2015-07-02,8719
2015-07-03,8719
2015-07-04,8719
2015-07-05,8719
2015-07-06,8738
2015-07-07,8738
2015-07-08,8738
2015-07-09,8738
2015-07-10,8776
2015-07-11,8776
2015-07-12,8776
2015-07-13,8776
2015-07-14,8776
2015-07-15,8734
2015-07-16,8734
2015-07-17,8734
2015-07-18,8734
2015-07-19,8739
2015-07-20,8739
2015-07-21,8739
2015-07-22,8739
2015-07-23,8763
2015-07-24,8763
2015-07-25,8763
2015-07-26,8763
2015-07-27,8686
2015-07-28,8686
2015-07-29,8686
2015-07-30,8686
2015-07-31,8712
2015-08-01,8712
2015-08-02,8712
2015-08-03,8712
2015-08-04,8730
2015-08-05,8730
2015-08-06,8730
2015-08-07,8730
2015-08-08,8735
2015-08-09,8735
2015-08-10,8735
2015-08-11,8735
2015-08-12,8735
2015-08-13,8752
2015-08-14,8752
2015-08-15,8752
2015-08-16,8752
2015-08-17,8727
2015-08-18,8727
2015-08-19,8727
2015-08-20,8727
2015-08-21,8752
2015-08-22,8752
2015-08-23,8752
2015-08-24,8752
2015-08-25,8752
2015-08-26,8903
2015-08-27,8903
2015-08-28,8903
2015-08-29,8903
2015-08-30,8812
2015-08-31,8812
2015-09-01,8812
2015-09-02,8812
2015-09-03,8965
2015-09-04,8965
2015-09-05,8965
2015-09-06,8965
2015-09-07,8965
2015-09-08,8844
2015-09-09,8844
2015-09-10,8844
2015-09-11,8844
2015-09-12,8809
2015-09-13,8809
2015-09-14,8809
2015-09-15,8809
2015-09-16,8904
2015-09-17,8904
2015-09-18,8904
2015-09-19,8904
2015-09-20,8904
2015-09-21,8896
2015-09-22,8896
2015-09-23,8896
2015-09-24,8896
2015-09-25,8796
2015-09-27,8796
2015-09-28,8796
2015-09-29,8796
