date_obj,Steel%20trimmed%20set%20(lg) price
2017-04-23,117316
2017-04-24,117316
2017-04-25,117316
2017-04-26,117316
2017-04-27,117316
2017-04-28,117316
2017-04-29,117316
2017-04-30,117316
2017-05-01,117316
2017-05-02,111604
2017-05-03,111604
2017-05-04,111604
2017-05-05,111604
2017-05-06,111604
2017-05-07,111604
2017-05-08,111604
2017-05-09,111604
2017-05-10,111604
2017-05-11,111604
2017-05-12,111604
2017-05-13,111604
2017-05-14,111604
2017-05-15,111604
2017-05-16,111604
2017-05-17,106478
2017-05-18,106478
2017-05-19,106478
2017-05-20,106478
2017-05-21,106478
2017-05-22,106478
2017-05-23,106478
2017-05-24,106478
2017-05-25,106478
2017-05-26,106478
2017-05-27,106478
2017-05-28,106478
2017-05-29,106478
2017-05-30,106478
2017-05-31,106478
2017-06-01,106478
2017-06-02,102031
2017-06-03,102031
2017-06-06,102031
2017-06-07,102031
2017-06-08,102031
2017-06-09,102031
2017-06-10,102031
2017-06-11,102031
2017-06-12,102031
2017-06-13,102031
2017-06-14,102031
2017-06-15,102031
2017-06-16,102031
2017-06-17,102031
2017-06-18,102031
2017-06-19,102031
2017-06-20,102031
2017-06-21,97422
2017-06-22,97422
2017-06-23,97422
2017-06-24,97422
2017-06-25,97422
2017-06-26,97422
2017-06-27,97422
2017-06-28,97422
2017-06-29,97422
2017-06-30,97422
2017-07-01,97422
2017-07-02,97422
2017-07-03,97422
2017-07-04,97422
2017-07-05,97422
2017-07-06,97422
2017-07-07,97422
2017-07-08,97422
2017-07-13,93200
2017-07-14,93200
2017-07-15,93200
2017-07-16,93200
2017-07-17,93200
2017-07-18,93200
2017-07-19,93200
2017-07-20,93200
2017-07-21,93200
2017-07-22,93200
2017-07-23,93200
2017-07-24,93200
2017-07-25,93200
2017-07-26,93200
2017-07-27,93200
2017-07-28,93200
2017-07-29,89160
2017-07-30,89160
2017-07-31,89160
2017-08-01,89160
2017-08-02,89160
2017-08-03,89160
2017-08-04,89160
2017-08-05,89160
2017-08-06,89160
2017-08-09,89160
2017-08-10,89160
2017-08-11,89160
2017-08-12,89160
2017-08-13,89160
2017-08-14,89160
2017-08-15,88577
2017-08-17,88577
2017-08-18,88577
2017-08-19,88577
2017-08-20,88577
2017-08-21,88577
2017-08-22,88577
2017-08-23,88577
2017-08-24,88577
2017-08-25,88577
2017-08-26,88577
2017-08-27,88577
2017-08-28,88577
2017-08-29,88577
2017-08-30,88577
2017-08-31,88577
2017-09-01,84893
2017-09-02,84893
2017-09-03,84893
2017-09-04,84893
2017-09-05,84893
2017-09-06,84893
2017-09-07,84893
2017-09-08,84893
2017-09-09,84893
2017-09-10,84893
2017-09-11,84893
2017-09-12,84893
2017-09-13,84893
2017-09-14,81791
2017-09-15,81791
2017-09-16,81791
2017-09-17,81791
2017-09-19,81791
2017-09-20,81791
2017-09-21,81791
2017-09-22,81791
2017-09-23,81791
2017-09-24,81791
2017-09-25,81791
2017-09-26,81791
2017-09-27,81791
2017-09-28,81791
2017-09-29,81791
2017-09-30,81791
2017-10-01,81791
2017-10-02,79697
2017-10-03,79697
2017-10-04,79697
2017-10-05,79697
2017-10-06,79697
2017-10-07,79697
2017-10-08,79697
2017-10-09,79697
2017-10-10,79697
2017-10-11,79697
2017-10-12,79697
2017-10-13,79697
2017-10-14,79697
2017-10-15,79697
2017-10-16,79697
2017-10-17,79697
2017-10-18,79697
2017-10-19,81022
2017-10-20,81022
2017-10-21,81022
2017-10-22,81022
2017-10-23,81022
2017-10-24,81022
2017-10-25,81022
2017-10-26,81022
2017-10-27,81022
2017-10-28,81022
2017-10-29,81022
2017-10-30,81022
2017-10-31,81022
2017-11-01,81022
2017-11-02,81022
2017-11-03,81022
2017-11-04,81022
2017-11-05,81022
2017-11-06,81022
2017-11-07,81022
2017-11-08,78884
2017-11-09,78884
2017-11-10,78884
2017-11-11,78884
2017-11-12,78884
2017-11-13,78884
2017-11-14,78884
2017-11-15,78884
2017-11-16,78884
2017-11-17,78884
2017-11-18,78884
2017-11-19,78884
2017-11-20,78884
2017-11-21,78884
2017-11-22,78884
2017-11-23,78884
2017-11-24,78884
2017-11-25,75310
2017-11-26,75310
2017-11-27,75310
2017-11-28,75310
2017-11-29,75310
2017-11-30,75310
2017-12-01,75310
2017-12-02,75310
2017-12-03,75310
2017-12-04,75310
2017-12-05,75310
2017-12-06,75310
2017-12-07,75310
2017-12-08,75310
2017-12-09,75310
2017-12-10,75310
2017-12-11,74240
2017-12-12,74240
2017-12-13,74240
2017-12-14,74240
2017-12-15,74240
2017-12-16,74240
2017-12-17,74240
2017-12-18,74240
2017-12-19,74240
2017-12-20,74240
2017-12-21,74240
2017-12-22,74240
2017-12-23,74240
2017-12-24,74240
2017-12-25,74240
2017-12-26,74240
2017-12-27,74240
2017-12-28,72077
2017-12-29,72077
2017-12-30,72077
2017-12-31,72077
2018-01-01,72077
2018-01-02,72077
2018-01-03,72077
2018-01-04,72077
2018-01-05,72077
2018-01-06,72077
2018-01-07,72077
2018-01-08,72077
2018-01-09,72077
2018-01-10,72077
2018-01-11,72077
2018-01-12,72077
2018-01-13,70325
2018-01-14,70325
2018-01-15,70325
2018-01-16,70325
2018-01-17,70325
2018-01-18,70325
2018-01-19,70325
2018-01-20,70325
2018-01-21,70325
2018-01-22,70325
2018-01-23,70325
2018-01-24,68607
2018-01-25,68607
2018-01-26,68607
2018-01-27,68607
2018-01-28,68607
2018-01-29,68607
2018-01-30,68607
2018-02-01,67566
2018-02-02,67566
2018-02-03,67566
2018-02-04,67566
2018-02-05,67566
2018-02-06,67566
2018-02-07,67566
2018-02-08,67566
2018-02-09,65912
2018-02-10,65912
2018-02-11,65912
2018-02-12,65912
2018-02-13,65912
2018-02-14,65912
2018-02-15,65912
2018-02-16,65912
2018-02-17,66654
2018-02-18,66654
2018-02-19,66654
2018-02-20,66654
2018-02-21,66654
2018-02-22,66654
2018-02-23,66654
2018-02-24,66654
2018-02-25,66654
2018-02-26,66893
2018-02-27,66893
2018-02-28,66893
2018-03-01,66893
2018-03-02,66893
2018-03-03,66893
2018-03-04,66893
2018-03-05,66217
2018-03-06,66217
2018-03-07,66217
2018-03-08,66217
2018-03-09,66217
2018-03-10,66217
2018-03-11,66217
2018-03-12,67685
2018-03-13,67685
2018-03-14,67685
2018-03-15,67685
2018-03-16,67685
2018-03-17,67685
2018-03-18,67685
2018-03-19,67685
2018-03-20,66713
2018-03-21,66713
2018-03-23,66713
2018-03-24,66713
2018-03-26,66713
2018-03-27,66713
2018-03-28,65863
2018-03-29,65863
2018-03-30,65863
2018-03-31,65863
2018-04-01,65863
2018-04-02,65863
2018-04-03,65863
2018-04-04,65863
2018-04-05,65863
2018-04-06,65579
2018-04-08,65579
2018-04-09,65579
2018-04-10,65579
2018-04-11,65579
2018-04-12,65579
2018-04-13,65579
2018-04-14,65579
2018-04-16,66200
2018-04-17,66200
2018-04-18,66200
2018-04-19,66200
2018-04-20,66200
2018-04-21,66200
2018-04-22,66200
2018-04-23,65519
2018-04-24,65519
2018-04-25,65519
2018-04-26,65519
2018-04-27,65519
2018-04-28,65519
2018-04-29,65519
2018-04-30,65519
2018-05-01,65519
2018-05-02,64270
2018-05-03,64270
2018-05-04,64270
2018-05-05,64270
2018-05-06,64270
2018-05-07,64270
2018-05-08,64270
2018-05-09,64270
2018-05-10,63224
2018-05-11,63224
2018-05-12,63224
2018-05-13,63224
2018-05-14,63224
2018-05-15,63224
2018-05-16,63224
2018-05-17,63224
2018-05-18,61888
2018-05-19,61888
2018-05-20,61888
2018-05-21,61888
2018-05-22,61888
2018-05-23,61888
2018-05-24,60848
2018-05-25,60848
2018-05-26,60848
2018-05-27,60848
2018-05-28,60848
2018-05-29,60848
2018-05-30,60848
2018-05-31,60848
2018-06-01,59767
2018-06-02,59767
2018-06-03,59767
2018-06-04,59767
2018-06-05,59767
2018-06-06,59767
2018-06-07,59767
2018-06-08,58784
2018-06-09,58784
2018-06-10,58784
2018-06-11,58784
2018-06-12,58784
2018-06-13,58784
2018-06-14,58784
2018-06-15,58784
2018-06-16,57265
2018-06-17,57265
2018-06-18,57265
2018-06-19,57265
2018-06-20,57265
2018-06-21,57265
2018-06-22,57265
2018-06-23,57265
2018-06-24,56151
2018-06-25,56151
2018-06-26,56151
2018-06-27,56151
2018-06-28,56151
2018-06-29,56151
2018-06-30,56151
2018-07-01,56151
2018-07-02,56151
2018-07-03,56445
2018-07-04,56445
2018-07-05,56445
2018-07-06,56445
2018-07-07,56445
2018-07-08,56445
2018-07-09,56445
2018-07-10,56445
2018-07-11,55194
2018-07-12,55194
2018-07-13,55194
2018-07-14,55194
2018-07-15,55194
2018-07-16,55194
2018-07-17,55522
2018-07-18,55522
2018-07-19,55522
2018-07-20,55522
2018-07-21,55522
2018-07-22,55522
2018-07-23,55522
2018-07-24,56697
2018-07-25,56697
2018-07-26,56697
2018-07-27,56697
2018-07-28,56697
2018-07-29,56697
2018-07-30,56697
2018-07-31,58530
2018-08-01,58530
2018-08-02,58530
2018-08-03,58530
2018-08-04,58530
2018-08-05,58530
2018-08-06,60076
2018-08-07,60076
2018-08-08,60076
2018-08-09,60076
2018-08-10,60076
2018-08-11,60076
2018-08-12,62490
2018-08-14,62490
2018-08-16,62490
2018-08-17,62490
2018-08-18,64139
2018-08-19,64139
2018-08-20,64139
2018-08-21,64139
2018-08-22,64139
2018-08-23,64067
2018-08-24,64067
2018-08-25,64067
2018-08-26,64067
2018-08-27,64067
2018-08-28,64701
2018-08-29,64701
2018-08-30,64701
2018-08-31,64701
2018-09-01,64701
2018-09-02,65191
2018-09-03,65191
2018-09-04,65191
2018-09-05,65191
2018-09-06,65191
2018-09-07,67068
2018-09-08,67068
2018-09-09,67068
2018-09-10,67068
2018-09-11,67068
2018-09-12,68514
2018-09-13,68514
2018-09-14,68514
2018-09-15,68514
2018-09-16,65393
2018-09-17,65393
2018-09-18,65393
2018-09-19,65393
2018-09-20,63870
2018-09-21,63870
2018-09-22,63870
2018-09-23,63870
2018-09-24,64793
2018-09-25,64793
2018-09-26,64793
2018-09-27,64793
2018-09-28,64793
2018-09-29,64793
2018-09-30,66107
2018-10-02,66107
2018-10-03,66107
2018-10-04,66107
2018-10-05,66107
2018-10-06,65693
2018-10-07,65693
2018-10-08,65693
2018-10-09,65693
2018-10-10,65693
2018-10-11,67829
2018-10-12,67829
2018-10-13,67829
2018-10-14,67829
2018-10-15,67829
2018-10-16,67829
2018-10-17,68839
2018-10-18,68839
2018-10-19,68839
2018-10-20,68839
2018-10-21,68839
2018-10-22,68839
2018-10-23,68839
2018-10-24,67819
2018-10-25,67819
2018-10-26,67819
2018-10-27,67819
2018-10-28,68017
2018-10-29,68017
2018-10-30,68017
2018-10-31,69591
2018-11-01,72014
2018-11-03,74999
2018-11-04,77230
2018-11-05,80441
2018-11-06,83345
2018-11-07,83345
2018-11-08,86906
2018-11-09,86906
2018-11-10,90403
2018-11-11,90403
2018-11-12,93420
2018-11-13,96910
2018-11-14,96910
2018-11-15,100966
2018-11-16,104920
2018-11-17,104920
2018-11-18,108592
2018-11-19,108592
2018-11-20,111072
2018-11-21,111072
2018-11-22,113183
2018-11-23,113183
2018-11-24,109962
2018-11-25,105790
2018-11-26,105790
2018-11-27,102460
2018-11-28,102460
2018-11-29,98978
2018-12-01,95121
2018-12-02,95121
2018-12-03,91331
2018-12-04,91331
2018-12-05,89073
2018-12-07,88460
2018-12-09,89190
2018-12-10,89190
2018-12-11,88108
2018-12-12,88108
2018-12-13,88108
2018-12-14,85300
2018-12-15,85300
2018-12-16,85300
2018-12-17,82171
2018-12-18,82171
2018-12-19,82171
2018-12-20,79611
2018-12-21,79611
2018-12-22,79611
2018-12-23,76597
2018-12-24,76597
2018-12-25,73133
2018-12-26,73133
2018-12-27,69987
2018-12-28,69987
2018-12-29,66952
2018-12-30,66952
2018-12-31,66952
2019-01-01,65690
2019-01-02,65690
2019-01-03,64077
2019-01-04,64077
2019-01-05,64077
2019-01-06,62730
2019-01-08,62730
2019-01-10,61321
2019-01-11,61321
2019-01-12,60034
2019-01-13,60034
2019-01-14,58569
2019-01-15,58569
2019-01-16,58569
2019-01-17,57492
2019-01-18,57492
2019-01-19,57492
2019-01-20,56287
2019-01-21,56287
2019-01-22,56287
2019-01-23,54728
2019-01-24,54728
2019-01-25,54728
2019-01-26,53091
2019-01-27,53091
2019-01-28,53091
2019-01-29,51924
2019-01-30,51924
2019-01-31,51924
2019-02-01,51263
2019-02-02,51263
2019-02-03,51263
2019-02-04,51395
2019-02-05,51395
2019-02-06,51395
2019-02-07,51607
2019-02-08,51607
2019-02-09,51607
2019-02-10,52230
2019-02-11,52230
2019-02-12,52230
2019-02-13,52163
2019-02-14,52163
2019-02-15,52163
2019-02-16,52163
2019-02-17,52537
2019-02-18,52537
2019-02-19,52537
