date_obj,Gnome%20scarf price
2015-03-26,537716
2015-03-27,537716
2015-03-28,537716
2015-03-29,528129
2015-03-30,528129
2015-03-31,528129
2015-04-01,528129
2015-04-02,534897
2015-04-03,534897
2015-04-04,534897
2015-04-05,534897
2015-04-06,554307
2015-04-07,554307
2015-04-08,554307
2015-04-09,554307
2015-04-10,550140
2015-04-11,550140
2015-04-12,550140
2015-04-13,550140
2015-04-14,553745
2015-04-15,553745
2015-04-16,553745
2015-04-17,553745
2015-04-18,571533
2015-04-19,571533
2015-04-20,571533
2015-04-21,571533
2015-04-22,571533
2015-04-23,583709
2015-04-24,583709
2015-04-25,583709
2015-04-26,583709
2015-04-27,583709
2015-04-28,586449
2015-04-29,586449
2015-04-30,586449
2015-05-01,586449
2015-05-02,586449
2015-05-03,597363
2015-05-04,597363
2015-05-05,597363
2015-05-06,597363
2015-05-07,605824
2015-05-08,605824
2015-05-09,605824
2015-05-10,605824
2015-05-11,605824
2015-05-12,631586
2015-05-13,631586
2015-05-14,631586
2015-05-15,631586
2015-05-16,631586
2015-05-17,643400
2015-05-18,643400
2015-05-19,643400
2015-05-20,643400
2015-05-21,643400
2015-05-22,612074
2015-05-23,612074
2015-05-24,612074
2015-05-25,612074
2015-05-26,582498
2015-05-27,582498
2015-05-28,582498
2015-05-29,554874
2015-05-30,554874
2015-05-31,546546
2015-06-01,546546
2015-06-02,541562
2015-06-03,541562
2015-06-04,541562
2015-06-05,552042
2015-06-06,552042
2015-06-07,552042
2015-06-08,568865
2015-06-09,568865
2015-06-10,595140
2015-06-11,595140
2015-06-12,595140
2015-06-13,600799
2015-06-14,600799
2015-06-15,600799
2015-06-16,599950
2015-06-17,599950
2015-06-18,583555
2015-06-19,583555
2015-06-20,583555
2015-06-21,570062
2015-06-22,570062
2015-06-23,570062
2015-06-24,550769
2015-06-25,550769
2015-06-26,550769
2015-06-27,548803
2015-06-28,548803
2015-06-29,552464
2015-06-30,552464
2015-07-01,558028
2015-07-02,558028
2015-07-03,558028
2015-07-04,575643
2015-07-05,575643
2015-07-06,575643
2015-07-07,577806
2015-07-08,577806
