date_obj,Obsidian%20platebody price
2017-06-01,262500
2017-06-02,275625
2017-06-03,289407
2017-06-06,335026
2017-06-07,351778
2017-06-08,368788
2017-06-09,387228
2017-06-10,406590
2017-06-11,426920
2017-06-12,448266
2017-06-13,470680
2017-06-14,494214
2017-06-15,517666
2017-06-16,543550
2017-06-17,569316
2017-06-18,597782
2017-06-19,597782
2017-06-20,627672
2017-06-21,658050
2017-06-22,658050
2017-06-23,690953
2017-06-24,725501
2017-06-25,760485
2017-06-26,798510
2017-06-27,838436
2017-06-28,838436
2017-06-29,880358
2017-06-30,922531
2017-07-01,922531
2017-07-02,968658
2017-07-03,1017091
2017-07-04,1067946
2017-07-05,1067946
2017-07-06,1121344
2017-07-07,1121344
2017-07-08,1176262
2017-07-13,1246977
2017-07-14,1255398
2017-07-15,1255398
2017-07-16,1283295
2017-07-17,1319881
2017-07-18,1319881
2017-07-19,1362028
2017-07-20,1417262
2017-07-21,1417262
2017-07-22,1376524
2017-07-23,1309591
2017-07-24,1309591
2017-07-25,1260055
2017-07-26,1260055
2017-07-27,1262358
2017-07-28,1262358
2017-07-29,1242169
2017-07-30,1219576
2017-07-31,1219576
2017-08-01,1214282
2017-08-02,1207224
2017-08-03,1207224
2017-08-04,1217599
2017-08-05,1194824
2017-08-06,1194824
2017-08-09,1148170
2017-08-10,1110679
2017-08-11,1110679
2017-08-12,1117641
2017-08-13,1117641
2017-08-14,1169963
2017-08-15,1169963
2017-08-17,1277122
2017-08-18,1277122
2017-08-19,1243536
2017-08-20,1222119
2017-08-22,1266679
2017-08-23,1266679
2017-08-24,1240349
2017-08-25,1240349
2017-08-26,1223709
2017-08-27,1223709
2017-08-28,1199584
2017-08-29,1199584
2017-08-30,1183315
2017-08-31,1183315
2017-09-01,1164474
2017-09-02,1126454
2017-09-03,1126454
2017-09-04,1105788
2017-09-05,1105788
2017-09-06,1082812
2017-09-07,1122103
2017-09-08,1122103
2017-09-09,1176021
2017-09-10,1176021
2017-09-11,1187348
2017-09-12,1187348
2017-09-13,1168643
