date_obj,Mithril%20spear price
2015-03-26,2156
2015-03-27,2156
2015-03-28,2055
2015-03-29,1958
2015-03-30,1867
2015-03-31,1780
2015-04-01,1780
2015-04-02,1695
2015-04-03,1614
2015-04-04,1535
2015-04-05,1463
2015-04-06,1392
2015-04-07,1324
2015-04-08,1324
2015-04-09,1262
2015-04-10,1202
2015-04-11,1145
2015-04-12,1091
2015-04-13,1042
2015-04-14,1042
2015-04-15,989
2015-04-16,989
2015-04-17,939
2015-04-18,897
2015-04-19,862
2015-04-20,862
2015-04-21,822
2015-04-22,822
2015-04-23,780
2015-04-24,780
2015-04-25,742
2015-04-26,742
2015-04-27,704
2015-04-28,671
2015-04-29,671
2015-04-30,642
2015-05-01,611
2015-05-02,582
2015-05-03,582
2015-05-04,555
2015-05-05,555
2015-05-06,532
2015-05-07,532
2015-05-08,507
2015-05-09,507
2015-05-10,482
2015-05-11,482
2015-05-12,459
2015-05-13,459
2015-05-14,438
2015-05-15,438
2015-05-16,418
2015-05-17,399
2015-05-18,399
2015-05-19,383
2015-05-20,383
2015-05-21,383
2015-05-22,363
2015-05-23,363
2015-05-24,360
2015-05-25,353
2015-05-26,353
2015-05-27,338
2015-05-28,325
2015-05-29,334
2015-05-30,330
2015-05-31,330
2015-06-01,334
2015-06-02,334
2015-06-03,321
2015-06-04,321
2015-06-05,314
2015-06-06,311
2015-06-07,311
2015-06-08,312
2015-06-09,326
2015-06-10,329
2015-06-11,329
2015-06-12,335
2015-06-13,338
2015-06-14,338
2015-06-15,328
2015-06-16,328
2015-06-17,328
2015-06-18,315
2015-06-19,315
2015-06-20,309
2015-06-21,309
2015-06-22,316
2015-06-23,316
2015-06-24,318
2015-06-25,318
2015-06-26,311
2015-06-27,311
2015-06-28,303
2015-06-29,303
2015-06-30,294
2015-07-01,309
2015-07-02,309
2015-07-03,315
2015-07-04,330
2015-07-05,330
2015-07-06,345
2015-07-07,349
2015-07-08,346
2015-07-09,346
2015-07-10,334
2015-07-11,334
2015-07-12,336
2015-07-13,349
2015-07-14,346
2015-07-15,346
2015-07-16,349
2015-07-17,346
2015-07-18,346
2015-07-19,344
2015-07-20,347
2015-07-21,347
2015-07-22,353
2015-07-23,353
2015-07-24,349
2015-07-25,349
2015-07-26,347
2015-07-27,347
2015-07-28,352
2015-07-29,347
2015-07-30,347
2015-07-31,358
2015-08-01,359
2015-08-02,355
2015-08-03,355
2015-08-04,357
2015-08-05,347
2015-08-06,347
2015-08-07,350
2015-08-08,350
2015-08-09,351
2015-08-10,352
2015-08-11,351
2015-08-12,351
2015-08-13,350
2015-08-14,351
2015-08-15,351
2015-08-16,351
2015-08-17,353
2015-08-18,353
2015-08-19,353
2015-08-20,353
2015-08-21,354
2015-08-22,354
2015-08-23,351
2015-08-24,351
2015-08-25,351
2015-08-26,350
2015-08-27,351
2015-08-28,351
2015-08-29,350
2015-08-30,350
2015-08-31,348
2015-09-01,348
2015-09-02,346
2015-09-03,348
2015-09-04,337
2015-09-05,337
2015-09-06,325
2015-09-07,312
2015-09-08,303
2015-09-09,303
2015-09-10,301
2015-09-11,301
2015-09-12,309
2015-09-13,304
2015-09-14,304
2015-09-15,306
2015-09-16,306
2015-09-17,311
2015-09-18,311
2015-09-19,308
2015-09-20,308
2015-09-21,307
2015-09-22,307
2015-09-23,309
2015-09-24,309
2015-09-25,310
2015-09-27,308
2015-09-28,308
2015-09-29,296
2015-09-30,308
2015-10-05,347
2015-10-06,343
2015-10-07,343
2015-10-08,345
2015-10-09,360
2015-10-10,360
2015-10-11,375
2015-10-12,375
2015-10-13,392
2015-10-14,392
2015-10-15,398
2015-10-16,400
2015-10-17,400
2015-10-18,401
2015-10-19,392
2015-10-20,392
2015-10-22,396
2015-10-23,401
2015-10-24,401
2015-10-25,399
2015-10-26,399
2015-10-27,393
2015-10-29,398
2015-10-30,398
2015-10-31,396
2015-11-01,396
2015-11-02,380
2015-11-03,380
2015-11-04,390
2015-11-05,390
2015-11-06,380
2015-11-07,377
2015-11-08,377
2015-11-09,376
2015-11-10,376
2015-11-11,358
2015-11-12,358
2015-11-13,356
2015-11-14,356
2015-11-15,368
2015-11-16,368
2015-11-17,378
2015-11-18,378
2015-11-19,383
2015-11-20,383
2015-11-21,377
2015-11-22,382
2015-11-23,382
2015-11-24,392
2015-11-25,403
2015-11-26,403
2015-11-27,395
2015-11-28,395
2015-11-29,397
2015-11-30,402
2015-12-01,402
2015-12-02,403
2015-12-03,402
2015-12-04,402
2015-12-05,404
2015-12-06,404
2015-12-07,404
2015-12-08,404
2015-12-09,404
2015-12-10,404
2015-12-11,405
2015-12-12,405
2015-12-13,413
2015-12-14,413
2015-12-15,406
2015-12-16,406
2015-12-17,405
2015-12-18,398
2015-12-19,398
2015-12-20,387
2015-12-21,387
2015-12-22,399
2015-12-23,388
2015-12-24,388
2015-12-25,403
2015-12-26,406
2015-12-27,406
2015-12-28,414
2015-12-29,408
