date_obj,Mahogany%20telescope%20(flatpack) price
2016-01-27,670
2016-01-28,670
2016-01-29,670
2016-01-30,670
2016-01-31,670
2016-02-01,670
2016-02-02,701
2016-02-03,701
2016-02-04,701
2016-02-05,701
2016-02-06,701
2016-02-07,701
2016-02-08,701
2016-02-09,701
2016-02-10,701
2016-02-11,701
2016-02-12,701
2016-02-13,701
2016-02-14,701
2016-02-15,701
2016-02-16,701
2016-02-17,701
2016-02-18,701
2016-02-19,701
2016-02-20,701
2016-02-21,701
2016-02-22,701
2016-02-23,701
2016-02-24,701
2016-02-25,701
2016-02-26,701
2016-02-27,701
2016-02-28,701
2016-02-29,701
2016-03-01,701
2016-03-02,701
2016-03-03,701
2016-03-04,701
2016-03-05,701
2016-03-06,701
2016-03-07,701
2016-03-08,701
2016-03-09,701
2016-03-10,701
2016-03-11,701
2016-03-12,701
2016-03-13,701
2016-03-14,701
2016-03-15,701
2016-03-16,701
2016-03-17,701
2016-03-18,701
2016-03-19,701
2016-03-20,701
2016-03-21,701
2016-03-22,701
2016-03-23,701
2016-03-24,701
2016-03-25,701
2016-03-26,701
2016-03-27,701
2016-03-28,701
2016-03-29,701
2016-03-30,701
2016-03-31,701
2016-04-01,701
2016-04-02,701
2016-04-03,701
2016-04-04,701
2016-04-05,701
2016-04-06,701
2016-04-07,701
2016-04-08,701
2016-04-09,701
2016-04-10,701
2016-04-11,701
2016-04-12,701
2016-04-13,701
