date_obj,Green%20elegant%20skirt price
2015-03-26,27683
2015-03-27,27683
2015-03-28,27683
2015-03-29,26365
2015-03-30,26365
2015-03-31,26365
2015-04-01,25173
2015-04-02,25173
2015-04-03,25173
2015-04-04,23993
2015-04-05,23993
2015-04-06,23993
2015-04-07,22812
2015-04-08,22812
2015-04-09,22812
2015-04-10,21751
2015-04-11,21751
2015-04-12,20719
2015-04-13,20719
2015-04-14,20719
2015-04-15,19723
2015-04-16,19723
2015-04-17,18770
2015-04-18,18770
2015-04-19,17908
2015-04-20,17908
2015-04-21,17908
2015-04-22,17086
2015-04-23,17086
2015-04-24,17086
2015-04-25,16323
2015-04-26,16323
2015-04-27,16323
2015-04-28,15596
2015-04-29,15596
2015-04-30,15596
2015-05-01,15596
2015-05-02,14889
2015-05-03,14889
2015-05-04,14889
2015-05-05,14889
2015-05-06,14213
2015-05-07,14213
2015-05-08,14213
2015-05-09,14213
2015-05-10,14213
2015-05-11,13549
2015-05-12,13549
2015-05-13,13549
2015-05-14,13549
2015-05-15,12891
2015-05-16,12891
2015-05-17,12891
2015-05-18,12891
2015-05-19,12298
2015-05-20,12298
2015-05-21,12298
2015-05-22,12298
2015-05-23,12298
2015-05-24,12298
2015-05-25,11711
2015-05-26,11711
2015-05-27,11711
2015-05-28,11711
2015-05-29,11711
2015-05-30,11168
2015-05-31,11168
2015-06-01,11168
2015-06-02,11168
2015-06-03,11168
2015-06-04,10646
2015-06-05,10646
2015-06-06,10646
2015-06-07,10646
2015-06-08,10646
2015-06-09,10646
2015-06-10,10135
2015-06-11,10135
2015-06-12,10135
2015-06-13,10135
2015-06-14,10135
2015-06-15,10135
2015-06-16,9715
2015-06-17,9715
2015-06-18,9715
2015-06-19,9715
2015-06-20,9715
2015-06-21,9715
2015-06-22,9282
2015-06-23,9282
2015-06-24,9282
2015-06-25,9282
2015-06-26,9282
2015-06-27,9282
2015-06-28,8903
2015-06-29,8903
2015-06-30,8903
2015-07-01,8903
2015-07-02,8903
2015-07-03,8903
2015-07-04,8716
2015-07-05,8716
2015-07-06,8716
2015-07-07,8716
2015-07-08,8716
2015-07-09,8716
2015-07-10,8520
2015-07-11,8520
2015-07-12,8520
2015-07-13,8520
2015-07-14,8520
2015-07-15,8520
2015-07-16,8136
2015-07-17,8136
2015-07-18,8136
2015-07-19,8136
2015-07-20,8136
2015-07-21,8136
2015-07-22,7756
2015-07-23,7756
2015-07-24,7756
2015-07-25,7756
2015-07-26,7756
2015-07-27,7756
2015-07-28,7400
2015-07-29,7400
2015-07-30,7400
2015-07-31,7400
2015-08-01,7400
2015-08-02,7064
2015-08-03,7064
2015-08-04,7064
2015-08-05,7064
2015-08-06,7064
2015-08-07,7064
2015-08-08,6730
2015-08-09,6730
2015-08-10,6730
2015-08-11,6730
2015-08-12,6730
2015-08-13,6730
2015-08-14,6428
2015-08-15,6428
2015-08-16,6428
2015-08-17,6428
2015-08-18,6428
2015-08-19,6428
2015-08-20,6281
2015-08-21,6281
2015-08-22,6281
2015-08-23,6281
2015-08-24,6281
2015-08-25,6281
2015-08-26,6281
2015-08-27,6012
2015-08-28,6012
2015-08-29,6012
2015-08-30,6012
2015-08-31,6012
2015-09-01,6012
2015-09-02,6012
2015-09-03,5716
2015-09-04,5716
2015-09-05,5716
2015-09-06,5716
2015-09-07,5716
2015-09-08,5716
2015-09-09,5716
2015-09-10,5524
2015-09-11,5524
2015-09-12,5524
2015-09-13,5524
2015-09-14,5524
2015-09-15,5524
2015-09-16,5524
2015-09-17,5337
2015-09-18,5337
2015-09-19,5337
2015-09-20,5337
2015-09-21,5337
2015-09-22,5337
2015-09-23,5337
2015-09-24,5337
2015-09-25,5150
2015-09-27,5150
2015-09-28,5150
2015-09-29,5150
2015-09-30,5150
2015-10-05,5100
2015-10-06,5100
2015-10-07,5100
2015-10-08,4887
2015-10-09,4887
2015-10-10,4887
2015-10-11,4887
2015-10-12,4887
2015-10-13,4887
2015-10-14,4887
2015-10-15,4660
2015-10-16,4660
2015-10-17,4660
2015-10-18,4660
2015-10-19,4660
2015-10-20,4660
2015-10-22,4660
2015-10-23,4456
2015-10-24,4456
2015-10-25,4456
2015-10-26,4456
2015-10-27,4456
2015-10-29,4281
2015-10-30,4281
2015-10-31,4281
2015-11-01,4281
2015-11-02,4281
2015-11-03,4281
2015-11-04,4281
2015-11-05,4281
2015-11-06,4080
2015-11-07,4080
2015-11-08,4080
2015-11-09,4080
2015-11-10,4080
2015-11-11,4080
2015-11-12,4080
2015-11-13,4080
2015-11-14,3966
2015-11-15,3966
2015-11-16,3966
2015-11-17,3966
2015-11-18,3966
2015-11-19,3966
2015-11-20,3966
2015-11-21,3966
2015-11-22,3933
2015-11-23,3933
2015-11-24,3933
2015-11-25,3933
2015-11-26,3933
2015-11-27,3933
2015-11-28,3933
2015-11-29,3775
2015-11-30,3775
2015-12-01,3775
2015-12-02,3775
2015-12-03,3775
2015-12-04,3775
2015-12-05,3775
2015-12-06,3606
2015-12-07,3606
2015-12-08,3606
2015-12-09,3606
2015-12-10,3606
2015-12-11,3606
2015-12-12,3438
2015-12-13,3438
2015-12-14,3438
2015-12-15,3438
2015-12-16,3438
2015-12-17,3438
2015-12-18,3282
2015-12-19,3282
2015-12-20,3282
2015-12-21,3282
2015-12-22,3282
2015-12-23,3140
2015-12-24,3140
2015-12-25,3140
2015-12-26,3140
2015-12-27,3140
2015-12-28,3140
2015-12-29,3041
2015-12-30,3041
2015-12-31,3041
2016-01-01,3041
2016-01-02,3041
2016-01-03,3032
2016-01-04,3032
2016-01-05,3032
2016-01-06,3032
2016-01-07,3032
2016-01-08,3032
2016-01-09,2939
2016-01-10,2939
2016-01-11,2939
2016-01-12,2939
2016-01-13,2939
2016-01-14,2894
2016-01-15,2894
2016-01-16,2894
2016-01-17,2894
2016-01-18,2894
2016-01-19,2894
2016-01-20,2894
2016-01-21,2876
2016-01-22,2876
2016-01-23,2876
2016-01-24,2876
2016-01-25,2876
2016-01-26,2876
2016-01-27,2876
2016-01-28,2876
2016-01-29,2772
2016-01-30,2772
2016-01-31,2772
2016-02-01,2772
2016-02-02,2772
2016-02-03,2772
2016-02-04,2772
2016-02-05,2772
2016-02-06,2879
2016-02-07,2879
2016-02-08,2879
2016-02-09,2879
2016-02-10,2879
2016-02-11,2879
2016-02-12,2879
2016-02-13,2879
2016-02-14,3009
2016-02-15,3009
2016-02-16,3009
2016-02-17,3009
2016-02-18,3009
2016-02-19,3009
2016-02-20,3009
