date_obj,Raw%20lobster price
2015-03-26,259
2015-03-27,262
2015-03-28,266
2015-03-29,267
2015-03-30,254
2015-03-31,248
2015-04-01,254
2015-04-02,259
2015-04-03,263
2015-04-04,252
2015-04-05,240
2015-04-06,229
2015-04-07,222
2015-04-08,223
2015-04-09,222
2015-04-10,225
2015-04-11,218
2015-04-12,215
2015-04-13,211
2015-04-14,215
2015-04-15,222
2015-04-16,227
2015-04-17,223
2015-04-18,221
2015-04-19,217
2015-04-20,213
2015-04-21,211
2015-04-22,218
2015-04-23,220
2015-04-24,221
2015-04-25,218
2015-04-26,212
2015-04-27,204
2015-04-28,199
2015-04-29,198
2015-04-30,195
2015-05-01,195
2015-05-02,193
2015-05-03,195
2015-05-04,193
2015-05-05,194
2015-05-06,191
2015-05-07,188
2015-05-08,184
2015-05-09,176
2015-05-10,170
2015-05-11,171
2015-05-12,172
2015-05-13,175
2015-05-14,172
2015-05-15,170
2015-05-16,169
2015-05-17,167
2015-05-18,170
2015-05-19,175
2015-05-20,175
2015-05-21,182
2015-05-22,190
2015-05-23,185
2015-05-24,175
2015-05-25,172
2015-05-26,173
2015-05-27,171
2015-05-28,174
2015-05-29,176
2015-05-30,172
2015-05-31,169
2015-06-01,170
2015-06-02,173
2015-06-03,168
2015-06-04,166
2015-06-05,172
2015-06-06,177
2015-06-07,174
2015-06-08,172
2015-06-09,174
2015-06-10,173
2015-06-11,171
2015-06-12,167
2015-06-13,163
2015-06-14,161
2015-06-15,157
2015-06-16,156
2015-06-17,158
2015-06-18,162
2015-06-19,164
2015-06-20,166
2015-06-21,159
2015-06-22,161
2015-06-23,167
2015-06-24,175
2015-06-25,182
2015-06-26,177
2015-06-27,181
2015-06-28,179
2015-06-29,186
2015-06-30,196
2015-07-01,201
2015-07-02,212
2015-07-03,216
2015-07-04,209
2015-07-05,202
2015-07-06,208
2015-07-07,210
2015-07-08,208
2015-07-09,209
2015-07-10,205
2015-07-11,197
2015-07-12,193
2015-07-13,186
2015-07-14,176
2015-07-15,168
2015-07-16,160
2015-07-17,160
2015-07-18,167
2015-07-19,166
2015-07-20,169
2015-07-21,178
2015-07-22,172
2015-07-23,173
2015-07-24,176
2015-07-25,174
2015-07-26,176
2015-07-27,172
2015-07-28,176
2015-07-29,172
2015-07-30,167
2015-07-31,166
2015-08-01,164
2015-08-02,163
2015-08-03,162
2015-08-04,161
2015-08-05,158
2015-08-06,159
2015-08-07,162
2015-08-08,157
2015-08-09,157
2015-08-10,160
2015-08-11,160
2015-08-12,168
2015-08-13,166
2015-08-14,166
2015-08-15,167
2015-08-16,172
2015-08-17,172
2015-08-18,173
2015-08-19,175
2015-08-20,183
2015-08-21,191
2015-08-22,197
2015-08-23,198
2015-08-24,197
2015-08-25,203
2015-08-26,197
2015-08-27,191
2015-08-28,185
2015-08-29,177
2015-08-30,170
2015-08-31,168
2015-09-01,166
2015-09-02,168
2015-09-03,169
2015-09-04,170
2015-09-05,174
2015-09-06,176
2015-09-07,174
2015-09-08,173
2015-09-09,175
2015-09-10,180
2015-09-11,187
2015-09-12,192
2015-09-13,194
2015-09-14,199
2015-09-15,199
2015-09-16,198
2015-09-17,192
2015-09-18,190
2015-09-19,183
2015-09-20,175
2015-09-21,178
2015-09-22,176
2015-09-23,173
2015-09-24,168
2015-09-25,165
2015-09-27,157
2015-09-28,155
2015-09-29,154
2015-09-30,157
2015-10-05,167
2015-10-06,161
2015-10-07,157
2015-10-08,151
2015-10-09,145
2015-10-10,139
2015-10-11,133
2015-10-12,135
2015-10-13,140
2015-10-14,145
2015-10-15,143
2015-10-16,139
2015-10-17,138
2015-10-18,139
2015-10-19,139
2015-10-20,144
2015-10-22,146
2015-10-23,145
2015-10-24,148
2015-10-25,146
2015-10-26,142
2015-10-27,144
2015-10-29,139
2015-10-30,139
2015-10-31,141
2015-11-01,147
2015-11-02,142
2015-11-03,145
2015-11-04,143
2015-11-05,140
2015-11-06,143
2015-11-07,146
2015-11-08,148
2015-11-09,152
2015-11-10,154
2015-11-11,160
2015-11-12,165
2015-11-13,172
2015-11-14,174
2015-11-15,173
2015-11-16,171
2015-11-17,169
2015-11-18,176
2015-11-19,184
2015-11-20,194
2015-11-21,204
2015-11-22,207
2015-11-23,218
2015-11-24,228
2015-11-25,234
2015-11-26,245
2015-11-27,249
2015-11-28,248
2015-11-29,239
2015-11-30,246
2015-12-01,250
2015-12-02,247
2015-12-03,243
2015-12-04,245
2015-12-05,251
2015-12-06,243
2015-12-07,242
2015-12-08,250
2015-12-09,245
2015-12-10,254
2015-12-11,250
2015-12-12,240
2015-12-13,232
2015-12-14,236
2015-12-15,226
2015-12-16,214
2015-12-17,203
2015-12-18,192
2015-12-19,182
2015-12-20,173
2015-12-21,168
2015-12-22,165
2015-12-23,162
2015-12-24,164
2015-12-25,168
2015-12-26,168
2015-12-27,173
2015-12-28,182
2015-12-29,191
