date_obj,Christmas%20cracker price
2015-03-26,76925
2015-03-27,76925
2015-03-28,75428
2015-03-29,72495
2015-03-30,72495
2015-03-31,68870
2015-04-01,68870
2015-04-02,68870
2015-04-03,65426
2015-04-04,65426
2015-04-05,62413
2015-04-06,62413
2015-04-07,59292
2015-04-08,59292
2015-04-09,59292
2015-04-10,56507
2015-04-11,56507
2015-04-12,56507
2015-04-13,53868
2015-04-14,53868
2015-04-15,53868
2015-04-16,51345
2015-04-17,51345
2015-04-18,51345
2015-04-19,50564
2015-04-20,50564
2015-04-21,50564
2015-04-22,49585
2015-04-23,49585
2015-04-24,49585
2015-04-25,51054
2015-04-26,51054
2015-04-27,51054
2015-04-28,52626
2015-04-29,52626
2015-04-30,52626
2015-05-01,53982
2015-05-02,53982
2015-05-03,53982
2015-05-04,53982
2015-05-05,54622
2015-05-06,54622
2015-05-07,54622
2015-05-08,53839
2015-05-09,53839
2015-05-10,53839
2015-05-11,53839
2015-05-12,53034
2015-05-13,53034
2015-05-14,53034
2015-05-15,53034
2015-05-16,54767
2015-05-17,54767
2015-05-18,54767
2015-05-19,55347
2015-05-20,55347
2015-05-21,55347
2015-05-22,55347
2015-05-23,57231
2015-05-24,57231
2015-05-25,57231
2015-05-26,59574
2015-05-27,59574
2015-05-28,59574
2015-05-29,61983
2015-05-30,61983
2015-05-31,61983
2015-06-01,64449
2015-06-02,64449
2015-06-03,64449
2015-06-04,64449
2015-06-05,65202
2015-06-06,65202
2015-06-07,65202
2015-06-08,64771
2015-06-09,64771
2015-06-10,66323
2015-06-11,66323
2015-06-12,66323
2015-06-13,69411
2015-06-14,69411
2015-06-15,72649
2015-06-16,72649
2015-06-17,76126
2015-06-18,76126
2015-06-19,79591
2015-06-20,79591
2015-06-21,79591
2015-06-22,83222
2015-06-23,83222
2015-06-24,85858
2015-06-25,85858
2015-06-26,85858
2015-06-27,87353
2015-06-28,87353
2015-06-29,87353
2015-06-30,87866
2015-07-01,87866
2015-07-02,87866
2015-07-03,86508
2015-07-04,86508
2015-07-05,86508
2015-07-06,84740
2015-07-07,84740
2015-07-08,84740
2015-07-09,81157
2015-07-10,81157
2015-07-11,81157
2015-07-12,77540
2015-07-13,77540
2015-07-14,77540
2015-07-15,75821
2015-07-16,75821
2015-07-17,78293
2015-07-18,78293
2015-07-19,78293
2015-07-20,80901
2015-07-21,80901
2015-07-22,80901
2015-07-23,83025
2015-07-24,83025
