date_obj,Rune%20plateskirt%20(g) price
2015-03-26,42694
2015-03-27,41696
2015-03-28,41696
2015-03-29,41696
2015-03-30,40574
2015-03-31,40574
2015-04-01,40574
2015-04-02,40574
2015-04-03,39476
2015-04-04,39476
2015-04-05,39476
2015-04-06,39808
2015-04-07,39808
2015-04-08,39808
2015-04-09,39808
2015-04-10,39983
2015-04-11,39983
2015-04-12,39983
2015-04-13,39983
2015-04-14,39865
2015-04-15,39865
2015-04-16,39865
2015-04-17,39865
2015-04-18,39166
2015-04-19,39166
2015-04-20,39166
2015-04-21,39166
2015-04-22,39790
2015-04-23,39790
2015-04-24,39790
2015-04-25,39790
2015-04-26,40393
2015-04-27,40393
2015-04-28,40393
2015-04-29,40393
2015-04-30,39838
2015-05-01,39838
2015-05-02,39838
2015-05-03,39838
2015-05-04,40035
2015-05-05,40035
2015-05-06,40035
2015-05-07,40035
2015-05-08,39910
2015-05-09,39910
2015-05-10,39910
2015-05-11,39910
2015-05-12,40067
2015-05-13,40067
2015-05-14,40067
2015-05-15,40067
2015-05-16,40067
2015-05-17,39279
2015-05-18,39279
2015-05-19,39279
2015-05-20,39279
2015-05-21,39279
2015-05-22,39394
2015-05-23,39394
2015-05-24,39394
2015-05-25,39394
2015-05-26,39931
2015-05-27,39931
2015-05-28,39931
2015-05-29,39902
2015-05-30,39902
2015-05-31,39233
2015-06-01,39233
2015-06-02,39233
2015-06-03,38700
2015-06-04,38700
2015-06-05,38700
2015-06-06,37955
2015-06-07,37955
2015-06-08,37955
2015-06-09,38293
2015-06-10,38293
2015-06-11,38293
2015-06-12,39303
2015-06-13,39303
2015-06-14,39303
2015-06-15,38400
2015-06-16,38400
2015-06-17,38400
2015-06-18,38838
2015-06-19,38838
2015-06-20,38838
2015-06-21,39685
2015-06-22,39685
2015-06-23,39685
2015-06-24,40308
2015-06-25,40308
2015-06-26,40308
2015-06-27,41160
2015-06-28,41160
2015-06-29,41160
2015-06-30,41809
2015-07-01,41809
2015-07-02,41809
2015-07-03,42502
2015-07-04,42502
2015-07-05,42502
2015-07-06,42502
2015-07-07,42724
2015-07-08,42724
2015-07-09,42724
2015-07-10,43090
2015-07-11,43090
2015-07-12,43090
2015-07-13,43233
2015-07-14,43233
2015-07-15,43233
2015-07-16,42200
2015-07-17,42200
2015-07-18,42200
2015-07-19,42166
2015-07-20,42166
2015-07-21,42166
2015-07-22,42021
2015-07-23,42021
2015-07-24,42021
2015-07-25,41592
2015-07-26,41592
2015-07-27,41592
2015-07-28,41841
2015-07-29,41841
2015-07-30,42488
2015-07-31,42488
2015-08-01,42488
2015-08-02,42920
2015-08-03,42920
2015-08-04,42920
2015-08-05,43705
2015-08-06,43705
2015-08-07,43705
2015-08-08,43214
2015-08-09,43214
2015-08-10,43214
2015-08-11,43482
2015-08-12,43482
2015-08-13,43482
2015-08-14,43381
2015-08-15,43381
2015-08-16,43381
2015-08-17,42471
2015-08-18,42471
2015-08-19,42471
2015-08-20,41893
2015-08-21,41893
2015-08-22,41735
2015-08-23,41735
2015-08-24,41735
2015-08-25,41344
2015-08-26,41344
2015-08-27,40118
2015-08-28,40118
2015-08-29,40118
2015-08-30,39950
2015-08-31,39950
2015-09-01,40018
2015-09-02,40018
2015-09-03,40018
2015-09-04,39825
2015-09-05,39825
2015-09-06,39825
2015-09-07,40231
2015-09-08,40231
2015-09-09,40231
2015-09-10,40109
2015-09-11,40109
2015-09-12,40109
2015-09-13,40529
2015-09-14,40529
2015-09-15,40817
2015-09-16,40817
2015-09-17,40817
2015-09-18,41118
2015-09-19,41118
2015-09-20,41118
2015-09-21,41192
2015-09-22,41192
2015-09-23,41602
2015-09-24,41602
2015-09-25,41602
2015-09-27,41452
2015-09-28,41452
2015-09-29,42122
2015-09-30,42122
2015-10-05,41966
2015-10-06,41966
2015-10-07,41966
2015-10-08,41502
2015-10-09,41502
2015-10-10,41502
2015-10-11,41448
2015-10-12,41448
2015-10-13,41448
2015-10-14,41448
2015-10-15,41597
2015-10-16,41597
2015-10-17,41597
2015-10-18,41597
2015-10-19,41323
2015-10-20,41323
2015-10-22,41323
2015-10-23,42675
2015-10-24,42675
2015-10-25,42675
2015-10-26,43398
2015-10-27,43398
2015-10-29,43573
2015-10-30,43573
2015-10-31,43573
2015-11-01,43573
2015-11-02,43862
2015-11-03,43862
2015-11-04,43862
2015-11-05,43331
2015-11-06,43331
2015-11-07,43331
2015-11-08,43041
2015-11-09,43041
2015-11-10,43041
2015-11-11,43705
2015-11-12,43705
2015-11-13,43705
2015-11-14,42979
2015-11-15,42979
2015-11-16,41968
2015-11-17,41968
2015-11-18,41968
2015-11-19,41546
2015-11-20,41546
2015-11-21,41546
2015-11-22,40693
2015-11-23,40693
2015-11-24,40693
2015-11-25,40526
2015-11-26,40526
2015-11-27,40526
2015-11-28,41094
2015-11-29,41094
2015-11-30,41094
2015-12-01,41253
2015-12-02,41253
2015-12-03,41253
2015-12-04,41076
2015-12-05,41076
2015-12-06,41076
2015-12-07,40434
2015-12-08,40434
2015-12-09,40370
2015-12-10,40370
2015-12-11,40370
2015-12-12,40716
2015-12-13,40716
2015-12-14,40716
2015-12-15,40756
2015-12-16,40756
2015-12-17,40756
2015-12-18,39757
2015-12-19,39757
2015-12-20,39790
2015-12-21,39790
2015-12-22,39790
2015-12-23,39823
2015-12-24,39823
2015-12-25,39823
2015-12-26,40458
2015-12-27,40458
2015-12-28,40458
2015-12-29,40335
2015-12-30,40335
2015-12-31,40483
2016-01-01,40483
2016-01-02,40483
2016-01-03,40692
2016-01-04,40692
2016-01-05,40692
2016-01-06,42459
2016-01-07,42459
2016-01-08,42459
2016-01-09,43047
2016-01-10,43047
