date_obj,Wizard%20boots price
2015-03-26,643515
2015-03-27,643515
2015-03-28,635662
2015-03-29,635662
2015-03-30,610977
2015-03-31,610977
2015-04-01,589016
2015-04-02,589016
2015-04-03,577184
2015-04-04,577184
2015-04-05,575314
2015-04-06,575314
2015-04-07,581795
2015-04-08,581795
2015-04-09,574841
2015-04-10,574841
2015-04-11,564916
2015-04-12,564916
2015-04-13,563141
2015-04-14,563141
2015-04-15,572587
2015-04-16,572587
2015-04-17,560756
2015-04-18,560756
2015-04-19,547927
2015-04-20,547927
2015-04-21,533846
2015-04-22,533846
2015-04-23,524157
2015-04-24,524157
2015-04-25,548111
2015-04-26,548111
2015-04-27,573488
2015-04-28,573488
2015-04-29,599392
2015-04-30,599392
2015-05-01,623692
2015-05-02,623692
2015-05-03,635680
2015-05-04,635680
2015-05-05,636676
2015-05-06,636676
2015-05-07,648740
2015-05-08,648740
2015-05-09,638757
2015-05-10,638757
2015-05-11,624251
2015-05-12,624251
2015-05-13,631913
2015-05-14,631913
2015-05-15,632951
2015-05-16,632951
2015-05-17,631775
2015-05-18,631775
2015-05-19,639325
2015-05-20,639325
2015-05-21,639325
2015-05-22,634187
2015-05-23,634187
2015-05-24,627167
2015-05-25,627167
2015-05-26,635556
2015-05-27,635556
2015-05-28,633405
2015-05-29,637919
2015-05-30,637087
2015-05-31,637087
2015-06-01,643367
2015-06-02,643367
2015-06-03,646378
2015-06-04,646378
2015-06-05,654682
2015-06-06,667775
2015-06-07,673995
2015-06-08,673995
2015-06-09,657684
2015-06-10,649049
2015-06-11,649049
2015-06-12,642301
2015-06-13,629936
2015-06-14,605281
2015-06-15,583723
2015-06-16,565028
2015-06-17,575747
2015-06-18,568218
2015-06-19,554178
2015-06-20,541755
2015-06-21,541755
2015-06-22,546909
2015-06-23,546909
2015-06-24,547259
2015-06-25,547259
2015-06-26,546892
2015-06-27,546892
2015-06-28,539496
2015-06-29,539496
2015-06-30,539762
2015-07-01,528709
2015-07-02,528709
2015-07-03,524341
2015-07-04,516830
2015-07-05,527521
2015-07-06,527521
2015-07-07,524068
2015-07-08,525216
2015-07-09,525216
2015-07-10,522039
2015-07-11,522039
2015-07-12,528857
2015-07-13,524614
2015-07-14,521289
2015-07-15,521878
2015-07-16,521878
2015-07-17,513604
2015-07-18,513604
2015-07-19,525055
2015-07-20,539879
2015-07-21,547707
2015-07-22,549263
2015-07-23,549263
