date_obj,Nature%20tiara price
2015-03-26,7108
2015-03-27,7108
2015-03-28,6760
2015-03-29,6760
2015-03-30,6438
2015-03-31,6438
2015-04-01,6438
2015-04-02,6122
2015-04-03,6122
2015-04-04,5828
2015-04-05,5828
2015-04-06,5551
2015-04-07,5551
2015-04-08,5551
2015-04-09,5280
2015-04-10,5280
2015-04-11,5020
2015-04-12,5020
2015-04-13,4783
2015-04-14,4783
2015-04-15,4783
2015-04-16,4545
2015-04-17,4545
2015-04-18,4320
2015-04-19,4320
2015-04-20,4320
2015-04-21,4108
2015-04-22,4108
2015-04-23,4108
2015-04-24,3907
2015-04-25,3907
2015-04-26,3907
2015-04-27,3714
2015-04-28,3714
2015-04-29,3714
2015-04-30,3532
2015-05-01,3532
2015-05-02,3359
2015-05-03,3359
2015-05-04,3359
2015-05-05,3193
2015-05-06,3193
2015-05-07,3193
2015-05-08,3036
2015-05-09,3036
2015-05-10,2893
2015-05-11,2893
2015-05-12,2893
2015-05-13,2752
2015-05-14,2752
2015-05-15,2752
2015-05-16,2619
2015-05-17,2619
2015-05-18,2490
2015-05-19,2490
2015-05-20,2490
2015-05-21,2490
2015-05-22,2367
2015-05-23,2367
2015-05-24,2367
2015-05-25,2250
2015-05-26,2250
2015-05-27,2250
2015-05-28,2137
2015-05-29,2137
2015-05-30,2031
2015-05-31,2031
2015-06-01,1934
2015-06-02,1934
2015-06-03,1934
2015-06-04,1839
2015-06-05,1839
2015-06-06,1747
2015-06-07,1747
2015-06-08,1747
2015-06-09,1661
2015-06-10,1661
2015-06-11,1580
2015-06-12,1580
2015-06-13,1580
2015-06-14,1503
2015-06-15,1503
2015-06-16,1503
2015-06-17,1429
2015-06-18,1429
2015-06-19,1429
2015-06-20,1357
2015-06-21,1357
2015-06-22,1357
2015-06-23,1290
2015-06-24,1290
2015-06-25,1290
2015-06-26,1228
2015-06-27,1228
2015-06-28,1228
2015-06-29,1166
2015-06-30,1166
2015-07-01,1108
2015-07-02,1108
2015-07-03,1108
2015-07-04,1052
2015-07-05,1052
2015-07-06,1052
2015-07-07,1000
2015-07-08,1000
2015-07-09,1000
2015-07-10,957
2015-07-11,957
2015-07-12,957
2015-07-13,911
2015-07-14,911
2015-07-15,911
2015-07-16,867
2015-07-17,867
2015-07-18,867
2015-07-19,825
2015-07-20,825
2015-07-21,825
2015-07-22,783
2015-07-23,783
2015-07-24,783
2015-07-25,745
2015-07-26,745
2015-07-27,745
2015-07-28,709
2015-07-29,709
2015-07-30,674
2015-07-31,674
