date_obj,Seed%20dibber price
2015-03-26,116
2015-03-27,116
2015-03-28,116
2015-03-29,116
2015-03-30,122
2015-03-31,122
2015-04-01,122
2015-04-02,122
2015-04-03,129
2015-04-04,129
2015-04-05,129
2015-04-06,132
2015-04-07,132
2015-04-08,132
2015-04-09,132
2015-04-10,139
2015-04-11,139
2015-04-12,139
2015-04-13,145
2015-04-14,145
2015-04-15,145
2015-04-16,145
2015-04-17,149
2015-04-18,149
2015-04-19,149
2015-04-20,149
2015-04-21,153
2015-04-22,153
2015-04-23,153
2015-04-24,153
2015-04-25,154
2015-04-26,154
2015-04-27,154
2015-04-28,154
2015-04-29,155
2015-04-30,155
2015-05-01,155
2015-05-02,161
2015-05-03,161
2015-05-04,161
2015-05-05,161
2015-05-06,168
2015-05-07,168
2015-05-08,168
2015-05-09,168
2015-05-10,175
2015-05-11,175
2015-05-12,175
2015-05-13,175
2015-05-14,182
2015-05-15,182
2015-05-16,182
2015-05-17,182
2015-05-18,192
2015-05-19,192
2015-05-20,192
2015-05-21,192
2015-05-22,201
2015-05-23,201
2015-05-24,201
2015-05-25,211
2015-05-26,211
2015-05-27,211
2015-05-28,218
2015-05-29,218
2015-05-30,223
2015-05-31,223
2015-06-01,223
2015-06-02,230
2015-06-03,230
2015-06-04,230
2015-06-05,234
2015-06-06,234
2015-06-07,234
2015-06-08,239
2015-06-09,239
2015-06-10,239
2015-06-11,248
2015-06-12,248
2015-06-13,248
2015-06-14,258
2015-06-15,258
2015-06-16,258
2015-06-17,269
2015-06-18,269
2015-06-19,269
2015-06-20,266
2015-06-21,266
2015-06-22,266
2015-06-23,269
2015-06-24,269
2015-06-25,269
2015-06-26,276
2015-06-27,276
2015-06-28,276
2015-06-29,280
2015-06-30,280
2015-07-01,280
2015-07-02,270
2015-07-03,270
2015-07-04,270
2015-07-05,256
2015-07-06,256
2015-07-07,256
2015-07-08,251
2015-07-09,251
2015-07-10,251
2015-07-11,251
2015-07-12,256
2015-07-13,256
2015-07-14,256
2015-07-15,250
2015-07-16,250
2015-07-17,250
2015-07-18,259
2015-07-19,259
2015-07-20,259
2015-07-21,271
2015-07-22,271
2015-07-23,269
2015-07-24,269
2015-07-25,264
2015-07-26,264
2015-07-27,254
2015-07-28,254
2015-07-29,246
2015-07-30,246
2015-07-31,246
2015-08-01,241
2015-08-02,241
2015-08-03,244
2015-08-04,244
2015-08-05,244
2015-08-06,237
2015-08-07,237
2015-08-08,237
2015-08-09,236
2015-08-10,236
