date_obj,Adamant%20full%20helm%20(g) price
2015-03-26,25760
2015-03-27,25760
2015-03-28,25760
2015-03-29,25279
2015-03-30,25279
2015-03-31,25279
2015-04-01,25279
2015-04-02,25219
2015-04-03,25219
2015-04-04,25219
2015-04-05,25219
2015-04-06,25139
2015-04-07,25139
2015-04-08,25139
2015-04-09,25139
2015-04-10,24516
2015-04-11,24516
2015-04-12,24516
2015-04-13,24188
2015-04-14,24188
2015-04-15,24188
2015-04-16,24188
2015-04-17,24367
2015-04-18,24367
2015-04-19,24367
2015-04-20,24367
2015-04-21,23988
2015-04-22,23988
2015-04-23,23988
2015-04-24,23988
2015-04-25,23323
2015-04-26,23323
2015-04-27,23323
2015-04-28,23323
2015-04-29,22905
2015-04-30,22905
2015-05-01,22905
2015-05-02,22905
2015-05-03,22359
2015-05-04,22359
2015-05-05,22359
2015-05-06,21609
2015-05-07,21609
2015-05-08,21609
2015-05-09,21609
2015-05-10,20825
2015-05-11,20825
2015-05-12,20825
2015-05-13,20825
2015-05-14,20153
2015-05-15,20153
2015-05-16,20153
2015-05-17,20153
2015-05-18,19547
2015-05-19,19547
2015-05-20,19547
2015-05-21,19547
2015-05-22,19547
2015-05-23,19176
2015-05-24,19176
2015-05-25,19176
2015-05-26,19176
2015-05-27,18533
2015-05-28,18533
2015-05-29,18533
2015-05-30,17951
2015-05-31,17951
2015-06-01,17951
2015-06-02,17258
2015-06-03,17258
2015-06-04,17258
2015-06-05,16555
2015-06-06,16555
2015-06-07,15819
2015-06-08,15819
2015-06-09,15373
2015-06-10,15373
2015-06-11,15373
2015-06-12,15433
2015-06-13,15433
2015-06-14,15433
2015-06-15,15194
2015-06-16,15194
2015-06-17,15194
2015-06-18,15574
2015-06-19,15574
2015-06-20,15574
2015-06-21,15740
2015-06-22,15740
2015-06-23,15740
2015-06-24,15518
2015-06-25,15518
2015-06-26,15518
2015-06-27,15568
2015-06-28,15568
2015-06-29,15568
2015-06-30,15428
2015-07-01,15428
2015-07-02,15428
2015-07-03,15695
2015-07-04,15695
2015-07-05,15695
2015-07-06,15695
2015-07-07,15753
2015-07-08,15753
2015-07-09,15753
2015-07-10,16435
2015-07-11,16435
2015-07-12,16435
2015-07-13,16435
2015-07-14,17195
2015-07-15,17195
2015-07-16,17195
2015-07-17,17773
2015-07-18,17773
2015-07-19,17773
2015-07-20,17672
2015-07-21,17672
2015-07-22,17672
2015-07-23,17821
2015-07-24,17821
2015-07-25,17821
2015-07-26,18268
2015-07-27,18268
2015-07-28,18268
2015-07-29,18059
2015-07-30,18059
2015-07-31,18059
2015-08-01,18059
2015-08-02,17639
2015-08-03,17639
2015-08-04,17639
2015-08-05,17531
2015-08-06,17531
2015-08-07,17531
2015-08-08,17463
2015-08-09,17463
2015-08-10,17234
2015-08-11,17234
2015-08-12,17234
2015-08-13,17194
2015-08-14,17194
2015-08-15,17194
2015-08-16,17242
2015-08-17,17242
2015-08-18,17242
2015-08-19,17518
2015-08-20,17518
2015-08-21,17518
2015-08-22,17449
2015-08-23,17449
2015-08-24,17449
2015-08-25,17420
2015-08-26,17420
2015-08-27,17420
2015-08-28,17137
2015-08-29,17137
2015-08-30,17137
2015-08-31,16934
2015-09-01,16934
2015-09-02,16934
2015-09-03,16848
2015-09-04,16848
2015-09-05,16848
2015-09-06,17199
2015-09-07,17199
2015-09-08,17199
2015-09-09,17627
2015-09-10,17627
2015-09-11,17627
2015-09-12,17837
2015-09-13,17837
2015-09-14,17837
2015-09-15,18523
2015-09-16,18523
2015-09-17,18523
2015-09-18,18523
2015-09-19,18450
2015-09-20,18450
2015-09-21,18450
2015-09-22,19102
2015-09-23,19102
2015-09-24,19102
2015-09-25,19102
2015-09-27,19318
2015-09-28,19318
2015-09-29,19318
2015-09-30,19254
2015-10-05,19580
2015-10-06,19580
2015-10-07,19580
2015-10-08,20168
2015-10-09,20168
2015-10-10,20168
2015-10-11,20168
2015-10-12,20620
2015-10-13,20620
2015-10-14,20620
2015-10-15,20620
2015-10-16,20837
2015-10-17,20837
2015-10-18,20837
2015-10-19,20837
2015-10-20,21139
2015-10-22,21139
2015-10-23,21139
2015-10-24,21763
2015-10-25,21763
2015-10-26,21763
2015-10-27,22340
2015-10-28,22340
2015-10-29,22340
2015-10-30,22340
2015-10-31,23152
2015-11-01,23152
2015-11-02,23152
2015-11-03,23152
2015-11-04,23449
2015-11-05,23449
2015-11-06,23449
2015-11-07,23463
2015-11-08,23463
2015-11-09,23463
2015-11-10,23463
2015-11-11,23702
2015-11-12,23702
2015-11-13,23702
2015-11-14,23702
2015-11-15,23820
2015-11-16,23820
2015-11-17,23820
2015-11-18,23820
2015-11-19,24486
2015-11-20,24486
2015-11-21,24486
2015-11-22,25228
2015-11-23,25228
2015-11-24,25228
2015-11-25,25228
2015-11-26,26128
2015-11-27,26128
2015-11-28,26128
2015-11-29,27244
2015-11-30,27244
2015-12-01,27244
2015-12-02,27244
2015-12-03,28090
2015-12-04,28090
2015-12-05,28090
2015-12-06,28090
2015-12-07,28454
2015-12-08,28454
2015-12-09,28454
2015-12-10,28454
2015-12-11,27612
2015-12-12,27612
2015-12-13,27612
2015-12-14,27612
2015-12-15,26834
2015-12-16,26834
2015-12-17,26834
2015-12-18,25644
2015-12-19,25644
2015-12-20,25644
2015-12-21,25644
2015-12-22,24632
2015-12-23,24632
2015-12-24,24632
2015-12-25,24632
2015-12-26,24383
2015-12-27,24383
2015-12-28,24383
2015-12-29,23995
2015-12-30,23995
2015-12-31,23995
2016-01-01,23995
2016-01-02,23390
2016-01-03,23390
2016-01-04,23390
2016-01-05,23237
2016-01-06,23237
2016-01-07,23237
2016-01-08,23237
2016-01-09,23159
2016-01-10,23159
2016-01-11,23159
2016-01-12,23782
2016-01-13,23782
2016-01-14,23782
2016-01-15,24602
2016-01-16,24602
2016-01-17,24602
2016-01-18,25408
2016-01-19,25408
2016-01-20,25408
2016-01-21,25408
2016-01-22,25542
2016-01-23,25542
2016-01-24,25542
2016-01-25,26142
2016-01-26,26142
2016-01-27,26142
2016-01-28,26142
2016-01-29,26900
2016-01-30,26900
2016-01-31,26900
2016-02-01,26702
2016-02-02,26702
2016-02-03,26702
2016-02-04,25467
2016-02-05,25467
2016-02-06,25467
2016-02-07,24998
2016-02-08,24998
2016-02-09,24998
2016-02-10,24739
2016-02-11,24739
2016-02-12,24739
2016-02-13,25141
2016-02-14,25141
2016-02-15,25141
2016-02-16,25402
2016-02-17,25402
2016-02-18,25402
2016-02-19,25472
2016-02-20,25472
2016-02-21,25818
2016-02-22,25818
