date_obj,Samurai%20shirt price
2016-07-06,10000000
2016-07-07,10000000
2016-07-08,9960499
2016-07-09,9960499
2016-07-10,9960499
2016-07-11,9960499
2016-07-12,9960499
2016-07-13,9462474
2016-07-14,9462474
2016-07-15,9462474
2016-07-16,9462474
2016-07-17,9462474
2016-07-18,8996981
2016-07-23,8552428
2016-07-24,8552428
2016-07-25,8552428
2016-07-26,8552428
2016-07-27,8552428
2016-07-28,8552428
2016-07-29,8124806
2016-07-30,8124806
2016-07-31,8124806
2016-08-01,8124806
2016-08-02,8124806
2016-08-03,7718565
2016-08-04,7718565
2016-08-05,7718565
2016-08-06,7718565
2016-08-07,7718565
2016-08-08,7718565
2016-08-09,7718565
2016-08-10,7336151
2016-08-11,7336151
2016-08-12,7336151
2016-08-13,7336151
2016-08-14,7336151
2016-08-15,7336151
2016-08-16,7336151
2016-08-17,7336151
2016-08-18,6972670
2016-08-19,6972670
2016-08-20,6972670
2016-08-21,6972670
2016-08-22,6972670
2016-08-23,6972670
2016-08-24,6668745
2016-08-25,6668745
2016-08-26,6668745
2016-08-28,6668745
2016-08-31,6338576
2016-09-01,6338576
2016-09-02,6338576
2016-09-03,6338576
2016-09-04,6338576
2016-09-05,6338576
2016-09-06,6021647
2016-09-07,6021647
2016-09-08,6021647
2016-09-09,6021647
2016-09-10,6021647
2016-09-11,6021647
2016-09-12,6021647
2016-09-13,5728348
2016-09-14,5728348
2016-09-15,5728348
2016-09-16,5728348
2016-09-17,5728348
2016-09-18,5728348
2016-09-19,5728348
2016-09-20,5444231
2016-09-21,5444231
2016-09-22,5444231
2016-09-23,5444231
2016-09-24,5444231
2016-09-25,5444231
2016-09-26,5444231
2016-09-27,5173215
2016-09-28,5173215
2016-09-29,5173215
2016-09-30,5173215
2016-10-01,5173215
2016-10-02,5173215
2016-10-03,5173215
2016-10-04,4917432
2016-10-05,4917432
2016-10-06,4917432
2016-10-07,4917432
2016-10-08,4917432
2016-10-09,4917432
2016-10-10,4672712
2016-10-11,4672712
2016-10-12,4672712
2016-10-13,4672712
2016-10-14,4672712
2016-10-15,4440745
2016-10-16,4440745
2016-10-17,4440745
2016-10-18,4440745
2016-10-19,4440745
2016-10-20,4440745
2016-10-21,4218707
2016-10-22,4218707
2016-10-23,4218707
2016-10-24,4218707
2016-10-25,4010476
2016-10-26,4010476
2016-10-27,4010476
2016-10-28,4010476
2016-10-29,4010476
2016-10-30,3815231
2016-10-31,3815231
2016-11-01,3815231
2016-11-02,3815231
2016-11-03,3815231
2016-11-04,3627781
2016-11-05,3627781
2016-11-06,3627781
2016-11-07,3627781
2016-11-08,3627781
2016-11-09,3627781
2016-11-10,3449124
2016-11-11,3449124
2016-11-12,3449124
2016-11-13,3449124
2016-11-14,3449124
2016-12-08,2680300
2016-12-09,2680300
2016-12-10,2680300
2016-12-11,2680300
2016-12-12,2680300
2016-12-13,2547543
2016-12-14,2547543
2016-12-15,2547543
2016-12-16,2547543
2016-12-17,2547543
2016-12-18,2547543
2016-12-19,2421492
2016-12-20,2421492
2016-12-21,2421492
2016-12-22,2421492
2016-12-23,2421492
2016-12-24,2421492
2016-12-25,2302492
