date_obj,Royal%20crown price
2015-03-26,232645
2015-03-27,232645
2015-03-28,232645
2015-03-29,228327
2015-03-30,228327
2015-03-31,219451
2015-04-01,219451
2015-04-02,219383
2015-04-03,219383
2015-04-04,222275
2015-04-05,222275
2015-04-06,224889
2015-04-07,224889
2015-04-08,230243
2015-04-09,230243
2015-04-10,236454
2015-04-11,236454
2015-04-12,241209
2015-04-13,241209
2015-04-14,239346
2015-04-15,239346
2015-04-16,232162
2015-04-17,232162
2015-04-18,230217
2015-04-19,230217
2015-04-20,227672
2015-04-21,227672
2015-04-22,227181
2015-04-23,227181
2015-04-24,234858
2015-04-25,234858
2015-04-26,243748
2015-04-27,243748
2015-04-28,252569
2015-04-29,252569
2015-04-30,253979
2015-05-01,253979
2015-05-02,246741
2015-05-03,246741
2015-05-04,238957
2015-05-05,238957
2015-05-06,234208
2015-05-07,225230
2015-05-08,225230
2015-05-09,215703
2015-05-10,207001
2015-05-11,207001
2015-05-12,198810
2015-05-13,198810
2015-05-14,188917
2015-05-15,188917
2015-05-16,179475
2015-05-17,170808
2015-05-18,170808
2015-05-19,162698
2015-05-20,162698
2015-05-21,154859
2015-05-22,149449
2015-05-23,149449
2015-05-24,144114
2015-05-25,138630
2015-05-26,138630
2015-05-27,132640
2015-05-28,132640
2015-05-29,127215
2015-05-30,121977
2015-05-31,121977
2015-06-01,119645
2015-06-02,119645
2015-06-03,116308
2015-06-04,116308
2015-06-05,113884
2015-06-06,113884
2015-06-07,111968
2015-06-08,111968
2015-06-09,110146
2015-06-10,108552
2015-06-11,108552
2015-06-12,107753
2015-06-13,107753
2015-06-14,107018
2015-06-15,107018
2015-06-16,108668
2015-06-17,108668
2015-06-18,111999
2015-06-19,111999
2015-06-20,116569
2015-06-21,116569
2015-06-22,121898
2015-06-23,121898
2015-06-24,127694
2015-06-25,127694
2015-06-26,133152
2015-06-27,133152
2015-06-28,134371
2015-06-29,134371
2015-06-30,135109
2015-07-01,135109
2015-07-02,135109
2015-07-03,139976
2015-07-04,139976
2015-07-05,146446
2015-07-06,146446
2015-07-07,152149
2015-07-08,152149
2015-07-09,150981
2015-07-10,150981
2015-07-11,149703
2015-07-12,149703
2015-07-13,148005
2015-07-14,148005
2015-07-15,149429
2015-07-16,149429
2015-07-17,151332
2015-07-18,151332
2015-07-19,151692
2015-07-20,151692
2015-07-21,153465
2015-07-22,153836
2015-07-23,153836
2015-07-24,153469
2015-07-25,153469
2015-07-26,152030
2015-07-27,152030
2015-07-28,151107
2015-07-29,149483
2015-07-30,149483
2015-07-31,154551
2015-08-01,154551
2015-08-02,157512
2015-08-03,157512
2015-08-04,160309
2015-08-05,164005
2015-08-06,164005
2015-08-07,168488
2015-08-08,168488
2015-08-09,172180
2015-08-10,172180
2015-08-11,174196
2015-08-12,174196
2015-08-13,174196
2015-08-14,179707
2015-08-15,179707
2015-08-16,187050
2015-08-17,187050
2015-08-18,195440
2015-08-19,195440
2015-08-20,196551
2015-08-21,196551
