date_obj,Elder%20chaos%20robe price
2016-07-23,8102
2016-07-24,8508
2016-07-25,8932
2016-07-26,9363
2016-07-27,9832
2016-07-28,10254
2016-07-29,10767
2016-07-30,11291
2016-07-31,11838
2016-08-01,12336
2016-08-02,12953
2016-08-03,13560
2016-08-04,14222
2016-08-05,14924
2016-08-06,15649
2016-08-07,16395
2016-08-08,17186
2016-08-09,18032
2016-08-10,18915
2016-08-11,19714
2016-08-12,20651
2016-08-13,21611
2016-08-14,22670
2016-08-15,23804
2016-08-16,24982
2016-08-17,26184
2016-08-18,27474
2016-08-19,28793
2016-08-20,30233
2016-08-21,31705
2016-08-22,33239
2016-08-23,34855
2016-08-24,36503
2016-08-25,38290
2016-08-26,38290
2016-08-28,42155
2016-08-31,48399
2016-09-01,50819
2016-09-02,50819
2016-09-03,53360
2016-09-04,56028
2016-09-05,58731
2016-09-06,61583
2016-09-07,64531
2016-09-08,67594
2016-09-09,70893
2016-09-10,74438
2016-09-11,78015
2016-09-12,81776
2016-09-13,85865
2016-09-14,89939
2016-09-15,93936
2016-09-16,93936
2016-09-17,98633
2016-09-18,103249
2016-09-19,108122
2016-09-20,108122
2016-09-21,113529
2016-09-22,119206
2016-09-23,124990
2016-09-24,124990
2016-09-25,131240
2016-09-26,131240
2016-09-27,137802
2016-09-28,144428
2016-09-29,144428
2016-09-30,151650
2016-10-01,158838
2016-10-02,158838
2016-10-03,166780
2016-10-04,174750
2016-10-05,181235
2016-10-06,189967
2016-10-07,189967
2016-10-08,199466
2016-10-09,199466
2016-10-10,209440
2016-10-11,219358
2016-10-12,219358
2016-10-13,230326
2016-10-14,241666
2016-10-15,253231
2016-10-16,253231
2016-10-17,265167
2016-10-18,265167
2016-10-19,278296
2016-10-20,278296
2016-10-21,292106
2016-10-22,292106
2016-10-23,306453
2016-10-24,320115
2016-10-25,320115
2016-10-26,331408
2016-10-27,331408
2016-10-28,347920
2016-10-29,358269
2016-10-30,358269
2016-10-31,364358
2016-11-01,364358
2016-11-02,367243
2016-11-03,367243
2016-11-04,349066
2016-11-05,349066
2016-11-06,342974
2016-11-07,342974
2016-11-08,349563
2016-11-09,364989
2016-11-10,381682
2016-11-11,381682
2016-11-12,398957
2016-11-13,398957
2016-11-14,399112
2016-11-15,402065
2016-12-07,381370
2016-12-08,373011
2016-12-09,367263
2016-12-10,367263
2016-12-11,354537
2016-12-12,354537
2016-12-13,346666
2016-12-14,346338
2016-12-15,346338
2016-12-16,347926
2016-12-17,350232
2016-12-18,350232
2016-12-19,366862
2016-12-20,374848
2016-12-21,371636
2016-12-22,371636
2016-12-23,378212
2016-12-24,378212
2016-12-25,378384
2016-12-26,378384
2016-12-27,371073
2016-12-28,371073
2016-12-29,358716
2016-12-30,358716
2016-12-31,366083
2017-01-01,379814
2017-01-02,393915
2017-01-03,393915
2017-01-04,382002
2017-01-05,382002
2017-01-06,373586
2017-01-07,373016
2017-01-08,367271
2017-01-09,367630
2017-01-10,361503
2017-01-11,367685
2017-01-12,369113
2017-01-13,369113
2017-01-14,379694
2017-01-15,388587
2017-01-16,385604
2017-01-17,380979
2017-01-18,383270
2017-01-19,383270
2017-01-20,378088
2017-01-21,392310
2017-01-22,391891
2017-01-23,384492
2017-01-27,398287
2017-01-28,394688
2017-01-29,394875
2017-01-30,394875
2017-01-31,384883
2017-02-01,376264
2017-02-02,376368
2017-02-03,365747
2017-02-04,370406
2017-02-05,367753
2017-02-06,357983
2017-02-07,342428
2017-02-08,327035
2017-02-09,327035
2017-02-10,329262
2017-02-11,345560
2017-02-12,345560
2017-02-13,342483
2017-02-14,331330
2017-02-15,323211
2017-02-16,326485
2017-02-18,332136
2017-02-19,336722
2017-02-20,326403
2017-02-21,332013
2017-02-22,332013
2017-02-23,343197
2017-02-24,333359
2017-02-25,325647
2017-02-26,315977
2017-02-27,306162
2017-02-28,303028
2017-03-01,305884
2017-03-02,314208
2017-03-03,313550
2017-03-04,309093
2017-03-05,303371
2017-03-06,294894
2017-03-07,289704
2017-03-08,289704
2017-03-09,276916
2017-03-10,263624
2017-03-11,251257
2017-03-12,241986
2017-03-13,232205
2017-03-14,226193
2017-03-15,220025
2017-03-16,222990
2017-03-17,234140
2017-03-18,238842
2017-03-19,245671
2017-03-20,243071
2017-03-21,231862
2017-03-22,225501
2017-03-23,236151
2017-03-24,246862
2017-03-25,246862
2017-03-26,248065
2017-03-27,243350
2017-03-28,247707
2017-03-29,259363
2017-03-30,272332
2017-03-31,285248
2017-04-01,299511
2017-04-02,313730
2017-04-03,321727
2017-04-04,336448
2017-04-12,337381
2017-04-13,328427
2017-04-14,327351
2017-04-15,333179
2017-04-16,335819
2017-04-17,332733
2017-04-18,323348
2017-04-19,323699
2017-04-20,320532
2017-04-21,331858
2017-04-22,348083
2017-04-23,364029
2017-04-24,372034
2017-04-25,360779
2017-04-26,360779
2017-04-27,365432
2017-04-28,377701
2017-04-29,388337
2017-04-30,390093
2017-05-01,380457
2017-05-02,374843
2017-05-03,384263
2017-05-04,382875
2017-05-05,382119
2017-05-06,380938
2017-05-07,376808
2017-05-08,375856
2017-05-09,383880
2017-05-10,402864
2017-05-11,423008
2017-05-12,438222
2017-05-13,448966
2017-05-14,465297
2017-05-15,484121
2017-05-16,507206
2017-05-17,504956
2017-05-18,490968
2017-05-19,490968
2017-05-20,488024
2017-05-21,488024
2017-05-22,482564
2017-05-23,469355
2017-05-24,451611
2017-05-25,439389
2017-05-26,426708
2017-05-27,413913
2017-05-28,394944
2017-05-29,377070
2017-05-30,365805
2017-05-31,351568
2017-06-01,340347
2017-06-02,342672
2017-06-03,347472
2017-06-04,357931
2017-06-05,366661
2017-06-06,375461
2017-06-07,393355
2017-06-08,393355
2017-06-09,413023
2017-06-10,429475
2017-06-11,430059
2017-06-12,418989
2017-06-13,412007
2017-06-14,403196
2017-06-15,414188
2017-06-16,403957
2017-06-17,392787
2017-06-18,388291
2017-06-19,388291
2017-06-20,394511
2017-06-21,396286
2017-06-22,396286
2017-06-23,394570
2017-06-24,386286
2017-06-25,387680
2017-06-26,392555
2017-06-27,387831
2017-06-28,379579
2017-06-29,369445
2017-06-30,367641
2017-07-01,367641
2017-07-02,354940
2017-07-03,353711
2017-07-04,345257
2017-07-05,345257
2017-07-06,343364
2017-07-07,343364
2017-07-08,350142
2017-07-13,375227
2017-07-14,369417
2017-07-15,369417
2017-07-16,372589
2017-07-17,367657
2017-07-18,357134
2017-07-19,352977
2017-07-20,337975
2017-07-21,325976
2017-07-22,313914
2017-07-23,303619
2017-07-24,311477
2017-07-25,325501
2017-07-26,341777
2017-07-27,358866
2017-07-28,374506
2017-07-29,378080
2017-07-30,387922
2017-07-31,387922
2017-08-01,403471
2017-08-02,413000
2017-08-03,411367
2017-08-04,400913
2017-08-05,391360
2017-08-06,382854
2017-08-09,393587
2017-08-10,404952
2017-08-11,413718
2017-08-12,413767
2017-08-13,425293
2017-08-14,432637
2017-08-15,428852
2017-08-16,425220
2017-08-17,420122
2017-08-18,420122
2017-08-19,417537
2017-08-20,399864
2017-08-21,382684
2017-08-22,378062
2017-08-23,369796
2017-08-24,355083
2017-08-25,339419
2017-08-26,327989
