date_obj,Yew%20comp%20bow price
2015-03-26,2151
2015-03-27,2043
2015-03-28,1940
2015-03-29,1843
2015-03-30,1750
2015-03-31,1662
2015-04-01,1578
2015-04-02,1499
2015-04-03,1424
2015-04-04,1352
2015-04-05,1288
2015-04-06,1223
2015-04-07,1161
2015-04-08,1102
2015-04-09,1046
2015-04-10,996
2015-04-11,950
2015-04-12,907
2015-04-13,877
2015-04-14,840
2015-04-15,815
2015-04-16,811
2015-04-17,803
2015-04-18,783
2015-04-19,786
2015-04-20,774
2015-04-21,769
2015-04-22,794
2015-04-23,807
2015-04-24,796
2015-04-25,808
2015-04-26,810
2015-04-27,809
2015-04-28,816
2015-04-29,816
2015-04-30,820
2015-05-01,812
2015-05-02,814
2015-05-03,819
2015-05-04,821
2015-05-05,823
2015-05-06,822
2015-05-07,822
2015-05-08,821
2015-05-09,817
2015-05-10,809
2015-05-11,809
2015-05-12,816
2015-05-13,810
2015-05-14,810
2015-05-15,812
2015-05-16,807
2015-05-17,810
2015-05-18,804
2015-05-19,809
2015-05-20,805
2015-05-21,803
2015-05-22,799
2015-05-23,797
2015-05-24,785
2015-05-25,766
2015-05-26,787
2015-05-27,802
2015-05-28,808
2015-05-29,814
2015-05-30,818
2015-05-31,817
2015-06-01,821
2015-06-02,819
2015-06-03,823
2015-06-04,826
2015-06-05,831
2015-06-06,831
2015-06-07,839
2015-06-08,834
2015-06-09,844
2015-06-10,843
2015-06-11,836
2015-06-12,845
2015-06-13,842
2015-06-14,839
2015-06-15,838
2015-06-16,837
2015-06-17,834
2015-06-18,833
2015-06-19,824
2015-06-20,809
2015-06-21,772
2015-06-22,769
2015-06-23,770
2015-06-24,772
2015-06-25,794
2015-06-26,820
2015-06-27,811
2015-06-28,825
2015-06-29,833
2015-06-30,833
2015-07-01,849
2015-07-02,855
2015-07-03,855
2015-07-04,843
2015-07-05,845
2015-07-06,835
2015-07-07,837
2015-07-08,841
2015-07-09,840
2015-07-10,841
2015-07-11,830
2015-07-12,819
2015-07-13,812
2015-07-14,818
2015-07-15,826
2015-07-16,820
2015-07-17,818
2015-07-18,817
2015-07-19,821
2015-07-20,831
2015-07-21,835
2015-07-22,839
2015-07-23,837
2015-07-24,841
2015-07-25,837
2015-07-26,834
2015-07-27,831
2015-07-28,821
2015-07-29,835
2015-07-30,840
2015-07-31,837
2015-08-01,839
2015-08-02,824
2015-08-03,821
