date_obj,Mithril%20kiteshield price
2015-03-26,1079
2015-03-27,1079
2015-03-28,1074
2015-03-29,1077
2015-03-30,1097
2015-03-31,1092
2015-04-01,1101
2015-04-02,1112
2015-04-03,1087
2015-04-04,1088
2015-04-05,1091
2015-04-06,1085
2015-04-07,1081
2015-04-08,1068
2015-04-09,1068
2015-04-10,1073
2015-04-11,1068
2015-04-12,1061
2015-04-13,1081
2015-04-14,1086
2015-04-15,1076
2015-04-16,1098
2015-04-17,1092
2015-04-18,1101
2015-04-19,1092
2015-04-20,1084
2015-04-21,1095
2015-04-22,1077
2015-04-23,1092
2015-04-24,1102
2015-04-25,1087
2015-04-26,1108
2015-04-27,1103
2015-04-28,1126
2015-04-29,1120
2015-04-30,1116
2015-05-01,1095
2015-05-02,1093
2015-05-03,1102
2015-05-04,1109
2015-05-05,1107
2015-05-06,1093
2015-05-07,1105
2015-05-08,1104
2015-05-09,1092
2015-05-10,1077
2015-05-11,1080
2015-05-12,1084
2015-05-13,1086
2015-05-14,1095
2015-05-15,1097
2015-05-16,1091
2015-05-17,1091
2015-05-18,1093
2015-05-19,1073
2015-05-20,1094
2015-05-21,1096
2015-05-22,1089
2015-05-23,1075
2015-05-24,1085
2015-05-25,1097
2015-05-26,1093
2015-05-27,1108
2015-05-28,1102
2015-05-29,1087
2015-05-30,1097
2015-05-31,1107
2015-06-01,1105
2015-06-02,1101
2015-06-03,1104
2015-06-04,1111
2015-06-05,1110
2015-06-06,1113
2015-06-07,1118
2015-06-08,1130
2015-06-09,1129
2015-06-10,1146
2015-06-11,1166
2015-06-12,1163
2015-06-13,1150
2015-06-14,1138
2015-06-15,1133
2015-06-16,1149
2015-06-17,1175
2015-06-18,1203
2015-06-19,1198
2015-06-20,1160
2015-06-21,1114
2015-06-22,1124
2015-06-23,1120
2015-06-24,1110
2015-06-25,1140
2015-06-26,1143
2015-06-27,1157
2015-06-28,1134
2015-06-29,1143
2015-06-30,1144
2015-07-01,1140
2015-07-02,1123
2015-07-03,1135
2015-07-04,1149
2015-07-05,1143
2015-07-06,1160
2015-07-07,1180
2015-07-08,1166
2015-07-09,1133
2015-07-10,1123
2015-07-11,1142
2015-07-12,1120
2015-07-13,1121
2015-07-14,1134
2015-07-15,1135
2015-07-16,1120
2015-07-17,1109
2015-07-18,1121
2015-07-19,1093
2015-07-20,1105
2015-07-21,1122
2015-07-22,1125
2015-07-23,1148
2015-07-24,1151
2015-07-25,1150
2015-07-26,1120
2015-07-27,1147
2015-07-28,1154
2015-07-29,1156
2015-07-30,1154
2015-07-31,1147
2015-08-01,1157
2015-08-02,1164
2015-08-03,1164
2015-08-04,1142
2015-08-05,1151
2015-08-06,1154
2015-08-07,1162
2015-08-08,1164
2015-08-09,1148
2015-08-10,1135
2015-08-11,1151
2015-08-12,1160
2015-08-13,1158
2015-08-14,1161
2015-08-15,1161
2015-08-16,1148
2015-08-17,1153
2015-08-18,1136
2015-08-19,1155
2015-08-20,1154
2015-08-21,1153
2015-08-22,1156
2015-08-23,1148
2015-08-24,1150
2015-08-25,1157
2015-08-26,1161
2015-08-27,1155
2015-08-28,1166
2015-08-29,1155
2015-08-30,1155
2015-08-31,1149
2015-09-01,1148
2015-09-02,1152
2015-09-03,1122
2015-09-04,1085
2015-09-05,1108
2015-09-06,1134
2015-09-07,1125
2015-09-08,1120
2015-09-09,1113
2015-09-10,1126
2015-09-11,1114
2015-09-12,1131
2015-09-13,1136
2015-09-14,1140
2015-09-15,1136
2015-09-16,1138
2015-09-17,1129
2015-09-18,1131
2015-09-19,1137
2015-09-20,1143
2015-09-21,1135
2015-09-22,1131
2015-09-23,1138
2015-09-24,1149
2015-09-25,1159
2015-09-27,1173
2015-09-28,1171
2015-09-29,1157
2015-09-30,1132
2015-10-05,1126
2015-10-06,1111
2015-10-07,1123
2015-10-08,1142
2015-10-09,1137
2015-10-10,1146
2015-10-11,1137
2015-10-12,1127
2015-10-13,1108
2015-10-14,1123
2015-10-15,1133
2015-10-16,1143
2015-10-17,1134
2015-10-18,1140
2015-10-19,1138
2015-10-20,1150
2015-10-22,1131
2015-10-23,1154
2015-10-24,1146
