date_obj,Dragon%20hasta price
2019-01-10,1000000
2019-01-10,1048989
2019-01-11,1029380
2019-01-12,977911
2019-01-13,929015
2019-01-14,882564
2019-01-15,838435
2019-01-16,796513
2019-01-17,756687
2019-01-18,718852
2019-01-19,682909
2019-01-20,648763
2019-01-21,616324
2019-01-22,585507
2019-01-23,556231
2019-01-24,528419
2019-01-25,501998
2019-01-26,476898
2019-01-27,453053
2019-01-28,430400
2019-01-29,408880
2019-01-30,388436
2019-01-31,369014
2019-02-01,350563
2019-02-02,333034
2019-02-03,316382
2019-02-04,300562
2019-02-05,285533
2019-02-06,271256
2019-02-07,257693
2019-02-08,244808
2019-02-09,232567
2019-02-10,220938
2019-02-11,209891
2019-02-12,199396
2019-02-13,189426
2019-02-14,179997
2019-02-15,170997
2019-02-16,162447
2019-02-17,154324
2019-02-18,146607
2019-02-19,139276
2019-02-20,132312
2019-02-21,125696
2019-02-22,119411
2019-02-23,113440
2019-02-24,107768
2019-02-25,102379
2019-02-26,97260
2019-02-27,92397
2019-02-28,87858
2019-03-01,83830
2019-03-02,79641
2019-03-03,75658
2019-03-04,71875
2019-03-05,68281
2019-03-06,64866
2019-03-07,61622
2019-03-08,58621
2019-03-09,55689
2019-03-10,54113
2019-03-11,51579
2019-03-12,49011
2019-03-13,49011
2019-03-14,46560
2019-03-15,46560
2019-03-16,44232
2019-03-17,42028
2019-03-18,40189
2019-03-19,38820
2019-03-20,37423
2019-03-21,37423
2019-03-22,38137
2019-03-23,38361
2019-03-24,38438
2019-03-25,38438
2019-03-26,38216
2019-03-27,38216
2019-03-28,38058
2019-03-29,38058
2019-03-30,37390
2019-03-31,37390
2019-04-01,38578
2019-04-02,38578
2019-04-03,38233
2019-04-04,38233
2019-04-05,37420
2019-04-06,37420
2019-04-07,37240
2019-04-08,37240
2019-04-09,37944
2019-04-10,37944
2019-04-11,37111
2019-04-12,37111
2019-04-13,37155
2019-04-14,37356
2019-04-15,37356
2019-04-16,38591
2019-04-17,38591
2019-04-18,40423
2019-04-19,40423
2019-04-20,39760
2019-04-21,39760
2019-04-22,39374
2019-04-23,39374
2019-04-24,40735
2019-04-25,40735
2019-04-26,41075
2019-04-27,41075
2019-04-28,40659
2019-04-29,40659
2019-04-30,40615
2019-05-01,40615
2019-05-02,38954
2019-05-03,37985
2019-05-04,36955
2019-05-05,36955
2019-05-06,36982
2019-05-07,36982
2019-05-08,37066
2019-05-09,37066
2019-05-10,37487
2019-05-11,37487
2019-05-12,37307
2019-05-13,37307
2019-05-14,37413
2019-05-15,37413
2019-05-16,37380
2019-05-17,37380
2019-05-18,37842
2019-05-19,37842
2019-05-20,38071
2019-05-21,38071
2019-05-22,37989
2019-05-23,37989
2019-05-24,38124
2019-05-25,38124
2019-05-26,38592
2019-05-27,38677
2019-05-28,38677
2019-05-29,38456
2019-05-30,38456
2019-05-31,38894
2019-06-01,38894
2019-06-02,38730
2019-06-03,38730
2019-06-04,37681
2019-06-05,37681
2019-06-06,37382
2019-06-07,37382
2019-06-08,38081
2019-06-09,38081
2019-06-10,38367
2019-06-11,38367
2019-06-12,36965
2019-06-13,36965
2019-06-14,36614
2019-06-15,36614
2019-06-16,37153
2019-06-17,37153
2019-06-18,37546
2019-06-19,37546
2019-06-20,37455
2019-06-21,37455
2019-06-22,37514
2019-06-23,37514
2019-06-24,37785
2019-06-25,37785
2019-06-26,37870
2019-06-27,37870
2019-06-28,37193
2019-06-29,37193
2019-06-30,38481
2019-07-01,38481
2019-07-02,38481
2019-07-03,39330
2019-07-04,39330
2019-07-05,39125
2019-07-06,39125
2019-07-07,37765
2019-07-08,37765
2019-07-09,36662
2019-07-10,36662
2019-07-11,37262
2019-07-12,37262
2019-07-13,37090
2019-07-14,37090
2019-07-15,37007
2019-07-16,37007
2019-07-17,37641
2019-07-18,37641
2019-07-19,37641
2019-07-20,38245
2019-07-21,38245
2019-07-22,38548
2019-07-23,38548
2019-07-24,38548
2019-07-25,38280
2019-07-26,38280
2019-07-27,38697
2019-07-28,38697
2019-07-29,38697
2019-07-30,38107
2019-07-31,38107
2019-08-01,38887
2019-08-02,38887
2019-08-03,39155
2019-08-04,39155
2019-08-05,38110
2019-08-06,38110
2019-08-07,38363
2019-08-08,38363
2019-08-09,38363
2019-08-10,38076
2019-08-11,38076
2019-08-12,37421
2019-08-13,37421
2019-08-14,38024
2019-08-15,38024
2019-08-16,37673
2019-08-17,37673
2019-08-18,37673
2019-08-19,37112
2019-08-20,37112
2019-08-21,37112
2019-08-22,36859
2019-08-23,36859
2019-08-24,37006
2019-08-24,37006
2019-08-25,37006
2019-08-25,37006
2019-08-26,37006
2019-08-27,36838
2019-08-27,36838
2019-08-28,36838
2019-08-29,36916
2019-08-30,36916
2019-08-31,37017
2019-09-01,36738
2019-09-02,36738
2019-09-03,36995
2019-09-04,36995
2019-09-05,36995
2019-09-06,37447
2019-09-07,37447
2019-09-08,37859
2019-09-09,37859
2019-09-10,37859
2019-09-11,38665
2019-09-12,38665
2019-09-13,38665
2019-09-14,39768
2019-09-15,39768
2019-09-16,38721
2019-09-17,38721
2019-09-18,38721
2019-09-19,38599
2019-09-20,38599
2019-09-21,38599
2019-09-22,38512
2019-09-23,38512
2019-09-24,38512
2019-09-25,39282
2019-09-26,39282
2019-09-27,39282
2019-09-28,37871
2019-09-29,37871
2019-09-30,37871
2019-10-01,37670
2019-10-02,37670
2019-10-03,37670
2019-10-04,37769
2019-10-05,37769
2019-10-06,36229
2019-10-07,36229
2019-10-08,36746
2019-10-09,36746
2019-10-10,36746
2019-10-11,37548
2019-10-12,37548
2019-10-13,39142
2019-10-14,39142
2019-10-15,39142
2019-10-16,38405
2019-10-17,38405
2019-10-18,38405
2019-10-19,38357
2019-10-20,38357
2019-10-21,38357
2019-10-22,38604
2019-10-23,38604
2019-10-24,38604
2019-10-25,39508
2019-10-26,39508
2019-10-27,39508
2019-10-28,39115
2019-10-29,39115
2019-10-30,39115
2019-10-31,38562
2019-11-01,38562
2019-11-02,38148
2019-11-03,38148
2019-11-04,37974
2019-11-05,37974
2019-11-06,37974
2019-11-07,37942
2019-11-08,37942
2019-11-09,37942
2019-11-10,37558
2019-11-11,37558
2019-11-12,37558
2019-11-13,37982
2019-11-14,37982
2019-11-15,37982
2019-11-16,37729
2019-11-17,37729
2019-11-18,37729
2019-11-19,37527
2019-11-20,37527
2019-11-21,37527
2019-11-22,37596
2019-11-23,37596
2019-11-24,39047
2019-11-25,39047
2019-11-26,39047
2019-11-27,40009
2019-11-28,40009
2019-11-29,41442
2019-11-30,41442
2019-12-01,42768
2019-12-02,42768
2019-12-03,43114
2019-12-04,43114
2019-12-05,43114
2019-12-06,42904
2019-12-07,42904
2019-12-08,42293
2019-12-09,42293
2019-12-10,42454
2019-12-11,42454
2019-12-12,42454
2019-12-13,40871
2019-12-14,40871
2019-12-15,41147
2019-12-16,41147
2019-12-17,39799
2019-12-18,39799
2019-12-19,39799
2019-12-20,39005
2019-12-21,39005
2019-12-22,40099
2019-12-23,40099
2019-12-24,40099
2019-12-25,41022
2019-12-26,41022
2019-12-27,41022
2019-12-28,41589
2019-12-29,41589
2019-12-30,41589
2019-12-31,40619
2020-01-01,40619
2020-01-02,40182
2020-01-03,40182
2020-01-04,40078
2020-01-05,40078
2020-01-06,41049
2020-01-07,41049
2020-01-08,41046
2020-01-09,41046
2020-01-10,39989
2020-01-11,39989
2020-01-12,38522
2020-01-13,38522
2020-01-14,38522
2020-01-15,37921
2020-01-16,37921
2020-01-17,38076
2020-01-18,38076
2020-01-19,38082
2020-01-20,38082
2020-01-21,38082
2020-01-22,39320
2020-01-23,39320
2020-01-24,40506
2020-01-25,40506
2020-01-26,40326
2020-01-27,40326
2020-01-28,40149
2020-01-29,40149
2020-01-30,39186
2020-01-31,39186
2020-02-01,39196
2020-02-02,39196
2020-02-03,38102
2020-02-04,38102
