date_obj,Torture%20ornament%20kit price
2016-07-06,20864332
2016-07-07,21652790
2016-07-08,22548447
2016-07-09,22548447
2016-07-10,22481135
2016-07-11,21396498
2016-07-12,21396498
2016-07-13,20326673
2016-07-14,19326283
2016-07-15,19326283
2016-07-16,18391001
2016-07-17,18391001
2016-07-18,17551817
2016-07-24,15048488
2016-07-25,15048488
2016-07-26,14296063
2016-07-27,14296063
2016-07-28,13587475
2016-07-29,12988328
2016-07-30,12988328
2016-07-31,13292830
2016-08-01,13292830
2016-08-02,13940994
2016-08-03,13544743
2016-08-04,13544743
2016-08-05,13544743
2016-08-06,12867505
2016-08-07,12867505
2016-08-08,12224129
2016-08-09,12224129
2016-08-10,11612922
2016-08-11,11612922
2016-08-12,11032275
2016-08-13,11032275
2016-08-14,10480661
2016-08-15,9956627
2016-08-16,9956627
2016-08-17,9458795
2016-08-18,9458795
2016-08-19,8985855
2016-08-20,8985855
2016-08-21,8536562
2016-08-22,8536562
2016-08-23,8190178
2016-08-24,8190178
2016-08-25,8138233
2016-08-26,8138233
2016-08-28,8091226
2016-08-31,8242698
2016-09-01,8426920
2016-09-02,8426920
2016-09-03,8328606
2016-09-04,8328606
2016-09-05,8468958
2016-09-06,8468958
2016-09-07,8530032
2016-09-08,8530032
2016-09-09,8650209
2016-09-10,8650209
2016-09-11,8935515
2016-09-12,8935515
2016-09-13,9304142
2016-09-14,9304142
2016-09-15,9743200
2016-09-16,9743200
2016-09-17,10218649
2016-09-18,10218649
2016-09-19,10614788
2016-09-20,10614788
2016-09-21,10926901
2016-09-22,11286147
2016-09-23,11286147
2016-09-24,11515438
2016-09-25,11951817
2016-09-26,11951817
2016-09-27,12351863
2016-09-28,12351863
2016-09-29,12351863
2016-09-30,11850896
2016-10-01,11850896
2016-10-02,11258351
2016-10-03,11258351
2016-10-04,10714551
2016-10-05,10714551
2016-10-06,10764601
2016-10-07,10764601
2016-10-08,10712193
2016-10-09,10712193
2016-10-10,10598353
2016-10-11,10700585
2016-10-12,10700585
2016-10-13,10961112
2016-10-14,10961112
2016-10-15,10809976
2016-10-16,10809976
2016-10-17,10502092
2016-10-18,10502092
2016-10-19,10348911
2016-10-20,10348911
2016-10-21,10123008
2016-10-22,10123008
2016-10-23,9699805
2016-10-24,9556151
2016-10-25,9556151
2016-10-26,9374136
2016-10-27,9374136
2016-10-28,9117629
2016-10-29,9240153
2016-10-30,9547900
2016-10-31,9921353
2016-11-01,9921353
2016-11-02,10162607
