date_obj,Bracelet%20mould price
2015-03-26,889
2015-03-27,889
2015-03-28,889
2015-03-29,889
2015-03-30,889
2015-03-31,889
2015-04-01,874
2015-04-02,874
2015-04-03,874
2015-04-04,874
2015-04-05,874
2015-04-06,832
2015-04-07,832
2015-04-08,832
2015-04-09,832
2015-04-10,832
2015-04-11,791
2015-04-12,791
2015-04-13,791
2015-04-14,791
2015-04-15,791
2015-04-16,791
2015-04-17,761
2015-04-18,761
2015-04-19,761
2015-04-20,761
2015-04-21,761
2015-04-22,761
2015-04-23,763
2015-04-24,763
2015-04-25,763
2015-04-26,763
2015-04-27,763
2015-04-28,763
2015-04-29,745
2015-04-30,745
2015-05-01,745
2015-05-02,745
2015-05-03,745
2015-05-04,741
2015-05-05,741
2015-05-06,741
2015-05-07,741
2015-05-08,741
2015-05-09,741
2015-05-10,709
2015-05-11,709
2015-05-12,709
2015-05-13,709
2015-05-14,709
2015-05-15,684
2015-05-16,684
2015-05-17,684
2015-05-18,684
2015-05-19,684
2015-05-20,684
2015-05-21,678
2015-05-22,678
2015-05-23,678
2015-05-24,678
2015-05-25,678
2015-05-26,673
2015-05-27,673
2015-05-28,673
2015-05-29,673
2015-05-30,652
2015-05-31,652
2015-06-01,652
2015-06-02,652
2015-06-03,652
2015-06-04,651
2015-06-05,651
2015-06-06,651
2015-06-07,651
2015-06-08,643
2015-06-09,643
2015-06-10,643
2015-06-11,643
2015-06-12,643
2015-06-13,637
2015-06-14,637
2015-06-15,637
2015-06-16,637
2015-06-17,637
2015-06-18,621
2015-06-19,621
2015-06-20,621
2015-06-21,621
2015-06-22,621
2015-06-23,617
2015-06-24,617
2015-06-25,617
2015-06-26,617
2015-06-27,617
2015-06-28,617
2015-06-29,617
2015-06-30,596
2015-07-01,596
2015-07-02,596
2015-07-03,596
2015-07-04,589
2015-07-05,589
2015-07-06,589
2015-07-07,589
2015-07-08,593
2015-07-09,593
2015-07-10,593
2015-07-11,593
2015-07-12,593
2015-07-13,606
2015-07-14,606
2015-07-15,606
2015-07-16,606
2015-07-17,606
2015-07-18,585
2015-07-19,585
2015-07-20,585
2015-07-21,585
2015-07-22,555
2015-07-23,555
2015-07-24,555
2015-07-25,527
2015-07-26,527
2015-07-27,527
2015-07-28,524
2015-07-29,524
2015-07-30,524
2015-07-31,532
2015-08-01,532
2015-08-02,532
2015-08-03,540
2015-08-04,540
2015-08-05,540
2015-08-06,530
2015-08-07,530
2015-08-08,530
2015-08-09,516
2015-08-10,516
2015-08-11,516
2015-08-12,516
2015-08-13,517
2015-08-14,517
2015-08-15,517
2015-08-16,509
2015-08-17,509
2015-08-18,509
2015-08-19,500
2015-08-20,500
2015-08-21,500
2015-08-22,501
2015-08-23,501
2015-08-24,501
2015-08-25,501
2015-08-26,501
2015-08-27,501
2015-08-28,501
2015-08-29,502
2015-08-30,502
2015-08-31,502
2015-09-01,502
2015-09-02,508
2015-09-03,508
2015-09-04,508
2015-09-05,508
2015-09-06,516
