date_obj,Magic%20box price
2015-03-26,691
2015-03-27,691
2015-03-28,691
2015-03-29,691
2015-03-30,691
2015-03-31,657
2015-04-01,657
2015-04-02,657
2015-04-03,657
2015-04-04,657
2015-04-05,657
2015-04-06,657
2015-04-07,657
2015-04-08,657
2015-04-09,657
2015-04-10,657
2015-04-11,657
2015-04-12,657
2015-04-13,657
2015-04-14,657
2015-04-15,657
2015-04-16,626
2015-04-17,626
2015-04-18,626
2015-04-19,626
2015-04-20,626
2015-04-21,626
2015-04-22,626
2015-04-23,626
2015-04-24,626
2015-04-25,626
2015-04-26,626
2015-04-27,626
2015-04-28,626
2015-04-29,626
2015-04-30,626
2015-05-01,626
2015-05-02,626
2015-05-03,595
2015-05-04,595
2015-05-05,595
2015-05-06,595
2015-05-07,595
2015-05-08,595
2015-05-09,595
2015-05-10,595
2015-05-11,595
2015-05-12,595
2015-05-13,595
2015-05-14,595
2015-05-15,595
2015-05-16,595
2015-05-17,595
2015-05-18,595
2015-05-19,595
2015-05-20,595
2015-05-21,595
2015-05-22,595
2015-05-23,567
2015-05-24,567
2015-05-25,567
2015-05-26,567
2015-05-27,567
2015-05-28,567
2015-05-29,567
2015-05-30,567
2015-05-31,567
2015-06-01,567
2015-06-02,567
2015-06-03,567
2015-06-04,567
2015-06-05,567
2015-06-06,567
2015-06-07,541
2015-06-08,541
2015-06-09,541
2015-06-10,541
2015-06-11,541
2015-06-12,541
2015-06-13,541
2015-06-14,541
2015-06-15,541
2015-06-16,541
2015-06-17,541
2015-06-18,541
2015-06-19,541
2015-06-20,541
2015-06-21,541
2015-06-22,541
2015-06-23,541
2015-06-24,515
2015-06-25,515
2015-06-26,515
2015-06-27,515
2015-06-28,515
2015-06-29,515
2015-06-30,515
2015-07-01,515
2015-07-02,515
2015-07-03,515
2015-07-04,515
2015-07-05,515
2015-07-06,515
2015-07-07,515
2015-07-08,515
2015-07-09,515
2015-07-10,515
2015-07-11,515
2015-07-12,515
2015-07-13,490
2015-07-14,490
2015-07-15,490
2015-07-16,490
2015-07-17,490
2015-07-18,490
2015-07-19,490
2015-07-20,490
2015-07-21,490
2015-07-22,490
2015-07-23,490
