date_obj,Adamant%20plateskirt%20(t) price
2016-01-03,3792
2016-01-04,3792
2016-01-05,3792
2016-01-06,3792
2016-01-07,3792
2016-01-08,3792
2016-01-09,3792
2016-01-10,3675
2016-01-11,3675
2016-01-12,3675
2016-01-13,3675
2016-01-14,3675
2016-01-15,3675
2016-01-16,3675
2016-01-17,3675
2016-01-18,3623
2016-01-19,3623
2016-01-20,3623
2016-01-21,3623
2016-01-22,3623
2016-01-23,3623
2016-01-24,3623
2016-01-25,3623
2016-01-26,3523
2016-01-27,3523
2016-01-28,3523
2016-01-29,3523
2016-01-30,3523
2016-01-31,3523
2016-02-01,3523
2016-02-02,3513
2016-02-03,3513
2016-02-04,3513
2016-02-05,3513
2016-02-06,3513
2016-02-07,3513
2016-02-08,3513
2016-02-09,3513
2016-02-10,3538
2016-02-11,3538
2016-02-12,3538
2016-02-13,3538
2016-02-14,3538
2016-02-15,3538
2016-02-16,3538
2016-02-17,3538
2016-02-18,3538
2016-02-19,3611
2016-02-20,3611
2016-02-21,3611
2016-02-22,3611
2016-02-23,3611
2016-02-24,3611
2016-02-25,3611
2016-02-26,3611
2016-02-27,3620
2016-02-28,3620
2016-02-29,3620
2016-03-01,3620
2016-03-02,3620
2016-03-03,3620
2016-03-04,3620
2016-03-05,3620
2016-03-06,3675
2016-03-07,3675
2016-03-08,3675
2016-03-09,3675
2016-03-10,3675
2016-03-11,3675
2016-03-12,3675
2016-03-13,3675
2016-03-14,3652
2016-03-15,3652
2016-03-16,3652
2016-03-17,3652
2016-03-18,3652
2016-03-19,3652
2016-03-20,3652
2016-03-21,3652
2016-03-22,3652
2016-03-23,3615
2016-03-24,3615
2016-03-25,3615
2016-03-26,3615
2016-03-27,3615
2016-03-28,3615
2016-03-29,3615
2016-03-30,3615
2016-03-31,3548
2016-04-01,3548
2016-04-02,3548
2016-04-03,3548
2016-04-04,3548
2016-04-05,3548
2016-04-06,3548
2016-04-07,3548
2016-04-08,3612
2016-04-09,3612
2016-04-10,3612
2016-04-11,3612
2016-04-12,3612
2016-04-13,3612
2016-04-14,3612
2016-04-15,3612
2016-04-16,3513
2016-04-17,3513
2016-04-18,3513
2016-04-19,3513
2016-04-20,3513
2016-04-21,3513
2016-04-22,3513
2016-04-23,3547
2016-04-24,3547
2016-04-25,3547
2016-04-26,3547
2016-04-27,3547
2016-04-28,3547
2016-04-29,3547
2016-04-30,3580
2016-05-01,3580
2016-05-02,3580
2016-05-03,3580
2016-05-04,3580
2016-05-05,3580
2016-05-06,3580
2016-05-07,3580
2016-05-08,3601
2016-05-09,3601
2016-05-10,3601
2016-05-11,3601
2016-05-12,3601
2016-05-13,3601
2016-05-14,3601
2016-05-15,3596
2016-05-16,3596
2016-05-17,3596
2016-05-18,3596
2016-05-19,3596
2016-05-21,3596
2016-05-22,3596
2016-05-23,3655
2016-05-24,3655
2016-05-25,3655
2016-05-26,3655
2016-05-27,3655
2016-05-28,3655
2016-05-29,3655
2016-05-30,3655
2016-05-31,3668
2016-06-01,3668
2016-06-02,3668
2016-06-03,3668
2016-06-04,3668
2016-06-05,3668
2016-06-06,3668
2016-06-07,3668
2016-06-08,3629
2016-06-09,3629
2016-06-10,3629
2016-06-11,3629
2016-06-12,3629
2016-06-13,3629
2016-06-14,3629
2016-06-15,3581
2016-06-16,3581
2016-06-17,3581
2016-06-18,3581
2016-06-19,3581
2016-06-20,3581
2016-06-21,3581
2016-06-22,3641
2016-06-23,3641
2016-06-24,3641
2016-06-25,3641
2016-06-26,3641
2016-06-27,3641
2016-06-28,3641
2016-06-29,3641
2016-06-30,3624
2016-07-01,3624
2016-07-02,3624
2016-07-03,3624
2016-07-04,3624
2016-07-05,3624
2016-07-06,3569
2016-07-07,3569
2016-07-08,3569
2016-07-09,3569
2016-07-10,3569
2016-07-11,3561
2016-07-12,3561
2016-07-13,3561
2016-07-14,3561
2016-07-15,3561
2016-07-16,3561
2016-07-17,3595
2016-07-18,3595
2016-07-23,3595
2016-07-24,3532
2016-07-25,3532
2016-07-26,3532
2016-07-27,3532
2016-07-28,3532
2016-07-29,3532
2016-07-30,3532
2016-07-31,3579
2016-08-01,3579
2016-08-02,3579
2016-08-03,3579
2016-08-04,3579
2016-08-05,3579
2016-08-06,3579
2016-08-07,3579
2016-08-08,3579
2016-08-09,3582
2016-08-10,3582
2016-08-11,3582
2016-08-12,3582
2016-08-13,3582
2016-08-14,3582
2016-08-15,3582
2016-08-16,3582
2016-08-17,3582
2016-08-18,3582
2016-08-19,3582
2016-08-20,3587
2016-08-21,3587
2016-08-22,3587
2016-08-23,3587
2016-08-24,3587
2016-08-25,3587
2016-08-26,3587
2016-08-28,3587
2016-08-31,3547
2016-09-01,3547
2016-09-02,3547
2016-09-03,3547
2016-09-04,3547
2016-09-05,3547
2016-09-06,3547
2016-09-07,3547
2016-09-08,3547
2016-09-09,3598
2016-09-10,3598
2016-09-11,3598
2016-09-12,3598
2016-09-13,3598
2016-09-14,3598
2016-09-15,3598
2016-09-16,3598
2016-09-17,3598
2016-09-18,3598
2016-09-19,3598
2016-09-20,3598
2016-09-21,3598
2016-09-22,3598
2016-09-23,3598
2016-09-24,3598
2016-09-25,3598
2016-09-26,3598
2016-09-27,3598
2016-09-28,3598
2016-09-29,3598
2016-09-30,3598
2016-10-01,3598
2016-10-02,3598
2016-10-03,3576
2016-10-04,3576
2016-10-05,3576
2016-10-06,3576
2016-10-07,3576
2016-10-08,3576
2016-10-09,3576
2016-10-10,3576
2016-10-11,3576
2016-10-12,3576
2016-10-13,3576
2016-10-14,3552
2016-10-15,3552
2016-10-16,3552
2016-10-17,3552
2016-10-18,3552
2016-10-19,3552
2016-10-20,3552
2016-10-21,3552
2016-10-22,3552
2016-10-23,3579
2016-10-24,3579
2016-10-25,3579
2016-10-26,3579
2016-10-27,3579
2016-10-28,3579
2016-10-29,3579
2016-10-30,3579
2016-10-31,3579
2016-11-01,3579
2016-11-02,3579
2016-11-03,3579
2016-11-04,3588
2016-11-05,3588
2016-11-06,3588
2016-11-07,3588
2016-11-08,3588
2016-11-09,3588
2016-11-10,3588
2016-11-11,3588
2016-11-12,3588
2016-11-13,3588
2016-11-14,3588
2016-11-15,3588
2016-12-07,3618
2016-12-08,3618
2016-12-09,3618
2016-12-10,3618
2016-12-11,3618
2016-12-12,3635
2016-12-13,3635
2016-12-14,3635
2016-12-15,3635
2016-12-16,3635
2016-12-17,3635
2016-12-18,3635
2016-12-19,3635
2016-12-20,3635
2016-12-21,3598
2016-12-22,3598
2016-12-23,3598
2016-12-24,3598
2016-12-25,3598
2016-12-26,3598
2016-12-27,3598
2016-12-28,3598
2016-12-29,3598
2016-12-30,3621
2016-12-31,3621
2017-01-01,3621
2017-01-02,3621
2017-01-03,3621
2017-01-04,3621
2017-01-05,3621
2017-01-06,3621
2017-01-07,3604
2017-01-08,3604
2017-01-09,3604
2017-01-10,3604
2017-01-11,3604
2017-01-12,3604
2017-01-13,3604
2017-01-14,3616
2017-01-15,3616
2017-01-16,3616
2017-01-17,3616
2017-01-18,3616
2017-01-19,3616
2017-01-20,3592
2017-01-21,3592
2017-01-22,3592
2017-01-23,3592
2017-01-27,3597
2017-01-28,3597
2017-01-29,3597
2017-01-30,3597
2017-01-31,3597
2017-02-01,3597
2017-02-02,3597
2017-02-03,3594
2017-02-04,3594
2017-02-05,3594
2017-02-06,3594
2017-02-07,3594
2017-02-08,3594
2017-02-09,3594
2017-02-10,3619
2017-02-11,3619
2017-02-12,3619
2017-02-13,3619
2017-02-14,3619
2017-02-15,3619
2017-02-16,3619
2017-02-17,3619
2017-02-18,3571
2017-02-19,3571
2017-02-20,3571
2017-02-21,3571
2017-02-22,3571
2017-02-23,3571
2017-02-24,3599
2017-02-25,3599
2017-02-26,3599
2017-02-27,3599
2017-02-28,3599
2017-03-01,3599
2017-03-02,3567
2017-03-03,3567
2017-03-04,3567
2017-03-05,3567
2017-03-06,3567
2017-03-07,3608
2017-03-08,3608
2017-03-09,3608
2017-03-10,3608
2017-03-11,3608
2017-03-12,3608
2017-03-13,3608
2017-03-14,3600
2017-03-15,3600
2017-03-16,3600
2017-03-17,3600
2017-03-18,3600
2017-03-19,3576
2017-03-20,3576
2017-03-21,3576
2017-03-22,3576
2017-03-23,3576
2017-03-24,3576
2017-03-25,3576
2017-03-26,3597
