date_obj,Blue%20skirt price
2015-03-26,2384
2015-03-27,2384
2015-03-28,2264
2015-03-29,2150
2015-03-30,2042
2015-03-31,1942
2015-04-01,1942
2015-04-02,1844
2015-04-03,1754
2015-04-04,1666
2015-04-05,1666
2015-04-06,1593
2015-04-07,1513
2015-04-08,1513
2015-04-09,1437
2015-04-10,1366
2015-04-11,1298
2015-04-12,1298
2015-04-13,1233
2015-04-14,1233
2015-04-15,1171
2015-04-16,1171
2015-04-17,1112
2015-04-18,1056
2015-04-19,1003
2015-04-20,1003
2015-04-21,952
2015-04-22,952
2015-04-23,906
2015-04-24,906
2015-04-25,862
2015-04-26,862
2015-04-27,818
2015-04-28,777
2015-04-29,777
2015-04-30,738
2015-05-01,701
2015-05-02,665
2015-05-03,665
2015-05-04,639
2015-05-05,639
2015-05-06,615
2015-05-07,584
2015-05-08,584
2015-05-09,554
2015-05-10,526
2015-05-11,526
2015-05-12,503
2015-05-13,503
2015-05-14,486
2015-05-15,486
2015-05-16,478
2015-05-17,475
2015-05-18,475
2015-05-19,464
2015-05-20,464
2015-05-21,464
2015-05-22,442
2015-05-23,442
2015-05-24,419
2015-05-25,398
2015-05-26,398
2015-05-27,380
2015-05-28,379
2015-05-29,382
2015-05-30,377
2015-05-31,377
2015-06-01,363
2015-06-02,363
2015-06-03,351
2015-06-04,351
2015-06-05,337
2015-06-06,338
2015-06-07,344
2015-06-08,344
2015-06-09,338
2015-06-10,337
2015-06-11,337
2015-06-12,336
2015-06-13,330
2015-06-14,330
2015-06-15,325
2015-06-16,318
2015-06-17,318
2015-06-18,306
2015-06-19,306
2015-06-20,294
2015-06-21,294
2015-06-22,280
2015-06-23,280
2015-06-24,275
2015-06-25,275
2015-06-26,277
2015-06-27,277
2015-06-28,265
2015-06-29,265
2015-06-30,254
2015-07-01,258
2015-07-02,258
2015-07-03,265
2015-07-04,265
2015-07-05,260
2015-07-06,260
2015-07-07,261
2015-07-08,257
2015-07-09,257
2015-07-10,262
2015-07-11,262
2015-07-12,274
2015-07-13,284
2015-07-14,291
2015-07-15,293
2015-07-16,293
2015-07-17,296
2015-07-18,296
2015-07-19,296
2015-07-20,300
2015-07-21,300
2015-07-22,291
2015-07-23,291
2015-07-24,276
2015-07-25,276
2015-07-26,262
2015-07-27,249
2015-07-28,236
2015-07-29,224
2015-07-30,224
2015-07-31,212
2015-08-01,201
2015-08-02,190
2015-08-03,190
2015-08-04,180
2015-08-05,171
2015-08-06,163
2015-08-07,163
2015-08-08,154
2015-08-09,147
2015-08-10,144
2015-08-11,149
2015-08-12,149
2015-08-13,149
2015-08-14,154
2015-08-15,154
2015-08-16,158
2015-08-17,158
2015-08-18,164
2015-08-19,164
2015-08-20,172
2015-08-21,172
2015-08-22,177
2015-08-23,177
2015-08-24,183
2015-08-25,183
2015-08-26,183
2015-08-27,185
2015-08-28,185
2015-08-29,188
2015-08-30,188
2015-08-31,194
2015-09-01,194
2015-09-02,194
2015-09-03,200
2015-09-04,200
2015-09-05,202
2015-09-06,202
2015-09-07,202
2015-09-08,202
2015-09-09,198
2015-09-10,198
2015-09-11,200
2015-09-12,200
2015-09-13,202
2015-09-14,202
2015-09-15,207
2015-09-16,207
2015-09-17,216
2015-09-18,216
2015-09-19,215
2015-09-20,215
2015-09-21,214
2015-09-22,214
2015-09-23,211
2015-09-24,211
2015-09-25,211
2015-09-27,210
2015-09-28,215
2015-09-29,215
2015-09-30,225
2015-10-05,247
2015-10-06,247
2015-10-07,254
2015-10-08,254
2015-10-09,264
2015-10-10,264
2015-10-11,262
2015-10-12,262
2015-10-13,262
2015-10-14,253
2015-10-15,253
2015-10-16,251
2015-10-17,251
2015-10-18,251
2015-10-19,256
2015-10-20,256
2015-10-22,261
2015-10-23,261
2015-10-24,262
2015-10-25,262
2015-10-26,261
2015-10-27,261
2015-10-29,260
2015-10-30,260
2015-10-31,268
2015-11-01,268
2015-11-02,278
2015-11-03,278
2015-11-04,285
2015-11-05,285
2015-11-06,287
2015-11-07,289
2015-11-08,289
2015-11-09,289
2015-11-10,294
2015-11-11,294
2015-11-12,301
2015-11-13,301
2015-11-14,299
2015-11-15,299
2015-11-16,303
2015-11-17,303
2015-11-18,301
2015-11-19,301
2015-11-20,298
2015-11-21,298
2015-11-22,302
2015-11-23,302
2015-11-24,302
2015-11-25,306
2015-11-26,306
2015-11-27,319
2015-11-28,319
2015-11-29,327
2015-11-30,327
2015-12-01,316
2015-12-02,316
2015-12-03,300
2015-12-04,300
2015-12-05,300
2015-12-06,285
2015-12-07,285
2015-12-08,271
2015-12-09,258
2015-12-10,258
2015-12-11,245
2015-12-12,245
2015-12-13,232
2015-12-14,232
2015-12-15,224
2015-12-16,224
2015-12-17,226
2015-12-18,226
2015-12-19,222
2015-12-20,222
2015-12-21,211
2015-12-22,211
2015-12-23,220
2015-12-24,220
2015-12-25,228
2015-12-26,228
2015-12-27,237
2015-12-28,237
2015-12-29,246
2015-12-30,246
2015-12-31,251
2016-01-01,251
2016-01-02,253
2016-01-03,253
2016-01-04,257
2016-01-05,257
2016-01-06,263
2016-01-07,263
2016-01-08,266
2016-01-09,266
2016-01-10,269
2016-01-11,269
2016-01-12,255
2016-01-13,255
2016-01-14,247
2016-01-15,247
2016-01-16,252
2016-01-17,252
2016-01-18,262
2016-01-19,262
2016-01-20,269
