date_obj,Desert%20top price
2015-03-26,446
2015-03-27,446
2015-03-28,446
2015-03-29,446
2015-03-30,446
2015-03-31,446
2015-04-01,446
2015-04-02,446
2015-04-03,466
2015-04-04,466
2015-04-05,466
2015-04-06,466
2015-04-07,466
2015-04-08,466
2015-04-09,466
2015-04-10,466
2015-04-11,486
2015-04-12,486
2015-04-13,486
2015-04-14,486
2015-04-15,486
2015-04-16,486
2015-04-17,486
2015-04-18,486
2015-04-19,506
2015-04-20,506
2015-04-21,506
2015-04-22,506
2015-04-23,506
2015-04-24,506
2015-04-25,506
2015-04-26,506
2015-04-27,506
2015-04-28,529
2015-04-29,529
2015-04-30,529
2015-05-01,529
2015-05-02,529
2015-05-03,529
2015-05-04,529
2015-05-05,529
2015-05-06,529
2015-05-07,553
2015-05-08,553
2015-05-09,553
2015-05-10,553
2015-05-11,553
2015-05-12,553
2015-05-13,553
2015-05-14,553
2015-05-15,553
2015-05-16,553
2015-05-17,571
2015-05-18,571
2015-05-19,571
2015-05-20,571
2015-05-21,571
2015-05-22,571
2015-05-23,571
2015-05-24,571
2015-05-25,571
2015-05-26,571
2015-05-27,571
2015-05-28,599
2015-05-29,599
2015-05-30,599
2015-05-31,599
2015-06-01,599
2015-06-02,599
2015-06-03,599
2015-06-04,599
2015-06-05,599
2015-06-06,599
2015-06-07,599
2015-06-08,599
2015-06-09,599
2015-06-10,590
2015-06-11,590
2015-06-12,590
2015-06-13,590
2015-06-14,590
2015-06-15,590
2015-06-16,590
2015-06-17,609
2015-06-18,609
2015-06-19,609
2015-06-20,609
2015-06-21,609
2015-06-22,609
2015-06-23,635
2015-06-24,635
2015-06-25,635
2015-06-26,635
2015-06-27,635
2015-06-28,635
2015-06-29,662
2015-06-30,662
2015-07-01,662
2015-07-02,662
2015-07-03,662
2015-07-04,675
2015-07-05,675
2015-07-06,675
2015-07-07,675
2015-07-08,675
2015-07-09,675
2015-07-10,705
2015-07-11,705
2015-07-12,705
2015-07-13,705
2015-07-14,705
2015-07-15,705
2015-07-16,730
2015-07-17,730
2015-07-18,730
2015-07-19,730
2015-07-20,730
2015-07-21,730
2015-07-22,756
2015-07-23,756
2015-07-24,756
2015-07-25,756
2015-07-26,756
2015-07-27,756
2015-07-28,775
2015-07-29,775
2015-07-30,775
2015-07-31,775
2015-08-01,775
2015-08-02,775
2015-08-03,751
2015-08-04,751
2015-08-05,751
2015-08-06,751
2015-08-07,751
2015-08-08,757
2015-08-09,757
2015-08-10,757
2015-08-11,757
2015-08-12,757
2015-08-13,793
2015-08-14,793
2015-08-15,793
2015-08-16,793
2015-08-17,793
2015-08-18,805
2015-08-19,805
2015-08-20,805
2015-08-21,805
2015-08-22,805
2015-08-23,842
2015-08-24,842
2015-08-25,842
2015-08-26,842
2015-08-27,842
2015-08-28,857
2015-08-29,857
2015-08-30,857
2015-08-31,857
2015-09-01,857
2015-09-02,857
2015-09-03,884
2015-09-04,884
2015-09-05,884
2015-09-06,884
2015-09-07,884
2015-09-08,914
2015-09-09,914
2015-09-10,914
2015-09-11,914
2015-09-12,914
2015-09-13,889
2015-09-14,889
2015-09-15,889
2015-09-16,889
2015-09-17,889
2015-09-18,889
2015-09-19,884
2015-09-20,884
2015-09-21,884
2015-09-22,884
2015-09-23,884
2015-09-24,884
2015-09-25,919
2015-09-27,919
2015-09-28,919
2015-09-29,919
2015-09-30,940
2015-10-05,940
2015-10-06,931
2015-10-07,931
2015-10-08,931
2015-10-09,931
2015-10-10,931
2015-10-11,925
2015-10-12,925
2015-10-13,925
2015-10-14,925
2015-10-15,925
2015-10-16,925
2015-10-17,914
2015-10-18,914
2015-10-19,914
2015-10-20,914
2015-10-22,893
