date_obj,Gilded%20spear price
2016-07-06,619336
2016-07-07,619336
2016-07-08,642422
2016-07-09,642422
2016-07-10,642422
2016-07-11,668139
2016-07-12,668139
2016-07-13,668139
2016-07-14,668139
2016-07-15,668139
2016-07-16,668139
2016-07-17,668139
2016-07-18,694120
2016-07-23,694120
2016-07-24,695185
2016-07-25,695185
2016-07-26,695185
2016-07-27,695185
2016-07-28,695185
2016-07-29,695185
2016-07-30,695185
2016-07-31,695185
2016-08-01,695185
2016-08-02,672927
2016-08-03,672927
2016-08-04,672927
2016-08-05,672927
2016-08-06,672927
2016-08-07,672927
2016-08-08,672927
2016-08-09,672927
2016-08-10,672927
2016-08-11,672927
2016-08-12,672927
2016-08-13,672927
2016-08-14,672927
2016-08-15,672927
2016-08-16,640654
2016-08-17,640654
2016-08-18,640654
2016-08-19,640654
2016-08-20,640654
2016-08-21,640654
2016-08-22,640654
2016-08-23,640654
2016-08-24,640654
2016-08-25,640654
2016-08-26,640654
2016-08-28,640654
2016-08-31,640654
2016-09-01,640654
2016-09-02,640654
2016-09-03,640654
2016-09-04,611755
2016-09-05,611755
2016-09-06,611755
2016-09-07,611755
2016-09-08,611755
2016-09-09,611755
2016-09-10,611755
2016-09-11,611755
2016-09-12,611755
2016-09-13,611755
2016-09-14,611755
2016-09-15,611755
2016-09-16,611755
2016-09-17,611755
2016-09-18,611755
2016-09-19,611755
2016-09-20,582805
2016-09-21,582805
2016-09-22,582805
2016-09-23,582805
2016-09-24,582805
2016-09-25,582805
2016-09-26,582805
2016-09-27,582805
2016-09-28,582805
2016-09-29,582805
2016-09-30,582805
2016-10-01,582805
2016-10-02,582805
2016-10-03,582805
2016-10-04,582805
2016-10-05,582805
2016-10-06,554184
2016-10-07,554184
2016-10-08,554184
2016-10-09,554184
2016-10-10,554184
2016-10-11,554184
2016-10-12,554184
2016-10-13,554184
2016-10-14,554184
2016-10-15,554184
2016-10-16,554184
2016-10-17,554184
2016-10-18,554184
2016-10-19,554184
2016-10-20,554184
2016-10-21,554184
2016-10-22,554184
2016-10-23,528370
2016-10-24,528370
2016-10-25,528370
2016-10-26,528370
2016-10-27,528370
2016-10-28,528370
2016-10-29,528370
2016-10-30,528370
2016-10-31,528370
2016-11-01,528370
2016-11-02,528370
2016-11-03,528370
2016-11-04,528370
2016-11-05,528370
2016-11-06,528370
2016-11-07,528370
2016-11-08,507559
2016-11-09,507559
2016-11-10,507559
2016-11-11,507559
2016-11-12,507559
2016-11-13,507559
2016-11-14,507559
2016-11-15,507559
2016-12-07,486167
2016-12-08,486167
2016-12-09,486167
2016-12-10,486167
2016-12-11,486167
2016-12-12,486167
2016-12-13,463613
2016-12-14,463613
2016-12-15,463613
2016-12-16,463613
2016-12-17,463613
2016-12-18,463613
2016-12-19,463613
2016-12-20,463613
2016-12-21,463613
2016-12-22,463613
2016-12-23,463613
2016-12-24,463613
2016-12-25,463613
2016-12-26,463613
2016-12-27,463613
2016-12-28,441044
2016-12-29,441044
2016-12-30,441044
2016-12-31,441044
2017-01-01,441044
2017-01-02,441044
2017-01-03,441044
2017-01-04,441044
2017-01-05,441044
2017-01-06,441044
2017-01-07,441044
2017-01-08,441044
2017-01-09,419762
2017-01-10,419762
2017-01-11,419762
2017-01-12,419762
2017-01-13,419762
2017-01-14,419762
2017-01-15,419762
2017-01-16,419762
2017-01-17,419762
2017-01-18,419762
2017-01-19,419762
2017-01-20,398992
2017-01-21,398992
2017-01-22,398992
2017-01-23,398992
2017-01-27,398992
2017-01-28,398992
2017-01-29,398992
2017-01-30,398992
2017-01-31,398992
2017-02-01,379787
2017-02-02,379787
2017-02-03,379787
2017-02-04,379787
2017-02-05,379787
2017-02-06,379787
2017-02-07,379787
2017-02-08,379787
2017-02-09,379787
2017-02-10,379787
2017-02-11,379787
2017-02-12,361322
2017-02-13,361322
2017-02-14,361322
2017-02-15,361322
2017-02-16,361322
2017-02-18,361322
2017-02-19,361322
2017-02-20,361322
2017-02-21,361322
2017-02-22,361322
2017-02-23,361322
2017-02-24,343400
2017-02-25,343400
2017-02-26,343400
2017-02-27,343400
2017-02-28,343400
2017-03-01,343400
2017-03-02,343400
2017-03-03,343400
2017-03-04,343400
2017-03-05,343400
