date_obj,Holy%20mould price
2015-03-26,871
2015-03-27,871
2015-03-28,871
2015-03-29,871
2015-03-30,871
2015-03-31,871
2015-04-01,871
2015-04-02,871
2015-04-03,871
2015-04-04,871
2015-04-05,871
2015-04-06,871
2015-04-07,871
2015-04-08,871
2015-04-09,829
2015-04-10,829
2015-04-11,829
2015-04-12,829
2015-04-13,829
2015-04-14,829
2015-04-15,829
2015-04-16,829
2015-04-17,829
2015-04-18,829
2015-04-19,829
2015-04-20,829
2015-04-21,829
2015-04-22,789
2015-04-23,789
2015-04-24,789
2015-04-25,789
2015-04-26,789
2015-04-27,789
2015-04-28,789
2015-04-29,789
2015-04-30,789
2015-05-01,789
2015-05-02,789
2015-05-03,789
2015-05-04,789
2015-05-05,789
2015-05-06,753
2015-05-07,753
2015-05-08,753
2015-05-09,753
2015-05-10,753
2015-05-11,753
2015-05-12,753
2015-05-13,753
2015-05-14,753
2015-05-15,753
2015-05-16,753
2015-05-17,753
2015-05-18,717
2015-05-19,717
2015-05-20,717
2015-05-21,717
2015-05-22,717
2015-05-23,717
2015-05-24,717
2015-05-25,717
2015-05-26,717
2015-05-27,717
2015-05-28,684
2015-05-29,684
2015-05-30,684
2015-05-31,684
2015-06-01,684
2015-06-02,684
2015-06-03,684
2015-06-04,684
2015-06-05,684
2015-06-06,650
2015-06-07,650
2015-06-08,650
2015-06-09,650
2015-06-10,650
2015-06-11,650
2015-06-12,650
2015-06-13,650
2015-06-14,650
2015-06-15,650
2015-06-16,620
2015-06-17,620
2015-06-18,620
2015-06-19,620
2015-06-20,620
2015-06-21,620
2015-06-22,620
2015-06-23,620
2015-06-24,620
2015-06-25,620
2015-06-26,595
2015-06-27,595
2015-06-28,595
2015-06-29,595
2015-06-30,595
2015-07-01,595
2015-07-02,595
2015-07-03,595
2015-07-04,595
2015-07-05,595
2015-07-06,595
2015-07-07,595
2015-07-08,566
2015-07-09,566
2015-07-10,566
2015-07-11,566
2015-07-12,566
2015-07-13,566
2015-07-14,566
2015-07-15,566
2015-07-16,566
2015-07-17,566
2015-07-18,566
2015-07-19,539
2015-07-20,539
2015-07-21,539
2015-07-22,539
2015-07-23,539
2015-07-24,539
2015-07-25,539
2015-07-26,539
2015-07-27,539
2015-07-28,539
2015-07-29,539
2015-07-30,539
2015-07-31,513
2015-08-01,513
2015-08-02,513
2015-08-03,513
2015-08-04,513
2015-08-05,513
2015-08-06,513
2015-08-07,513
2015-08-08,513
2015-08-09,513
2015-08-10,513
2015-08-11,490
2015-08-12,490
2015-08-13,490
2015-08-14,490
2015-08-15,490
2015-08-16,490
2015-08-17,490
2015-08-18,490
2015-08-19,490
2015-08-20,490
2015-08-21,466
2015-08-22,466
2015-08-23,466
2015-08-24,466
2015-08-25,466
2015-08-26,466
2015-08-27,466
2015-08-28,466
2015-08-29,466
2015-08-30,466
2015-08-31,466
2015-09-01,466
2015-09-02,466
2015-09-03,444
2015-09-04,444
2015-09-05,444
2015-09-06,444
2015-09-07,444
2015-09-08,444
2015-09-09,444
2015-09-10,444
2015-09-11,444
2015-09-12,444
2015-09-13,444
2015-09-14,444
2015-09-15,423
2015-09-16,423
2015-09-17,423
2015-09-18,423
2015-09-19,423
2015-09-20,423
2015-09-21,423
2015-09-22,423
2015-09-23,423
2015-09-24,423
2015-09-25,423
2015-09-27,405
2015-09-28,405
2015-09-29,405
2015-09-30,405
2015-10-05,405
2015-10-06,405
2015-10-07,405
2015-10-08,386
2015-10-09,386
2015-10-10,386
2015-10-11,386
2015-10-12,386
2015-10-13,386
2015-10-14,386
2015-10-15,386
2015-10-16,386
2015-10-17,386
2015-10-18,369
2015-10-19,369
2015-10-20,369
2015-10-22,369
2015-10-23,369
2015-10-24,369
2015-10-25,369
2015-10-26,369
2015-10-27,369
2015-10-29,369
2015-10-30,352
2015-10-31,352
2015-11-01,352
2015-11-02,352
2015-11-03,352
2015-11-04,352
2015-11-05,352
2015-11-06,352
2015-11-07,352
2015-11-08,352
2015-11-09,352
2015-11-10,352
2015-11-11,336
2015-11-12,336
2015-11-13,336
2015-11-14,336
2015-11-15,336
2015-11-16,336
2015-11-17,336
2015-11-18,336
2015-11-19,336
2015-11-20,336
2015-11-21,336
2015-11-22,336
2015-11-23,336
2015-11-24,336
2015-11-25,336
2015-11-26,320
2015-11-27,320
2015-11-28,320
2015-11-29,320
2015-11-30,320
2015-12-01,320
2015-12-02,320
2015-12-03,320
2015-12-04,320
2015-12-05,320
2015-12-06,320
2015-12-07,320
2015-12-08,305
2015-12-09,305
2015-12-10,305
2015-12-11,305
2015-12-12,305
2015-12-13,305
2015-12-14,305
2015-12-15,305
2015-12-16,305
2015-12-17,305
2015-12-18,305
2015-12-19,305
2015-12-20,292
2015-12-21,292
2015-12-22,292
2015-12-23,292
2015-12-24,292
2015-12-25,292
2015-12-26,292
2015-12-27,292
2015-12-28,292
2015-12-29,292
2015-12-30,292
2015-12-31,292
2016-01-01,278
2016-01-02,278
2016-01-03,278
2016-01-04,278
2016-01-05,278
2016-01-06,278
2016-01-07,278
2016-01-08,278
2016-01-09,278
2016-01-10,278
2016-01-11,278
2016-01-12,265
2016-01-13,265
2016-01-14,265
2016-01-15,265
2016-01-16,265
2016-01-17,265
2016-01-18,265
2016-01-19,265
2016-01-20,265
2016-01-21,265
2016-01-22,265
2016-01-23,252
2016-01-24,252
2016-01-25,252
2016-01-26,252
2016-01-27,252
2016-01-28,252
2016-01-29,252
2016-01-30,252
2016-01-31,252
2016-02-01,252
2016-02-02,252
2016-02-03,240
2016-02-04,240
2016-02-05,240
2016-02-06,240
2016-02-07,240
2016-02-08,240
2016-02-09,240
2016-02-10,240
2016-02-11,240
2016-02-12,240
2016-02-13,229
2016-02-15,229
2016-02-16,229
2016-02-17,229
