date_obj,Opal%20dragon%20bolts price
2018-01-03,850
2018-01-04,850
2018-01-05,850
2018-01-06,850
2018-01-07,850
2018-01-08,850
2018-01-09,850
2018-01-10,850
2018-01-11,885
2018-01-12,885
2018-01-13,885
2018-01-14,885
2018-01-15,885
2018-01-16,885
2018-01-17,885
2018-01-18,885
2018-01-19,885
2018-01-20,885
2018-01-21,885
2018-01-22,885
2018-01-23,904
2018-01-24,904
2018-01-25,875
2018-01-26,875
2018-01-27,875
2018-01-28,875
2018-01-29,832
2018-01-31,832
2018-02-01,832
2018-02-02,832
2018-02-03,801
2018-02-04,801
2018-02-05,801
2018-02-06,801
2018-02-07,801
2018-02-08,801
2018-02-09,824
2018-02-10,824
2018-02-11,824
2018-02-12,824
2018-02-13,824
2018-02-14,849
2018-02-15,849
2018-02-16,849
2018-02-17,849
2018-02-18,849
2018-02-19,887
2018-02-20,887
2018-02-21,887
2018-02-22,887
2018-02-23,887
2018-02-24,887
2018-02-25,923
2018-02-26,923
2018-02-27,923
2018-03-01,923
2018-03-02,956
2018-03-03,956
2018-03-04,956
2018-03-05,956
2018-03-06,956
2018-03-07,1000
2018-03-08,1000
2018-03-09,1000
2018-03-10,1000
2018-03-11,1000
2018-03-12,1000
2018-03-13,1000
2018-03-14,1039
2018-03-15,1039
2018-03-16,1039
2018-03-17,1039
2018-03-18,1039
2018-03-19,1039
2018-03-20,1039
2018-03-21,1078
2018-03-23,1078
2018-03-24,1078
2018-03-26,1078
2018-03-27,1112
2018-03-28,1112
2018-03-29,1112
2018-03-30,1112
2018-03-31,1112
2018-04-01,1112
2018-04-02,1112
2018-04-03,1112
2018-04-04,1112
2018-04-05,1158
2018-04-06,1158
2018-04-08,1158
2018-04-09,1158
2018-04-10,1158
2018-04-11,1158
2018-04-12,1158
2018-04-13,1158
2018-04-14,1214
2018-04-15,1214
2018-04-16,1214
2018-04-17,1214
2018-04-18,1214
2018-04-19,1214
2018-04-20,1214
2018-04-21,1214
2018-04-22,1214
2018-04-23,1255
2018-04-24,1255
2018-04-25,1255
2018-04-26,1255
2018-04-27,1255
2018-04-28,1255
2018-04-29,1255
2018-04-30,1255
2018-05-01,1255
2018-05-02,1308
2018-05-04,1308
2018-05-05,1308
2018-05-06,1308
2018-05-07,1308
2018-05-08,1308
2018-05-09,1308
2018-05-10,1308
2018-05-11,1308
2018-05-12,1308
2018-05-13,1362
2018-05-14,1362
2018-05-15,1362
2018-05-16,1362
2018-05-17,1362
2018-05-18,1362
2018-05-19,1362
2018-05-20,1362
2018-05-21,1362
2018-05-22,1362
2018-05-23,1408
2018-05-24,1408
2018-05-25,1408
2018-05-26,1408
2018-05-27,1408
2018-05-28,1408
2018-05-29,1408
2018-05-30,1408
2018-05-31,1408
2018-06-01,1471
2018-06-02,1471
2018-06-03,1471
2018-06-04,1471
2018-06-05,1471
2018-06-06,1471
2018-06-07,1471
2018-06-08,1471
2018-06-09,1471
2018-06-10,1519
2018-06-11,1519
2018-06-12,1519
2018-06-13,1519
2018-06-14,1519
2018-06-15,1519
2018-06-16,1519
2018-06-17,1519
2018-06-18,1519
2018-06-19,1519
2018-06-20,1519
2018-06-21,1519
2018-06-22,1519
2018-06-23,1519
2018-06-24,1555
2018-06-25,1555
2018-06-26,1555
2018-06-27,1555
2018-06-28,1555
2018-06-29,1555
2018-06-30,1555
2018-07-01,1555
2018-07-02,1555
2018-07-03,1555
2018-07-04,1555
2018-07-05,1555
2018-07-06,1555
2018-07-07,1555
2018-07-08,1555
2018-07-09,1555
2018-07-10,1581
2018-07-11,1581
2018-07-12,1581
2018-07-13,1581
2018-07-14,1581
2018-07-15,1581
2018-07-16,1581
2018-07-17,1581
2018-07-18,1581
2018-07-19,1581
2018-07-20,1581
2018-07-21,1581
2018-07-22,1581
2018-07-23,1581
2018-07-24,1581
2018-07-25,1581
2018-07-26,1581
2018-07-27,1581
2018-07-28,1581
2018-07-29,1615
2018-07-30,1615
2018-07-31,1615
2018-08-01,1615
2018-08-02,1615
2018-08-03,1615
2018-08-04,1615
2018-08-05,1615
2018-08-06,1615
2018-08-07,1615
2018-08-08,1615
2018-08-09,1615
2018-08-10,1615
2018-08-11,1615
2018-08-12,1615
2018-08-14,1615
2018-08-16,1608
2018-08-17,1608
2018-08-18,1608
2018-08-19,1608
2018-08-20,1608
2018-08-21,1608
2018-08-22,1608
2018-08-23,1608
2018-08-24,1608
2018-08-25,1608
2018-08-26,1608
2018-08-27,1608
2018-08-28,1608
2018-08-29,1592
2018-08-30,1592
2018-08-31,1592
2018-09-01,1592
2018-09-02,1592
2018-09-03,1592
2018-09-04,1592
2018-09-05,1592
2018-09-06,1592
2018-09-07,1592
2018-09-08,1592
2018-09-09,1592
2018-09-10,1592
2018-09-11,1592
2018-09-12,1592
2018-09-13,1592
2018-09-14,1616
2018-09-15,1616
2018-09-16,1616
2018-09-17,1616
2018-09-18,1616
2018-09-19,1616
2018-09-20,1616
2018-09-21,1616
2018-09-22,1616
2018-09-23,1616
2018-09-24,1616
2018-09-25,1616
2018-09-26,1616
2018-09-27,1616
2018-09-28,1616
2018-09-29,1616
2018-09-30,1605
2018-10-02,1605
2018-10-03,1605
2018-10-04,1605
2018-10-05,1605
2018-10-06,1605
2018-10-07,1605
2018-10-08,1605
2018-10-09,1605
2018-10-10,1636
